,pressure,error_sum,speed_sum,denominator,yield
0,103,6175742.417830174,133452.46571525003,8885.139562976232,10477
1,110,5026929.781538771,118811.27666585363,8885.891567963177,10479
2,118,6220804.957081983,124011.16488661169,8868.161378413146,10460
3,126,6588560.5244464055,123556.51697943169,8843.979590012616,10436
4,134,6954614.037150093,135643.77721591643,8859.124845792912,10438
5,142,8060134.124768893,139244.20142572132,8821.991136271661,10391
6,151,7311416.429895676,136075.41961153795,8795.218440794662,10342
7,160,7368612.262412075,131065.04585256566,8708.713010163168,10222
8,170,8232383.869601122,129313.44913416564,8679.74810116431,10189
9,180,8983166.587254593,134962.70529538539,8808.020852644491,10369
10,190,8835731.9950442,137428.80048423522,8719.226299347703,10277
11,201,8418866.454244172,132253.53926728756,8690.097110045268,10244
12,212,9113153.203867022,128225.958000645,8846.078734550018,10434
13,223,9186527.53090694,133622.70788623707,8881.529964023073,10472
14,235,9013674.512259172,136485.09104633378,8886.847220870923,10478
15,247,8094511.323563282,129624.21370175979,8886.48463808829,10478
16,260,8210340.21259298,134452.7322864681,8874.830663842218,10464
17,273,8087379.394012987,136226.27191601472,8860.76439032912,10447
18,286,7197025.298719161,139285.24081975617,8874.180552645686,10466
19,300,6947258.628608253,132160.3908570885,8870.924066594825,10462
20,314,6963783.307775,129431.86709146347,8853.473714465597,10442
21,329,5351440.543882747,122791.29645279802,8878.661513539819,10470
22,344,5132080.571355531,119327.51629847958,8879.538585435155,10471
23,359,6052298.277512682,124752.03998590443,8846.796303196123,10433
24,375,6477438.297464907,139909.26338245338,8792.480828925047,10364
25,391,4694072.041617686,117713.18540290181,8859.566094519087,10448
26,408,5349906.910191557,122629.53192065406,8844.576542120989,10434
27,424,5559122.600050331,119486.09661896291,8844.515689945027,10432
28,442,4342698.259672256,112704.20395653334,8875.89385853725,10465
29,460,4146698.574546434,99884.4491374861,8851.270515474267,10429
30,478,3420827.914459742,95296.65704093399,8873.177341019264,10458
31,497,3094820.3276279476,87316.67592534458,8860.475788564463,10439
32,516,3537977.156689979,90815.42772194315,8829.388103902253,10414
33,535,3732260.2893582084,92330.73226991874,8714.879037941611,10288
34,555,3157351.5394895333,82299.82120478875,8719.172155523896,10301
35,576,2962137.2802784326,85209.4347665106,8771.79969756314,10350
36,596,2775531.7553110006,77228.75095770006,8832.591359266527,10414
37,618,2562711.6874297378,71689.58428555592,8813.230858494657,10394
38,639,2361385.7165573514,76349.56780502577,8811.690919170387,10391
39,661,2327841.4180475506,77584.51172942706,8752.536509316074,10331
40,684,2347199.3410152183,79368.71387975362,8802.00121372471,10379
41,707,2447806.0704370495,80902.69261781473,8823.108870252921,10399
42,730,2355956.2676321547,78337.74878783236,8828.765107364245,10407
43,754,2343451.6285616825,77955.39329140999,8612.583419650375,10137
44,778,2473421.2592228465,80650.45068323944,8594.663122453045,10120
45,802,2570647.847487733,87972.65788753366,8548.506610488454,10042
46,827,2624720.8726367555,84497.32432454954,8321.600387750423,9764
47,853,2208201.0394504652,77090.90613231256,8444.653708394047,9927
48,879,2544560.770034217,84048.98742295727,8168.871822185894,9582
