,pressure,error_sum,speed_sum,denominator,yield
0,103,102492.6157174034,20395.529090060307,2343.5063645763357,2608
1,110,112768.96680932287,23081.186209341573,2536.5986914239747,2873
2,118,87337.61291510118,17385.171898991615,1844.0419701442174,2094
3,126,74254.0902888702,17971.093627569644,1751.9133543056903,1984
4,134,67598.40555326552,16455.525819765073,1548.384830511548,1741
5,142,66005.89634562313,16086.647456714094,1403.669348814641,1589
6,151,67846.11880630106,15743.729492551336,1476.493679972829,1682
7,160,63526.867644299244,15177.017861225459,1439.0168731311887,1649
8,170,62143.18476201315,14203.821668362021,1364.3660598394004,1570
9,180,51745.84029322933,13297.838523372122,1178.4582608213577,1369
10,190,69763.97550124773,14723.417619469239,1482.475402142306,1692
11,201,69155.28141159752,15836.349615381494,1509.7300957576863,1732
12,212,59979.319247616426,15165.051613636864,1294.0654945478686,1499
13,223,76634.34406715132,18170.809088188977,1773.323961380791,2004
14,235,80354.30212228466,19909.40647695685,1859.9952951136072,2117
15,247,87581.73294921691,19106.200700230806,1976.7874211892351,2237
16,260,77229.48382022133,18164.085652804693,1799.4126492645912,2054
17,273,78147.29138484588,18270.818355597727,1700.6491030281252,1963
18,286,96621.29683357314,21538.59532015715,2266.5576358403973,2579
19,300,94294.33273889289,21438.857405556017,2271.7536723489657,2562
20,314,88194.89310907318,18836.264124777023,2059.7134379464246,2310
21,329,96759.86641419647,19627.16671697498,2249.9343862101873,2511
22,344,111006.838210688,20127.91306346453,2283.7931980973362,2594
23,359,114089.39313983459,20596.3451790788,2435.6268163780496,2756
24,375,118176.62616587305,20611.85868705139,2653.872165084541,2991
25,391,136735.52031450506,24963.664134658655,2980.504518024816,3367
26,408,125175.72865100035,21899.073595730715,2963.345015018911,3345
27,424,127046.28132673496,22360.46385733253,2966.785878839586,3340
28,442,143578.64680823684,24681.276283012794,3266.9247500480787,3716
29,460,141176.63639715864,23403.894802568688,3381.097225092522,3833
30,478,164897.38967616568,25649.624184128264,3981.5318745364575,4513
31,497,148893.77302479435,23278.251651457664,3578.325833959127,4072
32,516,159977.78337132782,27693.923623105555,4167.302984672293,4737
33,535,167177.5234595035,27496.165393122537,4382.202299986024,5010
34,555,165550.49070585094,25399.09005602719,4078.6642556390125,4687
35,576,185585.05153320386,27262.090973729042,4548.812897800871,5221
36,596,185902.81386666762,23608.633785951064,4581.793676138608,5214
37,618,179237.75996151668,25010.524107462265,4409.430559825958,5080
38,639,206446.5514612997,28120.12012255255,5233.209698013054,5986
39,661,196465.63174414096,28233.547867066813,4995.476875835982,5651
40,684,205559.19957793813,27205.2991387543,5282.222148542581,6005
41,707,183919.14892260506,24252.201136052012,4740.890797530771,5443
42,730,195736.0048122606,26326.910529439825,4951.120680340506,5756
43,754,193957.25579916057,25206.950445308044,4975.09355135688,5773
44,778,190907.5822451096,24710.561496928633,5192.634895590717,5969
45,802,187028.59864058255,24734.7777159613,5130.200778428314,6002
46,827,192769.90010948858,25037.386197051987,4954.713034513736,5802
47,853,186249.34841345574,24080.339220467355,4984.654093672297,5761
48,879,181155.36792385354,23761.212355472326,4742.505133608488,5452
