,pressure,error_sum,speed_sum,denominator,yield
0,103,143866.23315272975,21494.25407116424,3246.8601554656975,3789
1,110,137643.28980425416,25910.681868631964,3548.2800057392224,4152
2,118,120698.79782874783,25720.871544334732,3011.41101770897,3488
3,126,117951.41970226618,26018.619036915617,2926.2122013879434,3433
4,134,122485.6434453098,28717.61836880634,2994.4459839596575,3525
5,142,96726.17962333783,23498.41879845819,2435.5382901679764,2834
6,151,91555.27343183175,24578.875083012026,2179.2928456742166,2557
7,160,106627.01455709928,26242.504807813544,2474.7867804471557,2925
8,170,93074.73252473495,22508.0274174273,2200.549231397358,2573
9,180,96283.10409351024,23737.815086462986,2313.441926243179,2697
10,190,101612.12135090005,25376.518947154826,2347.464733545426,2735
11,201,101667.08222063557,25521.883379829364,2365.433238930387,2736
12,212,83773.45771279265,19346.155418718816,1910.4584051309416,2248
13,223,85843.07880811118,20376.642443484583,1882.0986897339249,2206
14,235,89948.75219364578,21042.919315895917,1942.5597423689285,2257
15,247,93416.11537667393,23064.117760128593,1986.4553452101686,2287
16,260,88601.07982335267,23365.410339725557,1991.2193248296358,2286
17,273,88248.05535008079,21773.649102287985,1892.1115261478021,2191
18,286,94359.30826977617,21561.431764766152,2102.4855426116055,2461
19,300,98245.37045664684,23268.85314794024,2271.2300314399163,2669
20,314,93541.68015724779,22720.397194735324,2079.814050312652,2480
21,329,107134.37330755833,23438.438903844646,2318.996582982846,2788
22,344,119850.323782794,26570.867934622096,2699.6335234193334,3227
23,359,116289.60786107178,29261.088799114594,2735.044279750785,3263
24,375,130264.91776006456,29719.553533792747,3012.9234368740726,3530
25,391,136177.85992776445,31091.411390045436,3115.6943930468406,3668
26,408,118985.77866161942,27587.182704992552,2764.478821003343,3251
27,424,125535.59206142821,28954.15596967109,2837.483534638399,3338
28,442,145137.6121915182,30229.79500841619,3473.1461394074076,4026
29,460,139745.31560474876,29426.142047290385,3536.229235146627,4124
30,478,149746.58743290132,29166.06871962751,3776.804721018683,4382
31,497,157272.67695509666,26976.80965476436,3910.681182139618,4571
32,516,163761.09293681735,25707.41100659277,3807.647443850428,4472
33,535,160257.4918890552,22596.991002544473,3898.195649722511,4559
34,555,165185.13937017389,23234.566608581103,4001.7148191633164,4700
35,576,188777.72794259724,31482.266937418477,5034.085401533405,5888
36,596,190719.5955931363,29731.031631934646,4566.985318419262,5298
37,618,189201.88007886507,31367.519246416243,4519.741885321248,5274
38,639,204643.77292241174,32834.78660467815,4795.4404287042225,5626
39,661,187339.65259757958,30136.942396749546,4666.779650343566,5514
40,684,196348.1250155232,33563.44089003317,5290.882763755142,6234
41,707,199186.03700087423,31262.011588192065,5000.632984697619,5885
42,730,203077.556486284,38215.529487850596,5273.272159390918,6261
43,754,206477.793570985,36134.4046597408,5172.54440514549,6145
44,778,214308.43199678682,38262.53814509309,5641.970881418175,6648
45,802,203383.2947230044,32445.141300206367,5312.252029509221,6254
46,827,186823.12338461558,30332.300808013428,5099.708339513023,6012
47,853,186809.1495136645,29010.017480738952,4947.678704938889,5860
48,879,183766.6994742744,26006.782522451445,4898.97032634703,5834
