,pressure,error_sum,speed_sum,denominator,yield
0,103,8162.045218321417,7302.948591753658,1159.5077553756453,1289
1,110,6900.077862335972,6313.591775799314,883.4337708617524,1005
2,118,4781.310241451549,4627.831005055231,573.7370665511656,665
3,126,5783.635983261691,4678.805360004977,724.3005227583445,823
4,134,6032.001324764786,5017.430784361941,790.9838544571552,895
5,142,4892.86195476695,3979.8208643281364,634.2576139512101,710
6,151,4623.831821132275,4276.062474188884,551.575768688031,644
7,160,4415.764690847135,4695.256232604867,569.1171629057042,685
8,170,3254.558806227534,3362.8096178307796,400.61225828078017,469
9,180,4497.358590067942,5075.675078835488,551.3510139612321,640
10,190,4176.472700292033,6238.188286396472,553.1063358014511,630
11,201,3854.2097067228856,5549.526628380964,501.65849484564797,569
12,212,3590.942539769131,5109.170617185613,472.6603372874938,539
13,223,3642.6820357941874,4905.367679040929,447.4429455215238,505
14,235,3754.219152159772,5404.471126039457,468.5194016775697,524
15,247,3723.1487754920877,4535.556129274892,473.58806877597743,533
16,260,4374.327836591444,5774.2599876605445,598.9288496565985,666
17,273,4664.263865714307,5538.86043037454,596.8436886825564,667
18,286,5234.58007991573,5965.245914773818,650.8297942013666,724
19,300,4831.210221942035,5831.758731927994,669.3399040702608,742
20,314,4198.887815265774,4417.152439884663,560.372019111244,633
21,329,6436.39512462163,6963.640107477775,794.8448658410306,898
22,344,5159.272134642593,5800.2194049626,618.4049509650752,719
23,359,5866.270134146484,5977.736607666767,749.4799993386281,834
24,375,5703.822638200321,5681.4986500075365,720.9585397055696,801
25,391,6066.830636840651,7383.892935037589,802.2818547405299,921
26,408,6038.806078393161,7880.022263214318,830.8731548511277,937
27,424,6516.697471214317,7032.8316743302275,844.1335599720917,936
28,442,5896.15915115063,5978.568361483318,688.7343100606433,792
29,460,8431.973233726229,7083.632180830522,1027.8980238152612,1148
30,478,7685.361843697074,6807.661329276459,966.2617424109777,1086
31,497,7381.181073759476,6463.712140528569,926.5025462645619,1066
32,516,6689.515566537722,5728.474333945771,828.2197270363793,946
33,535,8748.70083008686,6762.875838275334,1137.009808358038,1282
34,555,9687.227149177641,7671.229329973894,1280.666619141709,1426
35,576,10355.194253226558,7697.820382730772,1370.1819426213694,1553
36,596,11842.548901665856,8558.955605730189,1563.0605470632938,1749
37,618,10303.840989041544,6725.482904476204,1241.4919655145025,1396
38,639,12478.300860720989,8262.332552331456,1569.1435523050668,1764
39,661,10552.415400834681,7386.288364119069,1361.70791618471,1511
40,684,12564.553044280286,8925.364555366352,1640.7930648915474,1859
41,707,10573.053961036607,7602.71260310631,1412.9978294829796,1610
42,730,9737.810582059756,7423.249087362251,1245.001003171932,1456
43,754,10132.342792027466,8124.4489878756885,1268.48615898482,1420
44,778,10268.41414577359,8645.957304454092,1368.3174936766102,1568
45,802,13122.914206418098,10130.84300522664,1641.1518138937558,1861
46,827,12165.333358282416,8848.623862389264,1534.6455700034126,1763
47,853,11651.53444073995,8580.73271094411,1467.9789124239899,1663
48,879,9636.47568094358,7502.578995489891,1232.5700743044206,1412
