,pressure,error_sum,speed_sum,denominator,yield
0,103,9878.676293612622,8947.444532025374,1381.036681921591,1540
1,110,10457.350597447625,9126.179446444004,1296.7056529840022,1460
2,118,7177.58979225512,7632.036909068285,927.9025238383787,1035
3,126,5874.369403339382,6750.343297131853,764.031853944696,864
4,134,7102.981578220304,7700.723041587206,878.9650162895366,991
5,142,3983.31302642947,4313.908071565314,513.7980206612419,575
6,151,4633.672690136893,5384.613827725148,578.3225998476278,635
7,160,5065.395027295353,6659.284390437049,634.137178806755,699
8,170,4950.609761688695,6887.829483565152,609.5923438051811,673
9,180,4744.074924257985,6351.118609985529,609.4798416223911,678
10,190,4809.805687199394,6713.526206352872,619.8002751883936,697
11,201,4656.496105110745,6641.290154216972,589.1416953550505,668
12,212,4426.769833037419,5381.371524632533,537.2875414448679,606
13,223,4339.415586283269,5459.566065235926,571.3728340372752,649
14,235,4176.602440557965,4758.95279247078,523.1533301930269,599
15,247,4220.952058508119,4541.818998844933,526.1114015908664,617
16,260,4863.970332186626,5516.213567263321,591.0041710086713,686
17,273,4651.387456870755,5783.985500682891,587.1879369156567,680
18,286,5358.197507021226,6639.210230982239,689.304472517109,801
19,300,6139.095536574355,7133.045889632525,772.0871542991824,901
20,314,6264.571982108282,6991.7289867062755,785.224383177968,911
21,329,6348.847626525153,7585.450135980628,861.0420299680665,1007
22,344,7317.098808177199,7387.681105744556,969.2905180291925,1114
23,359,6963.135150220411,6871.852680000852,941.791945222874,1070
24,375,5775.2706969652245,6670.304833167037,772.7153736876282,897
25,391,7723.669475596022,7584.4135116748,981.0026945363935,1098
26,408,6776.2987745268265,6446.06680387578,854.4136362730235,975
27,424,7736.842805397392,6297.0659855671,957.1670322042024,1092
28,442,9275.408630222595,7980.963048217728,1206.039557047814,1376
29,460,10213.124973811186,9602.389478919977,1412.4091720514411,1591
30,478,10884.217489786259,9400.582949875254,1391.86337316795,1578
31,497,11089.612848653844,9176.04235165758,1422.2388530744734,1606
32,516,10942.010557434378,8369.376951868326,1358.7900131376691,1549
33,535,11444.745230026781,8948.71514098489,1475.0335966397545,1702
34,555,12223.970873551376,8436.882516136971,1525.0148853169567,1732
35,576,12959.764796274369,8719.095629532654,1718.8365439450936,1952
36,596,13263.132316784257,8910.04520660053,1701.1036995159616,1935
37,618,11585.724377949535,8709.966205718283,1421.81921119088,1624
38,639,11848.663855580588,9203.03628482641,1525.5080407005714,1760
39,661,12283.750325008228,9736.083821837574,1598.3447337466125,1845
40,684,12029.791546344219,8743.081654336587,1614.6291444201177,1878
41,707,11051.841644909167,6926.925159776341,1441.4390235066805,1669
42,730,11998.340980549337,7320.077523482243,1532.4499570956891,1784
43,754,12187.076279866693,6367.595976729909,1558.0420839280646,1819
44,778,11964.397541242197,6927.42193152842,1503.0871707833182,1762
45,802,14078.857248199109,8756.855809514705,1927.7887583965419,2208
46,827,15413.944754086326,9807.655235935612,2084.5780871399793,2403
47,853,14030.034818735254,7389.79577725039,1922.5808992622285,2181
48,879,12459.380591803687,7718.653714865783,1662.81537471092,1929
