,index,PRES,TMPK,DWPK,RELH,UWND,VWND,HGHT,TIME,LAT,LON,lat,lon,time,deltat,plev,u,v,error_era5,u_error,v_error,error_mag
0,0,1013.0,303.15,298.25,75.05,-7.1,1.25,5.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-2.9169522285461422,-10.694328308105469,11.085001951518379
1,1,1012.0,302.75,295.75,66.07,-7.11,1.2,13.84,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-2.926952228546143,-10.74432830810547,11.135871772813648
2,2,1003.0,301.15,294.15,65.74,-7.17,0.77,93.41,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-2.9869522285461425,-11.17432830810547,11.566654518612719
3,3,1000.0,300.75,294.75,69.82,-7.18,0.63,120.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-2.9969522285461423,-11.314328308105468,11.704518261072705
4,4,941.0,295.95,292.55,81.14,-8.67,-1.62,656.34,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-4.4869522285461425,-13.56432830810547,14.287188063132877
5,5,925.0,294.95,290.75,77.04,-8.95,-2.4,806.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,878.5999755859375,-4.183048,11.944328,14.7838545,-4.766952228546142,-14.344328308105469,15.115673592663905
6,6,859.0,291.55,285.55,68.03,-10.7,-2.87,1445.71,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,852.7999877929688,-2.0750508,6.7808795,10.712748,-8.624949169158935,-9.650879497528077,12.943308048809747
7,7,850.0,290.75,285.85,72.97,-10.94,-2.93,1536.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,852.7999877929688,-2.0750508,6.7808795,10.712748,-8.864949169158935,-9.710879497528076,13.148707327615243
8,8,828.0,288.95,285.05,77.62,-10.78,-1.69,1759.93,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,827.4000244140625,-5.7973557,4.132261,5.330332,-4.982644348144531,-5.8222607994079585,7.663254238012676
9,9,816.0,289.95,281.95,59.21,-10.63,-1.03,1884.34,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,827.4000244140625,-5.7973557,4.132261,5.330332,-4.832644348144532,-5.162260799407959,7.07130737252719
10,10,811.0,289.55,282.55,63.24,-10.56,-0.76,1936.76,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,802.4000244140625,-7.1677547,4.4533806,4.0692286,-3.3922453498840337,-5.213380584716797,6.219860580022023
11,11,801.0,289.55,278.55,48.11,-10.38,-0.22,2042.43,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,802.4000244140625,-7.1677547,4.4533806,4.0692286,-3.212245349884034,-4.673380584716797,5.670891136096646
12,12,791.0,289.15,279.15,51.45,-10.18,0.3,2149.3,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,802.4000244140625,-7.1677547,4.4533806,4.0692286,-3.012245349884033,-4.153380584716797,5.130710704122814
13,13,758.0,287.95,272.95,35.81,-9.31,1.9,2510.58,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,753.5999755859375,-6.5803003,-0.94344234,3.8391254,-2.729699668884278,2.8434423446655273,3.9416271576271553
14,14,722.0,284.75,274.75,50.25,-8.05,3.39,2919.78,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,729.9000244140625,-5.7301173,-3.5705934,6.5184746,-2.3198826789855964,6.960593357086182,7.337009985475669
15,15,700.0,283.35,274.35,53.59,-7.14,4.12,3178.0,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,706.5999755859375,-6.237712,-4.2776732,6.963473,-0.9022880935668942,8.39767324447632,8.44600732445728
16,16,675.0,281.55,273.55,57.11,-6.84,3.37,3479.46,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,683.7000122070312,-6.619729,-3.2780619,5.9023256,-0.2202709579467772,6.648061866760254,6.651709996623922
17,17,654.0,280.35,269.35,45.49,-6.53,2.76,3739.94,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,661.2000122070312,-4.697933,-2.560657,5.60013,-1.8320668029785159,5.320657024383545,5.627242658860365
18,18,643.0,279.35,269.35,48.73,-6.35,2.46,3879.13,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,639.0999755859375,-2.2913496,-3.1946359,7.3082194,-4.058650350570678,5.65463586807251,6.960427391236808
19,19,634.0,279.35,262.35,28.4,-6.19,2.21,3994.53,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,639.0999755859375,-2.2913496,-3.1946359,7.3082194,-3.898650350570679,5.40463586807251,6.6640500765270945
20,20,628.0,278.95,266.95,41.78,-6.07,2.06,4072.3,2020-07-07 00:00:00,-14.33,-170.71,-14.5,-170.5,2020-07-07 12:24:32,0 days 12:24:32,617.5,-2.461105,-4.6082897,8.161601,-3.608894891738892,6.66828971862793,7.58222989041997
