,pressure,rmsvd,speed,yield
0,103,2.778016516353467,8.807349689685607,8934
1,110,2.783666003763477,9.427806394691334,8917
2,118,2.7721416517460646,10.40707195397377,6813
3,126,2.817838612550693,10.869014046287344,6323
4,134,2.828484013522564,11.688880519184181,6592
5,142,2.837039238569666,11.165928388252496,5825
6,151,2.8159516237577447,12.049943126168275,6100
7,160,2.790042680753233,12.765759362038446,6585
8,170,2.7791706320511964,12.72647807917465,5892
9,180,2.7767961869275655,12.744149014937047,5771
10,190,2.7907060532439996,12.642831593552403,5614
11,201,2.8171638549094142,12.839369832810009,5567
12,212,2.792669776493697,13.07071955199343,5539
13,223,2.8064380984202364,12.442967040431633,5847
14,235,2.805478293635491,12.76956604926521,6014
15,247,2.8302007387000465,13.010989652368767,6124
16,260,2.828403257809422,13.270158632013754,6101
17,273,2.8188843616546295,13.422668242280588,6090
18,286,2.8148442465683705,12.983658045211095,6591
19,300,2.799295150145623,12.140334001918825,6949
20,314,2.7884808080251116,11.86081948293747,7155
21,329,2.7899411909510143,11.813957140843476,8063
22,344,2.7621528541063167,11.67046759060639,8593
23,359,2.7935181054141833,11.949632957638224,7951
24,375,2.8146302972627497,12.001413650261249,7824
25,391,2.7808559827729007,11.059828609866477,8712
26,408,2.810485625281181,10.705912689291477,8468
27,424,2.791848014028418,10.2779674374232,8154
28,442,2.7931183623080273,9.213826988671329,9993
29,460,2.794092384167981,8.816748841142589,9747
30,478,2.762168895781603,8.819811681918672,11474
31,497,2.7786473878624642,7.904702750449005,12535
32,516,2.7958964832133066,7.4219410951929685,11942
33,535,2.7926793272705526,7.207002387191296,12982
34,555,2.775861160145254,6.88696019568027,14495
35,576,2.7501459570077715,6.6993002118900975,15077
36,596,2.747702046927637,6.693670427290739,16472
37,618,2.7512944767400658,6.330601218229005,16106
38,639,2.7587413841454285,6.15550006667429,17533
39,661,2.7442015432760045,6.1695771122181045,17972
40,684,2.75022925374799,6.138005020357993,19274
41,707,2.7805032285083717,6.180239378523288,18529
42,730,2.76809315391522,5.912799453501505,19168
43,754,2.7606829819513754,5.757513924948158,20423
44,778,2.7492518376649384,5.518961059668789,21793
45,802,2.7358137997942635,5.4669223182388285,20901
46,827,2.7560603352246917,5.5082082154452525,21158
47,853,2.7579761752226384,5.452823543211772,19779
48,879,2.7871490327458925,5.167267716267806,17337
