,pressure,rmsvd,speed,yield
0,103,2.833348609525464,6.157252306557141,9372
1,110,2.7906842306940756,6.188885566941658,9753
2,118,2.7713519938615794,6.95409013552268,7908
3,126,2.790774934899622,7.266373044520117,7550
4,134,2.8006855069570173,7.664994598308906,7337
5,142,2.811734348802572,8.036398157681129,5981
6,151,2.8037933881067456,8.689971699287705,5824
7,160,2.7797460113257557,8.53541020331916,6099
8,170,2.837808316457145,9.020737895720519,5425
9,180,2.8112608268455985,9.355418867337136,5053
10,190,2.8163652325747437,9.287501878887596,5661
11,201,2.784414193559492,9.385972566054901,5527
12,212,2.799202948037783,9.319139491025298,5416
13,223,2.7934850448463067,8.966603182356213,5711
14,235,2.792643545972105,8.966210013001778,6132
15,247,2.811611489770137,8.756158278678935,6362
16,260,2.8032777074266817,8.87244719817941,6463
17,273,2.8009345469644686,8.352304242927387,6581
18,286,2.8035446404645046,8.452305654703869,7585
19,300,2.811801674028375,8.393506750613435,7571
20,314,2.794207673303929,8.196419455893205,8342
21,329,2.7975187823631416,7.552719374296161,9807
22,344,2.7892283655051346,7.454544129663373,9729
23,359,2.797777906507471,7.363474917314491,9937
24,375,2.7995937711767107,7.044539474768646,9922
25,391,2.7886201942320055,7.074122163014561,11704
26,408,2.7758111627074844,6.484297346999535,12141
27,424,2.7756806985957527,6.340107778407626,12016
28,442,2.7898720027571113,6.24686494116603,14395
29,460,2.778418288145081,5.861559421027702,14995
30,478,2.7736813684719848,5.829621033185216,17257
31,497,2.77337434655892,5.563098519744374,17640
32,516,2.768884973310002,5.51351675684556,17715
33,535,2.7559991093465555,5.191250385287968,20419
34,555,2.752828481892196,5.080612245523073,19954
35,576,2.7638872762939632,4.8320524289877795,21438
36,596,2.755624473330678,4.96977829192756,21476
37,618,2.7599558259274204,4.885651111112607,21993
38,639,2.7595845663417804,4.686079856679025,22593
39,661,2.757405149838472,4.702164227207428,22811
40,684,2.7617803623064683,4.648099960371825,24565
41,707,2.7567790206289837,4.6746913968693535,23774
42,730,2.7669678796596444,4.565586524541005,23593
43,754,2.7630437243795805,4.722221547672982,23868
44,778,2.770560429092923,4.59687367174506,23069
45,802,2.755402375824801,4.655043370294953,23544
46,827,2.7715409748233983,4.7067203103943696,22031
47,853,2.7650331571199485,4.703018864306379,20566
48,879,2.7694960934959143,4.640962573573864,18163
