
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PHTO          STNM =    91285    TIME = 200101/0000         
 SLAT =  19.72     SLON =  -155.05   SELV =    12.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1019.00   299.15   291.15    61.36    -2.80     1.31    12.00
   1018.00   299.15   289.15    54.05    -2.97     1.32    20.59
   1000.00   296.95   286.95    53.49    -6.16     0.54   176.00
    996.00   296.55   286.55    53.39    -6.43     0.56   211.02
    985.23   295.64   286.37    55.78    -7.18     0.63   305.00
    951.05   292.68   285.80    64.45    -8.21     0.72   610.00
    925.00   290.35   285.35    72.42    -8.72     0.76   850.00
    918.07   289.78   285.15    74.11    -9.13     1.61   914.00
    901.00   288.35   284.65    78.56    -6.75     1.19  1073.80
    885.61   287.34   283.73    78.87    -4.56     0.80  1219.00
    850.00   284.95   281.55    79.65    -0.97     0.35  1565.00
    832.00   283.55   280.95    83.92     0.72     1.57  1743.99
    823.55   283.21   280.36    82.45     1.94     0.70  1829.00
    812.00   282.75   279.55    80.44     1.17    -0.48  1946.64
    805.00   284.15   273.15    46.59     0.51    -0.58  2018.76
    799.00   284.95   267.95    30.05     0.12    -0.34  2081.23
    793.96   284.84   262.85    20.39    -0.00    -0.00  2134.00
    780.00   284.55   248.55     6.23    -2.83    -2.09  2282.11
    767.00   285.35   236.35     1.85    -6.63     1.69  2422.36
    765.56   285.26   236.70     1.93    -6.78     2.47  2438.00
    738.00   283.55   243.55     4.20    -6.66     0.58  2743.40
    711.41   283.36   234.82     1.81   -13.53     6.31  3048.00
    710.00   283.35   234.35     1.73   -13.71     6.22  3064.44
    700.00   282.75   233.75     1.69   -15.00     5.46  3182.00
    685.54   281.61   232.61     1.62   -15.91     4.26  3353.00
    660.48   279.58   230.58     1.50   -17.23     3.04  3658.00
    634.00   277.35   228.35     1.38   -18.06     0.56  3993.10
    612.92   276.68   227.68     1.34   -18.46    -1.61  4267.00
    609.00   276.55   227.55     1.34   -18.98    -1.66  4318.96
    598.00   276.95   237.95     3.85   -20.47    -1.79  4466.49
    590.21   276.07   239.61     4.82   -21.54    -1.88  4572.00
    568.25   273.53   244.42     9.15   -18.98    -1.66  4877.00
    565.00   273.15   245.15    10.07   -18.40    -1.13  4923.22
    546.85   271.69   237.84     5.55   -14.87     1.30  5182.00
    511.00   268.65   222.65     1.37   -27.12    -1.81  5719.22
    506.35   268.40   221.14     1.17   -28.72    -2.51  5791.00
    500.00   268.05   219.05     0.94   -28.20    -2.47  5890.00
    487.05   267.10   218.78     0.98   -27.69    -2.42  6096.00
    481.00   266.65   218.65     0.99   -27.57    -2.72  6194.08
    438.00   261.25   215.25     1.00   -26.52    -4.86  6919.78
    400.00   256.85   211.85     0.93   -25.36    -6.79  7610.00
    399.47   256.77   211.81     0.93   -25.36    -6.79  7620.00
    385.00   254.65   210.65     0.96   -25.81    -6.92  7896.67
    383.54   254.53   210.59     0.96   -25.86    -6.93  7925.00
    358.00   252.45   209.45     0.99   -18.29   -14.18  8437.33
    324.78   246.94   205.59     0.95    -6.16   -16.93  9144.00
    300.00   242.45   202.45     0.93    -6.87   -18.87  9720.00
    299.00   242.25   202.25     0.92    -6.77   -18.85  9743.71
    286.00   240.65   201.65     0.98    -5.49   -18.56 10058.12
    263.00   235.05   197.05     0.86    -3.23   -17.79 10642.28
    262.02   234.92   196.99     0.86    -3.13   -17.75 10668.00
    250.62   233.34   196.29     0.91     4.40   -16.41 10973.00
    250.00   233.25   196.25     0.92     3.04   -17.23 10990.00
    241.00   231.65   195.65     0.99     2.15   -15.44 11238.08
    228.77   229.03   193.58     0.94     1.12   -12.82 11582.00
    200.00   222.25   188.25     0.83     5.81   -15.97 12470.00
    191.00   219.85   186.85     0.87     5.59   -16.04 12768.28
    186.00   219.45   186.45     0.85     5.46   -16.09 12939.04
    163.00   212.85   181.85     0.84     4.81   -16.30 13775.19
    150.00   209.85   179.85     0.85     4.40   -16.41 14290.00
    149.00   209.65   179.65     0.84     4.08   -16.43 14331.15
    127.80   201.26   175.03     1.08    -2.68   -15.21 15240.00
    112.00   194.05   171.05     1.42    -8.77   -11.69 16021.18
    106.00   192.05   170.05     1.57   -10.62    -9.52 16332.96
    100.00   190.65   168.65     1.46   -12.04    -6.95 16660.00
     70.00   193.85   171.85     1.74    -6.75     4.73 18670.00
     50.00   201.05   174.05     0.92    -7.72     0.00 20630.00
     30.00   216.05 -9999.00 -9999.00    -9.23     0.81 23780.00
     20.00   218.45 -9999.00 -9999.00   -10.77    -0.94 26350.00
     10.00   226.45 -9999.00 -9999.00    -9.86    -8.27 30900.00
