
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAOT          STNM =    70133    TIME = 200101/0000         
 SLAT =  66.89     SLON =  -162.61   SELV =     6.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    997.00   248.25   244.95    73.96    -2.23   -12.67     6.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -15.00
    994.00   248.85   242.85    57.56    -2.24   -13.21    27.99
    962.00   247.85   241.85    57.26    -1.88   -19.06   266.56
    956.93   247.95   241.71    55.99    -1.75   -20.00   305.00
    941.00   248.25   241.25    52.15    -4.10   -18.61   427.27
    925.00   247.25   241.25    57.08    -6.16   -16.93   552.00
    917.58   246.88   241.10    58.22    -5.99   -16.44   610.00
    886.00   245.25   240.45    63.48    -4.19    -9.35   862.23
    879.63   245.37   240.51    63.15    -3.70    -7.93   914.00
    865.00   245.65   240.65    62.37     0.28    -8.24  1034.43
    850.00   245.25   240.25    62.26     3.86    -6.69  1160.00
    843.05   245.02   240.02    62.20     5.02    -7.17  1219.00
    838.00   244.85   239.85    62.15     4.66    -7.62  1262.21
    828.00   246.25   239.25    51.51     3.83    -8.47  1348.69
    820.00   246.25   239.25    51.51     3.06    -9.09  1418.83
    800.00   244.85   239.85    62.15     0.72   -10.32  1596.70
    788.00   246.25   239.25    51.51    -0.93   -10.77  1705.57
    779.00   246.45   238.45    46.75    -2.27   -10.93  1788.58
    774.68   247.88   237.97    39.14    -2.93   -10.94  1829.00
    770.00   249.45   237.45    32.29    -3.17   -10.72  1873.11
    767.00   249.85   237.85    32.43    -3.31   -10.58  1901.70
    749.00   248.65   237.65    35.38    -4.11    -9.66  2075.34
    742.99   248.53   237.83    36.41    -4.35    -9.33  2134.00
    712.61   247.90   238.77    42.26    -0.49    -5.64  2438.00
    710.00   247.85   238.85    42.81    -0.60    -4.88  2464.77
    709.00   248.45   239.45    43.02    -0.63    -4.59  2475.03
    700.00   247.65   239.65    47.15    -0.53    -1.99  2568.00
    683.14   245.94   239.51    54.35    -1.47    -2.11  2743.00
    665.00   244.05   239.35    63.78    -1.95    -1.42  2936.26
    660.00   243.65   237.65    55.99    -2.03    -1.21  2990.00
    658.00   243.85   233.85    37.39    -2.06    -1.12  3011.60
    651.00   243.85   227.85    19.76    -2.13    -0.82  3087.75
    634.00   244.65   216.65     5.00    -2.12    -0.09  3276.46
    627.23   244.48   216.21     4.80    -2.05     0.18  3353.00
    610.00   244.05   215.05     4.33    -1.85     2.01  3551.77
    600.94   243.48   215.34     4.74    -1.06     2.90  3658.00
    579.00   242.05   216.05     5.93    -0.78     3.90  3921.89
    572.00   242.45   215.45     5.30    -0.63     4.22  4007.92
    551.30   241.02   213.60     4.81     0.00     5.15  4267.00
