
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAMC          STNM =    70231    TIME = 200101/0000         
 SLAT =  62.96     SLON =  -155.60   SELV =   105.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    972.00   253.25   251.35    84.80     1.96    -4.20   105.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  -105.00
    956.00   252.25   249.55    78.87     2.90    -6.21   228.39
    946.15   251.60   249.27    81.43     3.48    -7.47   305.00
    935.00   250.85   248.95    84.49     4.05    -8.69   392.73
    925.00   250.45   248.45    83.68     4.57    -9.80   472.00
    917.00   250.45   248.35    82.93     3.65   -11.18   535.75
    912.00   250.65   248.35    81.49     2.93   -12.01   575.90
    907.77   250.46   248.16    81.46     2.23   -12.67   610.00
    886.00   249.45   247.15    81.30    -0.34   -11.36   787.84
    883.00   250.05   247.45    79.21    -0.66   -11.13   812.66
    878.00   252.65   250.15    80.35    -1.15   -10.74   854.49
    874.00   253.05   250.55    80.41    -1.52   -10.40   888.33
    870.98   252.90   250.47    80.93    -1.79   -10.14   914.00
    866.00   252.65   250.35    81.79    -2.58    -9.84   956.47
    858.00   253.85   251.25    79.84    -3.79    -9.23  1025.36
    850.00   253.45   251.15    81.90    -4.89    -8.47  1095.00
    839.00   252.85   250.65    82.54    -4.13    -8.43  1191.54
    835.90   253.39   250.96    80.95    -3.92    -8.40  1219.00
    831.00   254.25   251.45    78.52    -3.38    -8.31  1262.67
    813.00   255.25   252.55    79.37    -1.55    -7.71  1426.01
    802.46   256.61   253.91    79.59    -0.63    -7.18  1524.00
    796.00   257.45   254.75    79.73    -3.29    -5.71  1584.64
    789.00   256.65   254.55    83.78    -4.97    -3.21  1651.13
    776.00   257.05   255.05    84.54    -4.41     1.47  1776.09
    774.00   257.45   255.75    86.76    -3.99     1.98  1795.54
    771.00   260.25   258.65    87.78    -3.26     2.58  1824.98
    770.59   260.34   258.74    87.82    -3.16     2.65  1829.00
    762.00   262.25   260.75    88.69    -3.18     4.39  1914.85
    740.54   261.76   260.02    86.91     0.00     8.75  2134.00
    727.00   261.45   259.55    85.78    -0.37     9.22  2275.57
    711.67   259.99   258.48    88.43    -0.85     9.74  2438.00
    700.00   258.85   257.65    90.59    -2.67     9.95  2564.00
    695.00   258.45   257.55    92.84    -3.33    10.24  2618.20
    683.59   257.69   256.69    92.06    -5.00    10.73  2743.00
    683.00   257.65   256.65    92.02    -5.04    10.96  2749.56
    666.00   257.85   257.05    93.58    -4.89    17.81  2939.46
    656.45   257.40   256.60    93.56    -3.84    21.80  3048.00
    637.00   256.45   255.65    93.51    -1.79    22.83  3274.08
    636.00   256.25   255.65    95.08    -1.67    22.88  3285.85
    631.00   255.85   253.85    84.39    -1.10    23.11  3344.91
    629.00   255.65   254.45    90.34    -0.87    23.20  3368.64
    613.00   254.05   251.25    78.48     1.08    23.84  3560.53
    610.00   253.65   251.25    81.22     1.46    23.95  3596.92
    607.00   253.45   249.55    71.11     1.85    24.05  3633.45
    604.99   253.27   249.15    69.67     2.11    24.11  3658.00
    598.00   252.65   247.75    64.82     2.18    24.90  3743.89
    566.00   249.25   246.55    78.36     2.50    28.63  4147.09
    559.00   248.65   246.25    80.44     2.58    29.47  4237.60
    556.74   248.48   246.01    79.90     2.60    29.75  4267.00
    546.00   247.65   244.85    77.35     1.48    31.36  4408.18
    537.00   247.05   242.35    64.58     0.42    32.71  4528.28
    527.00   246.25   241.55    64.37    -0.88    34.18  4663.71
    511.52   244.78   240.81    68.70    -3.19    36.41  4877.00
    500.00   243.65   240.25    72.28    -6.35    35.99  5040.00
    483.00   241.85   238.65    73.31    -8.12    35.93  5286.02
    469.40   240.05   236.33    69.24    -9.59    35.81  5486.00
    449.40   237.30   232.80    63.19   -11.97    32.90  5791.00
    442.00   236.25   231.45    60.93   -12.04    33.08  5907.27
    429.99   234.69   230.41    63.92   -12.15    33.38  6096.00
    406.00   231.45   228.25    70.93   -10.94    38.07  6489.26
    401.00   230.65   228.55    79.77   -10.60    39.08  6573.13
    400.00   230.65   228.85    82.41   -10.53    39.28  6590.00
    399.00   230.58   229.32    87.29   -10.53    39.28  6606.94
    397.00   230.45   230.25    97.89   -10.53    39.28  6640.96
    394.00   230.85   229.95    90.84   -10.53    39.28  6692.32
    393.21   230.69   230.19    94.78   -10.53    39.28  6706.00
    393.00   230.65   230.25    95.82   -10.48    39.25  6709.54
    382.00   229.65   228.05    84.07    -7.85    37.55  6901.35
    376.00   229.65   224.75    58.26    -6.48    36.53  7008.09
    375.00   229.65   225.15    60.95    -6.25    36.36  7026.04
    373.00   229.45   225.75    66.61    -5.81    36.00  7062.08
    372.00   229.25   224.95    62.21    -5.59    35.82  7080.15
    370.00   229.05   217.05    25.11    -5.15    35.45  7116.42
    369.00   229.05   215.05    19.60    -4.94    35.26  7134.62
    364.00   228.45   219.45    35.83    -3.89    34.30  7226.23
    360.00   228.05   217.05    28.00    -3.07    33.50  7300.27
    359.20   227.94   217.14    28.64    -2.92    33.33  7315.00
    344.00   225.85   218.85    44.43    -0.18    36.38  7603.15
    343.13   225.71   219.32    47.74     0.00    36.55  7620.00
    339.00   225.05   221.55    66.92     0.29    36.78  7700.05
    335.00   224.45   221.75    73.31     0.58    37.00  7778.36
    331.00   223.65   223.35    96.62     0.87    37.23  7857.37
    322.00   223.25   221.55    82.13     1.56    37.73  8038.20
    320.00   223.25   218.25    55.48     1.72    37.85  8079.04
    319.00   223.25   217.25    49.13     1.80    37.90  8099.55
    317.00   223.05   217.05    49.05     1.96    38.01  8140.75
    312.00   222.65   214.65    38.13     2.37    38.30  8244.75
    306.00   221.65   213.65    37.74     2.88    38.63  8371.39
    300.00   220.85   211.85    32.90     3.41    38.97  8500.00
    293.00   220.25   210.25    28.65     3.36    38.38  8652.15
    288.00   219.85   209.85    28.50     3.32    37.96  8762.82
    284.61   220.02   209.17    25.52     3.50    40.00  8839.00
    284.00   220.05   209.05    25.02     3.62    39.54  8852.71
    277.00   220.65   196.65     3.93     4.73    34.21  9013.40
    271.49   221.36   196.38     3.46     5.27    29.91  9144.00
    250.00   224.25   195.25     2.08     1.70    19.49  9680.00
    248.00   225.05   195.05     1.84     3.08    20.44  9732.90
    247.21   225.09   195.03     1.83     3.67    20.79  9754.00
    223.00   226.25   194.25     1.42     5.53    17.56 10435.89
    219.00   225.85   193.85     1.39     5.78    16.99 10555.85
    215.34   226.30   193.92     1.34     5.99    16.44 10668.00
    205.70   227.51   194.13     1.21     3.86    14.42 10973.00
    200.00   228.25   194.25     1.14     8.75    15.16 11160.00
    189.00   229.65   194.65     1.04     9.49    14.25 11539.42
    171.48   228.55   194.47     1.14    10.59    12.62 12192.00
    170.00   228.45   194.45     1.15    10.44    12.87 12250.32
    156.57   229.07   194.29     1.05     8.75    15.16 12802.00
    153.00   229.25   194.25     1.02    11.97    13.89 12956.66
    150.00   230.45   194.45     0.93    14.59    12.25 13090.00
    146.00   231.05   195.05     0.96    14.59    12.25 13271.97
    143.01   230.92   194.92     0.95    14.59    12.25 13411.00
    136.67   230.62   194.62     0.94    12.74    12.74 13716.00
    130.62   230.33   194.33     0.92    13.99     6.53 14021.00
    125.00   230.05   194.05     0.91    11.39    11.15 14316.57
    124.83   230.08   194.06     0.91    11.29    11.29 14326.00
    119.32   231.18   194.47     0.86    10.92    13.02 14630.00
    117.00   231.65   194.65     0.84    12.42    12.24 14762.05
    108.99   231.02   194.02     0.81    17.27     8.05 15240.00
    100.00   230.25   193.25     0.78    14.34    10.04 15820.00
