
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PACD          STNM =    70316    TIME = 200101/0000         
 SLAT =  55.20     SLON =  -162.72   SELV =    28.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    999.00   264.05   262.95    91.71    11.80    -8.27    28.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    16.00
    969.00   263.05   257.05    61.48    14.10   -15.46   261.65
    963.49   262.68   256.96    62.85    14.23   -16.96   305.00
    925.61   260.09   256.36    73.54    16.02   -16.02   610.00
    925.00   260.05   256.35    73.73    16.02   -16.02   615.00
    889.08   257.20   254.52    79.87    15.66   -15.66   914.00
    863.00   255.05   253.15    85.02    15.39   -15.39  1138.73
    853.77   254.48   251.24    75.55    15.29   -15.29  1219.00
    850.00   254.25   250.45    71.91    13.57   -16.17  1252.00
    814.00   251.65   246.65    63.98    13.02   -15.52  1572.53
    785.77   249.44   245.10    67.44    12.57   -14.98  1829.00
    753.46   246.81   243.26    71.97    12.91   -15.38  2134.00
    728.00   244.65   241.75    76.06    13.01   -17.97  2383.79
    722.50   244.42   239.37    61.74    12.99   -18.55  2438.00
    700.00   243.45   229.45    24.41    16.55   -19.72  2664.00
    695.00   243.45   223.45    12.53    16.76   -19.97  2715.12
    692.29   243.25   223.59    12.97    16.87   -20.11  2743.00
    687.00   242.85   223.85    13.88    16.91   -20.80  2797.59
    663.18   241.79   228.95    27.07    16.83   -24.03  3048.00
    660.00   241.65   229.65    29.59    16.78   -23.72  3082.12
    608.02   239.44   224.67    21.17    15.56   -18.54  3658.00
    569.00   237.65   220.65    15.86    16.21   -16.90  4123.65
    561.00   238.25   218.25    11.22    16.33   -16.54  4222.35
    557.40   238.06   218.00    11.10    16.38   -16.38  4267.00
    510.43   235.46   214.64     9.51    16.17   -13.57  4877.00
    500.00   234.85   213.85     9.16    15.18   -10.63  5020.00
    466.98   232.51   209.16     6.34    13.49    -9.45  5486.00
    445.00   230.85   205.85     4.81    14.19    -7.22  5814.95
    426.78   229.05   207.91     7.74    14.51    -5.28  6096.00
    417.00   228.05   209.05    10.06    16.01    -4.18  6251.80
    400.00   228.25   206.25     6.73    18.46    -1.61  6530.00
    399.00   228.45   206.45     6.77    18.51    -1.62  6546.63
    389.48   227.80   206.21     7.02    18.98    -1.66  6706.00
    371.95   226.57   205.75     7.55    16.93    -6.16  7010.00
    355.16   225.34   205.28     8.12    22.74    -8.28  7315.00
    354.00   225.25   205.25     8.16    22.74    -8.28  7336.52
    339.21   229.02   202.94     3.89    17.39   -10.04  7620.00
    330.00   231.45   201.45     2.42    16.58    -1.73  7802.99
    324.03   230.78   201.17     2.49    14.19     2.50  7925.00
    309.58   229.09   200.48     2.70    14.26     8.23  8230.00
    301.00   228.05   200.05     2.83    17.11     5.10  8417.92
    300.00   228.05   200.05     2.83    17.41     4.66  8440.00
    282.90   230.34   198.97     1.88    18.02    -0.00  8839.00
    270.48   232.09   198.15     1.38    16.22     2.86  9144.00
    258.61   233.84   197.33     1.02    18.98     1.66  9449.00
    252.00   234.85   196.85     0.85    13.38     2.08  9625.09
    250.00   234.45   196.45     0.83    11.66     2.06  9680.00
    247.30   234.20   196.32     0.84    10.77     0.94  9754.00
    216.29   231.05   194.67     0.90     9.95     2.67 10668.00
    209.00   230.25   194.25     0.92    14.03     5.11 10901.72
    200.00   231.45   193.45     0.71    19.77     3.49 11200.00
    173.00   234.40   194.56     0.62    22.25     8.10 12192.00
    165.45   235.31   194.90     0.60    20.79     3.67 12497.00
    158.00   236.25   195.25     0.58    17.28     6.42 12812.20
    151.40   234.94   194.76     0.61    13.82     7.98 13106.00
    150.00   234.65   194.65     0.62    13.99     6.53 13170.00
    126.63   232.85   193.67     0.64    13.06     4.75 14326.00
    122.00   232.45   193.45     0.64    14.47     5.87 14580.08
    115.83   234.35   193.99     0.57    16.33     7.62 14935.00
    113.00   235.25   194.25     0.54    11.35     6.69 15103.75
    110.77   234.89   194.05     0.55     7.59     5.32 15240.00
    105.94   234.09   193.62     0.55     2.61     5.60 15545.00
    100.00   233.05   193.05     0.56    13.82     7.98 15940.00
     96.91   232.96   192.96     0.56    13.82     7.98 16154.00
     70.00   232.05   192.05     0.53     3.26     7.00 18370.00
     50.00   230.25   190.25     0.48     6.69     3.86 20650.00
     30.00   234.05   192.05     0.43     4.46     2.57 24120.00
     20.00   233.25   192.25     0.49     1.54     2.68 26890.00
     10.00   235.25   193.25     0.46     1.43     8.11 31620.00
