
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    91948    TIME = 200101/0000         
 SLAT = -23.13     SLON =  -134.96   SELV =    89.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   300.35   296.55    79.75    -0.53    -1.45    89.00
   1000.00   299.35   296.25    83.07    -0.87    -1.87   147.00
    967.00   294.95   294.15    95.21    -3.91    -2.98   441.63
    961.00   294.75   293.95    95.21    -4.61    -2.89   495.83
    947.00   294.06   293.10    94.28    -6.29    -2.29   623.12
    925.00   292.95   291.75    92.79    -6.06    -2.83   827.00
    850.00   289.15   287.35    89.06    -4.73    -3.97  1554.00
    745.00   283.15   280.25    82.17    -1.94    -5.49  2664.42
    730.00   282.35   274.35    57.31    -1.47    -5.58  2833.36
    712.00   280.95   278.05    81.88    -0.89    -5.64  3039.87
    703.00   281.35   259.35    19.45    -0.59    -5.64  3144.78
    700.00   280.95   263.95    28.87    -0.49    -5.64  3180.00
    693.00   280.11   269.40    46.41    -0.49    -5.64  3262.69
    690.00   279.75   271.75    56.64    -0.65    -5.59  3298.39
    678.00   278.75   270.75    56.38    -1.24    -5.35  3442.25
    673.00   279.15   255.15    15.96    -1.48    -5.23  3502.82
    630.00   278.35   229.35     1.43    -3.18    -3.78  4041.94
    605.00   276.51   227.71     1.36    -3.79    -2.66  4366.32
    538.00   271.19   222.94     1.17     1.33    -0.77  5306.59
    511.00   268.85   220.85     1.09     3.09    -1.31  5719.08
    500.00   267.65   219.65     1.04     3.87    -1.41  5890.00
    469.00   263.85   217.85     1.12     6.24    -1.51  6388.71
    436.00   259.65   251.65    50.96     8.98    -1.00  6948.90
    409.00   256.39   250.61    60.90    11.33    -0.00  7431.89
    400.00   255.25   250.25    64.90    11.33    -0.00  7600.00
    349.00   248.45   246.75    85.73     9.10     3.13  8606.86
    335.00   246.45   242.25    67.57     8.27     3.80  8903.75
    308.00   241.45   238.25    73.22     6.48     4.77  9504.38
    300.00   240.05   234.05    54.87     5.91     4.96  9690.00
    290.00   238.25   227.25    31.72     5.26     5.08  9926.80
    267.00   233.05   226.05    47.05     3.74     5.09 10495.50
    264.00   232.47   225.64    47.75     3.54     5.06 10571.85
    250.00   229.65   223.65    51.41     5.02     7.17 10940.00
    240.00   227.45   222.55    57.55     5.87     8.98 11213.26
    200.00   217.05   207.05    27.41     8.27    17.73 12400.00
    190.00   214.05   202.05    19.71     7.05    18.60 12723.53
    157.00   203.45   192.45    18.77     1.84    21.03 13888.87
    150.00   202.85   191.85    18.55     7.04    19.35 14160.00
    147.00   202.60   191.01    16.75    10.04    17.39 14278.68
    126.00   200.72   184.61     7.33     5.65    12.13 15184.24
    117.00   199.81   181.54     4.78    12.10    20.96 15619.59
    110.00   199.05   178.98     3.29     5.46    15.00 15982.01
    103.00   198.25   176.25     2.17     9.63     9.92 16368.26
    100.00   198.45   176.45     2.19    10.54     7.38 16540.00
     70.00   201.05   175.05     1.12    -0.40    -1.49 18620.00
     50.00   206.65   178.65     1.04    -6.46    -1.73 20630.00
     30.00   215.85   185.85     1.18   -14.19    -2.50 23800.00
     20.00   219.25   188.25     1.18   -10.26    -0.90 26380.00
