
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = GMMC          STNM =    60155    TIME = 200101/0000         
 SLAT =  33.56     SLON =    -7.66   SELV =    58.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1022.00   283.75   283.35    97.37    -0.00    -0.00    58.00
   1016.00   285.75   284.85    94.25    -0.00    -0.00   106.63
   1013.00   287.55   286.05    90.70    -0.00    -0.00   131.23
   1000.00   287.35   285.75    90.09    -0.00    -0.00   239.00
    992.00   287.23   285.07    86.87    -0.00    -0.00   306.84
    987.00   287.15   284.65    84.89    -0.03    -0.22   349.51
    969.00   286.95   284.05    82.64    -0.52    -0.90   504.81
    947.00   289.15   273.15    33.64    -1.77    -1.03   699.00
    925.00   288.95   256.95     9.67    -3.09     0.00   898.00
    920.00   288.77   256.03     9.06    -3.55    -0.63   943.63
    866.00   286.75   245.75     4.18    -2.03    -1.32  1452.91
    850.00   285.55   256.55    11.66    -1.58    -1.32  1609.00
    750.00   281.75   254.75    12.91    -5.04    -3.34  2649.02
    736.00   280.75   264.75    31.16    -5.60    -3.58  2804.34
    708.00   279.55   263.55    30.80    -6.78    -4.01  3122.93
    700.00   279.15   263.15    30.68    -7.14    -4.12  3216.00
    699.00   279.07   263.02    30.52    -6.75    -4.73  3227.36
    518.00   263.25   235.25     8.14    -5.79    -1.30  5608.64
    500.00   260.85   236.85    11.58    -5.57    -0.98  5880.00
    400.00   246.85   224.85    10.72    -2.65    -3.16  7540.00
    315.00   233.05   210.05     6.74    -3.27    -2.51  9218.61
    300.00   230.85   207.85     6.33    -3.37    -2.36  9550.00
    288.00   228.75   206.86     6.94    -4.10    -0.36  9818.68
    250.00   221.45   203.45     9.79    -0.18    -1.01 10750.00
    223.00   216.12   198.12     8.50    -0.00    -4.63 11472.17
    219.00   215.28   197.28     8.30    -0.00    -4.63 11586.54
    203.00   211.74   193.74     7.49     0.44    -0.25 12065.92
    200.00   211.05   193.05     7.33     1.54    -0.00 12160.00
    184.00   207.85   188.85     5.60     4.40     1.47 12673.01
    167.00   206.07   187.07     5.27     6.31     5.30 13260.91
    158.00   205.05   186.05     5.08     8.24    -0.00 13596.88
    150.00   205.25   187.25     6.09     7.74    -2.82 13910.00
    139.00   205.92   184.86     3.64    10.25    -5.92 14369.51
    120.00   207.23   180.24     1.30    13.38    -0.00 15256.31
    117.00   207.45   179.45     1.09    13.37    -2.49 15409.06
    113.00   207.32   179.32     1.08    12.60    -5.87 15619.75
    105.00   207.04   179.04     1.06    13.90    -0.00 16064.49
    100.00   206.85   178.85     1.05    11.16    -1.97 16360.00
     70.00   208.05   180.05     1.12     8.92    -5.15 18510.00
     50.00   208.85   180.85     1.17     3.61    -6.24 20570.00
     30.00   214.45   184.45     1.10     8.72     0.76 23740.00
