
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89009    TIME = 200101/0000         
 SLAT = -90.00     SLON =     0.00   SELV =  2835.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    688.00   247.05   242.25    63.96    -3.57     2.06  2835.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -87.00
    925.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   559.00
    850.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  1242.00
    700.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  2715.00
    685.00   245.65   242.05    71.35    -4.24     1.67  2866.55
    681.00   246.22   242.11    68.07    -5.07     0.89  2908.80
    678.00   246.65   242.15    65.71    -5.19     0.88  2940.66
    623.00   242.05   240.25    84.10    -7.47     0.32  3546.53
    605.00   241.07   239.03    81.98    -8.24     0.00  3754.00
    601.00   240.85   238.75    81.50    -7.99     0.51  3800.94
    587.00   242.45   237.95    64.61    -6.88     2.06  3967.87
    566.00   242.25   235.25    50.21    -4.73     3.53  4226.62
    561.00   242.05   238.85    73.35    -4.18     3.71  4289.59
    559.00   242.05   234.05    45.26    -3.96     3.76  4314.92
    553.00   241.85   233.85    45.19    -3.30     3.86  4391.44
    546.00   241.65   236.75    61.87    -2.56     3.86  4481.69
    537.00   241.05   233.05    44.91    -1.67     3.69  4599.25
    500.00   237.65   231.65    54.09     0.40     1.49  5100.00
    495.00   237.05   231.05    53.90     0.42     1.58  5170.01
    480.00   235.25   233.75    85.74     0.47     1.86  5383.27
    460.00   233.05   231.05    81.05     0.52     2.25  5675.72
    454.00   232.65   225.65    46.91     0.54     2.37  5765.44
    448.00   231.85   229.55    78.28     0.55     2.49  5856.11
    444.00   231.85   220.85    29.40     0.56     2.58  5917.14
    439.00   231.25   224.25    46.41     0.57     2.68  5994.09
    431.00   230.65   217.65    22.76     0.59     2.85  6118.73
    400.00   227.05   223.55    67.47     0.63     3.55  6620.00
    394.00   226.25   223.85    76.30     0.61     3.45  6720.16
    343.00   220.25   214.25    48.01     0.45     2.53  7625.00
    312.00   220.85   203.85    11.12     0.54     1.76  8235.83
    300.00   222.45   202.45     7.56     0.53     1.45  8490.00
    261.00   226.05   195.05     1.65    -2.15     0.88  9404.38
    250.00   227.05   194.05     1.26    -2.56    -0.22  9690.00
    228.00   228.45   193.45     0.98    -2.78     0.06 10303.50
    200.00   229.05   193.05     0.86    -3.04     0.54 11180.00
    184.00   229.75   192.88     0.78    -4.84     1.76 11742.29
    177.00   230.07   192.80     0.74    -5.64     0.49 12003.84
    164.00   230.71   192.64     0.67    -4.46     2.58 12518.26
    150.00   231.45   192.45     0.61    -5.13     0.45 13120.00
    148.00   231.55   192.46     0.60    -5.15     0.00 13211.31
    144.00   231.74   192.48     0.59    -4.46     2.58 13397.68
    134.00   232.25   192.52     0.56    -4.64     3.25 13887.26
    122.00   232.92   192.58     0.53    -6.69     0.00 14525.43
    119.00   233.09   192.60     0.52    -4.67     2.18 14694.79
    110.00   233.65   192.65     0.50    -5.31     1.40 15229.73
    106.00   233.34   192.34     0.49    -5.57     0.98 15482.45
    104.00   233.18   192.18     0.48    -5.35     3.09 15612.41
    100.00   232.85   191.85     0.47    -6.29     2.29 15880.00
     70.00   234.45   192.45     0.44    -4.01     2.32 18320.00
     50.00   236.65   193.65     0.43    -5.13     2.39 20640.00
     30.00   236.25   194.25     0.49    -9.13     1.61 24180.00
