
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LGAT          STNM =    16716    TIME = 200101/1200         
 SLAT =  37.90     SLON =    23.73   SELV =    15.0
 STIM =  1100

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1016.00   284.75   273.75    46.76    -0.00    -2.57    15.00
   1000.00   283.35   273.35    49.86    -1.20    -4.47   173.00
    992.00   282.86   273.16    50.85    -2.39    -5.13   239.04
    954.00   280.45   272.26    56.05    -1.43    -8.11   560.19
    925.00   278.55   271.55    60.64    -3.06   -11.44   814.00
    922.00   278.34   271.38    60.76    -3.06   -11.44   840.35
    891.00   276.16   269.60    62.07    -3.92    -8.40  1117.82
    858.00   273.75   267.64    63.60    -9.28    -6.50  1424.00
    850.00   273.15   267.15    63.99    -8.44    -5.91  1500.00
    834.00   271.85   266.85    68.77    -6.16    -6.71  1651.77
    827.00   271.65   262.65    50.32    -5.16    -6.84  1718.88
    824.00   271.45   266.85    70.82    -4.75    -6.86  1747.80
    802.00   270.05   266.85    78.55    -1.94    -6.35  1962.54
    758.00   267.62   257.30    44.05     1.06    -2.90  2406.44
    748.00   267.05   255.05    38.10     1.82    -3.82  2510.92
    740.00   266.43   256.94    46.82     2.58    -4.46  2594.67
    720.00   264.85   261.75    78.32     0.45    -7.89  2808.09
    714.00   265.45   265.45   100.00    -0.74    -8.71  2873.11
    703.00   264.98   264.98   100.00    -3.52    -9.68  2993.77
    700.00   264.85   264.85   100.00    -3.52    -9.68  3027.00
    683.00   263.88   263.67    98.38    -0.00    -9.27  3217.20
    652.00   262.05   261.45    95.32    -0.60   -10.28  3576.54
    638.00   262.25   258.55    74.16    -0.92   -10.74  3743.58
    637.00   262.16   258.49    74.33    -0.94   -10.77  3755.46
    607.00   259.47   256.76    80.01    -0.00    -7.21  4120.79
    573.00   256.24   254.69    87.71     2.13    -7.96  4557.32
    549.00   253.85   253.15    94.17     0.98    -9.61  4881.35
    522.00   250.98   246.96    69.79    -0.99   -11.29  5254.56
    519.00   250.65   246.25    67.33    -0.57   -10.97  5297.21
    500.00   248.05   248.05   100.00     1.52    -8.62  5570.00
    499.00   247.85   247.65    98.21     1.63    -8.60  5584.54
    495.00   248.45   244.85    71.97     2.05    -8.51  5643.03
    489.00   248.05   243.05    63.03     2.68    -8.33  5731.68
    486.00   247.75   243.57    68.04     2.99    -8.22  5776.35
    485.00   247.65   243.75    69.80     2.98    -8.24  5791.29
    473.00   246.25   241.35    63.14     2.82    -8.45  5972.46
    470.00   246.25   234.25    31.19     2.78    -8.51  6018.33
    454.00   244.85   220.85     8.13     2.54    -8.79  6267.30
    408.00   238.07   218.65    11.99     1.70    -9.63  7021.40
    404.00   237.45   218.45    12.45     2.93    -9.33  7090.95
    401.00   236.85   220.85    17.59     3.84    -9.00  7142.69
    400.00   236.85   222.85    22.21     4.13    -8.86  7160.00
    397.00   236.55   228.68    43.93     4.89    -8.47  7211.93
    394.00   236.25   234.55    84.13     5.04    -8.73  7264.25
    377.00   234.05   231.98    80.65     5.92   -10.25  7566.18
    371.00   233.25   231.05    79.39     7.77    -8.18  7676.01
    366.00   232.90   230.20    75.16     8.86    -6.20  7767.78
    356.00   232.20   228.46    67.08     8.86    -6.20  7955.15
    338.00   230.88   225.21    53.81    11.84    -0.00  8306.07
    335.00   230.65   224.65    51.75    12.19    -0.53  8366.37
    330.00   229.85   226.85    72.11    12.71    -1.49  8467.34
    321.00   228.45   216.45    24.90    13.48    -3.46  8652.09
    309.00   226.87   216.56    30.02    13.99    -6.53  8904.32
    300.00   225.65   216.65    34.77    14.51    -5.28  9100.00
    283.00   222.45   214.45    38.06    15.35    -2.82  9484.84
    250.00   218.65   207.65    24.49    15.72     2.77 10290.00
    243.00   218.05   204.05    15.99    17.48     3.08 10471.26
    240.00   217.86   203.72    15.62    18.25     3.22 10550.19
    230.00   217.20   202.59    14.40    15.16     8.75 10820.58
    222.00   216.65   201.65    13.44    16.93     6.16 11045.51
    211.00   216.45   193.45     3.94    18.23     3.30 11367.19
    205.00   220.25   195.25     3.31    18.74     1.55 11551.31
    200.00   219.45   195.45     3.76    19.05    -0.00 11710.00
    184.00   216.65   193.65     3.97    21.29    -3.75 12243.16
    167.00   215.64   191.80     3.33    15.38    -1.35 12857.34
    164.00   215.45   191.45     3.22    15.73     0.64 12972.19
    158.00   217.85   189.85     1.84    15.61     4.90 13208.98
    157.00   217.70   189.83     1.86    15.48     5.63 13249.43
    150.00   216.65   189.65     2.06    18.89     5.06 13540.00
    134.00   216.30   189.30     2.03    15.96    -0.00 14254.97
    120.00   215.96   188.96     2.00    22.56     1.97 14954.42
    116.00   215.85   188.85     1.99    21.53     1.22 15169.31
    109.00   213.38   187.93     2.31    19.56    -0.00 15560.19
    107.00   212.65   187.65     2.42    19.03     1.79 15676.49
    100.00   214.45   187.45     1.86    15.86     7.40 16100.00
     70.00   214.25   187.25     1.84    14.51    -5.28 18330.00
     50.00   215.05   186.05     1.35    13.85    -1.21 20430.00
     30.00   220.65   188.65     1.07    11.84    -0.00 23660.00
     20.00   225.65   191.65     1.00    24.08    13.90 26300.00
     11.70 -9999.00 -9999.00 -9999.00    30.37    21.26 -9999.00
