
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = NSTU          STNM =    91765    TIME = 200102/0000         
 SLAT = -14.33     SLON =  -170.71   SELV =     5.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1005.00   302.75   297.75    74.54     0.93     3.48     5.00
   1002.00   301.75   293.75    61.94     0.81     3.83    33.81
   1000.00   301.35   294.35    65.78     0.72     4.06    53.00
    994.00   300.55   293.55    65.62     0.59     4.00   106.51
    925.00   294.95   290.75    77.04    -0.54     3.04   739.00
    920.00   294.55   290.65    78.45    -0.36     3.04   786.14
    882.00   292.35   289.35    82.76     0.87     2.66  1151.33
    850.00   290.75   286.75    77.38     1.65     1.97  1469.00
    845.00   290.55   286.25    75.85     1.91     2.10  1519.54
    805.00   286.75   284.95    88.87     4.39     2.43  1932.06
    781.00   286.15   284.05    87.07     6.10     1.90  2187.51
    775.00   285.35   282.65    83.56     6.53     1.67  2252.41
    770.00   283.55   279.05    73.66     6.88     1.44  2306.59
    764.00   282.95   278.65    74.58     7.30     1.13  2371.75
    755.00   282.55   277.65    71.45     7.90     0.58  2470.27
    752.00   282.95   279.45    78.82     8.09     0.38  2503.37
    741.00   281.95   276.95    70.84     8.75    -0.46  2625.76
    711.00   281.55   277.95    78.06    10.05    -3.46  2968.12
    700.00   280.75   275.75    70.60    10.27    -4.79  3097.00
    697.00   280.35   274.35    65.65    10.30    -4.64  3132.35
    685.00   279.75   268.75    45.32    10.41    -4.03  3274.91
    682.00   279.75   264.75    33.37    10.44    -3.87  3310.87
    676.00   280.15   263.15    28.64    10.47    -3.56  3383.28
    667.00   282.15   256.15    14.14    10.51    -3.09  3493.54
    649.00   283.15   243.15     4.16    10.53    -2.15  3719.65
    590.00   279.95   230.95     1.52     9.97     0.96  4504.00
    545.00   275.55   226.55     1.29     8.86     3.16  5148.01
    536.00   275.75   226.75     1.30     8.57     3.57  5282.15
    514.00   274.55   225.55     1.23     7.76     4.49  5619.17
    500.00   272.65   238.65     5.61     7.17     5.02  5840.00
    445.00   264.05   237.05     9.17     6.33     6.43  6759.38
    409.00   260.45   223.45     2.85     5.55     7.36  7409.72
    400.00   260.25   219.25     1.77     5.32     7.59  7580.00
    395.00   259.85   218.85     1.74     5.60     7.44  7675.85
    340.00   251.85   208.85     0.96     8.57     4.86  8799.96
    328.00   249.65   229.65    14.15     9.12     4.05  9063.98
    300.00   244.45   223.45    11.41    10.14     1.79  9710.00
    297.00   243.85   223.85    12.64    10.56     1.71  9781.71
    256.00   237.25   210.25     4.51    16.54    -0.88 10825.93
    250.00   236.25   212.25     6.47    17.43    -1.53 10990.00
    241.00   234.65   216.65    13.26    17.66    -3.09 11242.27
    220.00   229.05   215.05    19.60    17.57    -7.17 11859.99
    203.00   224.25   200.25     4.46    16.70   -10.84 12392.65
    200.00   223.25   197.25     3.18    16.45   -11.52 12490.00
    191.00   220.65   200.65     7.17    16.22   -10.37 12790.12
    177.00   216.85   204.85    20.72    15.71    -8.57 13279.14
    158.00   210.25   198.25    18.35    14.63    -6.12 13991.28
    151.00   207.85   192.85    10.87    14.11    -5.23 14269.48
    150.00   207.45   192.45    10.76    14.03    -5.11 14310.00
    128.00   199.25   188.25    17.21    10.35    -5.46 15253.44
    122.00   197.85   185.85    14.01     9.28    -5.40 15532.27
    112.00   193.85   183.85    18.28     7.42    -5.08 16022.22
    110.00   193.45   183.45    18.12     7.04    -4.98 16124.29
    100.00   190.85   180.85    17.11     5.12    -4.30 16660.00
     86.70   186.25   176.25    15.35     2.18    -4.67 17446.50
     70.00   192.25   182.25    17.66    -5.30     6.31 18630.00
     50.00   204.05   192.05    16.15    -6.46    -1.73 20610.00
     30.00   213.05   189.05     2.92    -8.22     2.99 23730.00
     20.00   219.25   186.25     0.84   -20.79    -3.67 26290.00
     10.00   228.05   193.05     0.96   -32.43     0.00 30830.00
      9.70 -9999.00 -9999.00 -9999.00   -32.95     0.00 -9999.00
