
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PANC          STNM =    70273    TIME = 200102/0000         
 SLAT =  61.16     SLON =  -150.01   SELV =    40.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    984.00   261.45   257.05    69.83     0.00     1.03    40.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -70.00
    969.00   260.45   256.05    69.61     0.29     2.42   161.26
    951.37   259.11   255.93    76.87     1.07     3.98   305.00
    925.00   257.05   255.75    89.69     0.31     3.59   525.00
    921.00   256.65   255.75    92.73     0.25     2.80   557.56
    918.00   256.45   254.95    88.13     0.19     2.21   582.04
    916.00   256.85   253.55    75.65     0.16     1.81   598.41
    914.59   256.92   253.41    74.30     0.13     1.53   610.00
    912.00   257.05   253.15    71.88    -0.10     1.46   631.30
    881.00   255.05   252.85    82.85    -0.55    -0.20   890.27
    878.20   255.05   252.54    80.66    -0.44    -0.25   914.00
    872.00   255.05   251.85    75.96    -0.76    -0.58   966.86
    858.00   254.25   253.25    91.79    -1.14    -1.62  1087.40
    850.00   253.85   252.65    90.19    -1.09    -2.33  1157.00
    842.94   253.75   252.40    89.01    -1.46    -1.46  1219.00
    836.00   253.65   252.15    87.85    -3.19    -1.69  1280.44
    823.00   252.65   252.15    95.76    -6.53     0.51  1396.65
    819.00   253.05   253.05   100.00    -7.23     1.87  1432.73
    808.96   252.38   252.30    99.28    -7.49     6.29  1524.00
    807.00   252.25   252.15    99.14    -7.86     6.60  1541.97
    804.00   253.25   253.25   100.00    -8.43     7.08  1569.54
    776.25   251.74   251.60    98.81   -13.80    11.58  1829.00
    764.00   251.05   250.85    98.26   -13.95    14.33  1946.45
    762.00   251.45   249.65    85.32   -13.94    14.80  1965.74
    759.00   251.05   249.55    87.58   -13.89    15.50  1994.77
    755.00   250.85   248.35    80.06   -13.79    16.46  2033.61
    751.00   251.45   244.45    53.14   -13.63    17.44  2072.68
    744.78   251.76   241.65    39.71   -13.29    18.98  2134.00
    743.00   251.85   240.85    36.48   -13.57    19.18  2151.60
    723.00   250.65   241.65    43.76   -16.98    21.29  2352.35
    714.61   250.28   246.22    69.39   -18.53    22.09  2438.00
    714.00   250.25   246.55    71.70   -18.56    22.12  2444.22
    700.00   249.05   246.95    82.74   -19.19    22.87  2589.00
    685.35   247.80   246.60    89.69   -21.11    21.11  2743.00
    679.00   247.25   246.45    92.96   -19.91    21.10  2810.82
    676.00   247.05   244.75    80.93   -19.35    21.07  2842.93
    664.00   246.05   245.05    91.18   -17.11    20.85  2972.52
    660.00   245.65   244.55    90.31   -16.38    20.73  3016.11
    651.00   245.05   235.05    37.81   -14.75    20.39  3114.96
    645.00   245.45   229.45    20.26   -13.68    20.11  3181.58
    629.79   244.44   225.07    13.73   -11.07    19.17  3353.00
    627.00   244.25   224.25    12.74   -11.36    18.88  3384.89
    603.52   243.90   222.74    11.08   -13.57    16.17  3658.00
    587.00   243.65   221.65     9.99   -13.36    15.03  3856.67
    554.08   241.14   217.20     7.45   -12.74    12.74  4267.00
    553.00   241.05   217.05     7.38   -12.84    12.59  4280.88
    550.00   241.45   215.45     5.83   -13.11    12.17  4319.38
    539.00   241.25   212.25     3.96   -13.99    10.56  4462.42
    508.11   238.42   210.21     3.99   -15.48     5.63  4877.00
    500.00   237.65   209.65     4.00   -16.41     4.40  4990.00
    466.00   234.45   209.45     5.39   -19.50     0.11  5475.36
    465.27   234.40   209.40     5.38   -19.56     0.00  5486.00
    436.00   232.45   207.45     5.06   -21.75     1.38  5928.93
    425.34   231.44   206.86     5.19   -22.56     1.97  6096.00
    411.00   230.05   206.05     5.39   -25.71     2.25  6327.62
    404.00   230.45   205.45     4.75   -27.29     2.39  6443.11
    400.00   230.05   206.05     5.39   -28.20     2.47  6510.00
    388.45   228.99   204.99     5.21   -28.20     2.47  6706.00
    387.00   228.85   204.85     5.19   -28.20     2.47  6731.05
    354.74   230.14   202.92     3.44   -22.82     4.02  7315.00
    338.97   230.81   201.91     2.77   -20.07    11.59  7620.00
    329.00   231.25   201.25     2.40   -14.94    11.08  7820.21
    309.53   230.06   199.40     2.07    -5.96     7.10  8230.00
    300.00   229.45   198.45     1.92    -9.47     7.94  8440.00
    295.84   228.90   197.90     1.87    -7.59     5.32  8534.00
    294.00   228.65   197.65     1.85    -8.08     6.11  8576.13
    287.00   232.25   197.25     1.19    -9.48     9.53  8739.50
    282.85   232.25   197.25     1.19    -9.92    11.83  8839.00
    270.50   232.25   197.25     1.19    -0.90    10.26  9144.00
    267.00   232.25   197.25     1.19     0.79     8.77  9233.03
    258.65   230.95   196.54     1.22     2.57     4.46  9449.00
    253.00   230.05   196.05     1.24     0.99     4.02  9599.27
    250.00   230.05   195.05     1.06     0.31     3.59  9680.00
    247.27   230.36   195.36     1.08     0.53     1.45  9754.00
    243.00   230.85   195.85     1.11     1.26     4.35  9871.73
    236.38   230.24   195.24     1.07     1.61     9.13 10058.00
    226.00   229.25   194.25     1.02    -6.50     6.61 10360.50
    225.92   229.31   194.26     1.02    -6.55     6.55 10363.00
    223.00   231.45   194.45     0.83    -5.40     6.97 10450.68
    221.00   231.85   194.85     0.85    -4.61     7.16 10511.82
    217.00   232.45   195.45     0.88    -3.03     7.28 10636.04
    215.98   232.30   195.42     0.89    -2.64     7.25 10668.00
    209.00   231.25   195.25     0.97     1.81     7.90 10891.17
    206.50   231.52   195.25     0.94     3.48     7.47 10973.00
    200.00   232.25   195.25     0.87     3.34     5.79 11190.00
    197.42   232.25   195.25     0.87     2.98     3.55 11278.00
    196.00   232.25   195.25     0.87     3.32     4.44 11327.06
    188.74   231.77   194.77     0.85     3.52     9.68 11582.00
    180.42   231.20   194.20     0.82     5.12     4.30 11887.00
    170.00   230.45   193.45     0.79     5.99     5.03 12288.86
    157.62   233.79   195.03     0.72     7.10     5.96 12802.00
    156.00   234.25   195.25     0.71     7.40     5.76 12872.19
    150.00   233.25   195.25     0.78     8.47     4.89 13140.00
    132.00   231.85   193.85     0.73    12.16     6.02 14011.32
    126.05   232.56   194.12     0.70    13.53     6.31 14326.00
    120.55   233.25   194.38     0.68    11.15     6.43 14630.00
    119.00   233.45   194.45     0.68    11.73     5.64 14718.30
    115.27   232.83   194.02     0.67    12.92     3.46 14935.00
    110.21   231.95   193.42     0.67     9.81     5.66 15240.00
    101.00   230.25   192.25     0.67    10.62     2.27 15832.79
    100.00   230.65   192.65     0.68    10.65     1.88 15900.00
     96.33   230.78   192.67     0.67    10.65     1.88 16154.00
     70.00   231.85   192.85     0.62    12.92    -3.46 18320.00
     58.30   229.05   191.05     0.62    16.73    -2.95 19556.58
     50.00   229.65   191.65     0.64     9.86     8.27 20590.00
     30.00   232.05   192.05     0.53    18.98    -1.66 24050.00
     20.00   232.25   191.25     0.46    16.79    -7.83 26810.00
     10.00   236.25   194.25     0.49    21.11    -0.00 31570.00
