
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PASN          STNM =    70308    TIME = 200102/0000         
 SLAT =  57.16     SLON =  -170.22   SELV =     6.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1015.00   264.65   263.55    91.75    12.65    -8.86     6.00
   1010.00   264.45   261.35    78.26    12.69   -11.28    45.51
   1008.00   264.25   262.15    84.73    12.59   -12.29    61.35
   1000.00   264.05   260.65    76.32    11.52   -16.45   125.00
    993.00   264.05   258.05    61.74    11.52   -16.45   179.23
    976.87   262.99   257.41    63.63    11.52   -16.45   305.00
    951.00   261.25   256.35    66.93    11.32   -16.16   511.08
    938.73   260.30   256.49    73.09    11.22   -16.02   610.00
    933.00   259.85   256.55    76.20    10.40   -16.06   656.63
    931.00   259.85   257.85    84.89    10.11   -16.06   672.94
    925.00   259.25   256.65    80.68     9.27   -16.05   722.00
    924.00   259.25   256.55    80.01     9.29   -16.09   730.21
    916.00   258.65   257.05    87.62     9.46   -16.39   796.09
    901.78   257.60   256.27    89.45     9.78   -16.94   914.00
    889.00   256.65   255.55    91.18    10.20   -15.40  1021.64
    885.00   256.45   256.45   100.00    10.30   -14.92  1055.49
    880.00   256.05   255.15    92.70    10.41   -14.32  1097.97
    877.00   256.05   255.85    98.33    10.46   -13.96  1123.56
    865.86   255.31   255.07    97.98    10.59   -12.62  1219.00
    850.00   254.25   253.95    97.47    11.29   -11.29  1357.00
    831.09   252.87   252.57    97.44    12.01   -12.01  1524.00
    820.00   252.05   251.75    97.42    11.65   -13.05  1623.67
    801.00   250.65   249.95    94.00    10.81   -14.84  1796.40
    799.00   250.25   248.75    87.50    10.71   -15.03  1814.75
    797.45   250.15   248.76    88.40    10.63   -15.18  1829.00
    787.00   249.45   248.85    94.78    11.33   -15.27  1925.58
    783.00   248.85   247.15    85.78    11.61   -15.30  1962.79
    781.00   248.85   247.95    92.23    11.75   -15.32  1981.45
    779.00   248.45   246.65    84.95    11.89   -15.33  2000.13
    765.00   247.45   246.45    91.29    12.89   -15.38  2131.93
    764.78   247.44   246.40    90.99    12.91   -15.38  2134.00
    759.00   247.05   245.05    83.21    12.37   -15.22  2188.99
    748.00   246.25   244.15    82.33    11.36   -14.88  2294.52
    733.22   244.99   243.66    88.33    10.04   -14.34  2438.00
    727.00   244.45   243.45    91.06    11.09   -14.20  2499.29
    723.00   244.05   242.25    84.37    11.78   -14.07  2538.78
    714.00   243.25   242.05    89.24    13.35   -13.67  2628.23
    711.00   242.85   238.55    66.01    13.88   -13.49  2658.22
    703.00   242.25   239.45    76.33    15.31   -12.94  2738.65
    702.57   242.22   239.39    76.11    15.38   -12.91  2743.00
    700.00   242.05   239.05    74.81    15.77   -13.23  2769.00
    689.00   241.25   236.75    64.29    15.74   -14.61  2881.16
    684.00   240.85   236.95    68.16    15.69   -15.26  2932.61
    672.00   240.25   234.25    54.93    15.49   -16.84  3057.37
    665.00   240.45   226.45    23.41    15.30   -17.79  3131.11
    661.00   240.65   220.65    11.82    15.18   -18.34  3173.63
    657.00   241.05   223.05    15.04    15.03   -18.89  3216.47
    644.39   240.40   222.94    15.82    14.47   -20.67  3353.00
    634.00   239.85   222.85    16.51    14.36   -20.51  3467.52
    633.00   240.05   227.05    26.01    14.35   -20.49  3478.62
    632.00   240.45   233.45    49.61    14.34   -20.48  3489.75
    631.00   240.45   234.45    54.99    14.33   -20.46  3500.91
    630.00   240.25   233.25    49.54    14.32   -20.45  3512.08
    627.00   240.05   235.25    62.04    14.28   -20.40  3545.67
    618.00   239.45   234.75    62.50    14.18   -20.26  3647.24
    617.05   239.40   234.69    62.41    14.17   -20.24  3658.00
    596.00   238.25   233.25    60.26    17.13   -18.38  3900.93
    590.80   238.02   232.08    54.53    17.84   -17.84  3962.00
    569.00   237.05   227.05    34.96    17.89   -20.80  4223.76
    565.47   236.70   227.58    38.40    17.87   -21.30  4267.00
    565.00   236.65   227.65    38.88    17.86   -21.32  4272.72
    560.00   236.45   224.45    27.76    17.74   -21.55  4334.33
    557.00   236.25   227.25    38.73    17.66   -21.69  4371.53
    555.00   236.05   226.05    34.60    17.61   -21.79  4396.42
    554.00   235.85   224.85    30.86    17.59   -21.84  4408.89
    534.00   234.05   225.05    37.93    17.04   -22.80  4662.01
    528.00   233.45   222.45    29.98    16.86   -23.09  4739.40
    522.00   232.85   223.85    37.48    16.68   -23.39  4817.47
    517.45   232.43   223.16    36.21    16.54   -23.62  4877.00
    505.00   231.25   221.25    32.83    16.32   -23.31  5042.58
    501.00   231.25   215.25    15.88    16.26   -23.22  5096.46
    500.00   231.25   215.25    15.88    16.24   -23.19  5110.00
    487.00   230.65   213.65    13.84    16.34   -23.34  5287.72
    458.00   229.85   210.85    10.50    16.59   -23.69  5700.66
    437.00   227.65   208.65     9.96    16.78   -23.96  6014.28
    431.64   227.37   208.51    10.08    16.83   -24.03  6096.00
    400.00   225.65   207.65    10.86    17.42   -24.88  6600.00
    393.62   225.31   207.31    10.78    18.01   -25.72  6706.00
    391.00   225.17   207.17    10.74    18.01   -25.72  6750.04
    385.00   224.85   206.85    10.66    17.42   -24.88  6852.00
    360.00   226.05   205.05     7.26    15.67   -24.97  7295.07
    342.70   225.47   203.99     6.67    14.42   -24.97  7620.00
    327.22   224.93   203.00     6.16     9.01   -15.61  7925.00
    325.00   224.85   202.85     6.08     9.11   -15.78  7970.02
    309.00   226.05   201.05     4.10     9.86   -17.07  8303.17
    301.00   228.65   200.65     2.90    10.25   -17.75  8477.73
    300.00   228.65   200.65     2.90    10.30   -17.83  8500.00
    298.48   228.46   200.32     2.82    16.38   -16.38  8534.00
    289.00   227.25   198.25     2.36    13.88   -15.72  8750.62
    272.61   230.34   198.61     1.79     9.75   -13.92  9144.00
    271.00   230.65   198.65     1.74    10.22   -13.57  9183.94
    260.60   229.92   197.32     1.53    13.02   -10.92  9449.00
    254.00   229.45   196.45     1.41    12.12   -14.08  9622.57
    250.00   230.45   195.45     1.09    11.22   -16.02  9730.00
    249.11   230.62   195.54     1.08    10.04   -17.39  9754.00
    239.00   232.65   196.65     1.04    12.70   -15.56 10034.21
    238.16   232.57   196.52     1.02    12.91   -15.38 10058.00
    227.67   231.60   194.85     0.87     5.63   -15.48 10363.00
    224.00   231.25   194.25     0.83     8.54   -14.30 10473.17
    217.64   231.50   194.25     0.80    13.02   -10.92 10668.00
    200.00   232.25   194.25     0.74     7.97   -11.39 11240.00
    198.88   232.17   194.17     0.74    10.92   -13.02 11278.00
    192.00   231.65   193.65     0.72     8.69   -11.93 11517.43
    181.88   234.04   194.20     0.61     5.67    -9.81 11887.00
    181.00   234.25   194.25     0.60     6.14    -8.99 11920.12
    173.93   233.48   193.99     0.63     6.78    -2.47 12192.00
    166.32   232.61   193.70     0.66     8.21    -0.72 12497.00
    159.04   231.75   193.42     0.69    14.42    -3.86 12802.00
    155.00   231.25   193.25     0.70    14.76    -6.46 12977.64
    152.09   231.48   192.90     0.65    14.71    -8.49 13106.00
    150.00   231.65   192.65     0.61     9.70    -6.79 13200.00
    143.00   232.65   193.65     0.65     9.25    -5.07 13524.06
    139.00   232.29   193.29     0.63     8.86    -4.13 13716.00
    132.88   231.72   192.72     0.61     8.37    -8.37 14021.00
    127.02   231.15   192.15     0.59     6.69    -3.86 14326.00
