
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PADQ          STNM =    70350    TIME = 200102/0000         
 SLAT =  57.74     SLON =  -152.49   SELV =     5.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    995.00   259.45   251.45    50.90     4.34     3.64     5.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -29.00
    992.00   259.25   250.25    46.55     4.64     3.44    28.12
    956.41   256.53   249.62    55.12     7.18    -0.63   305.00
    925.00   254.05   249.05    64.60     6.66     0.58   558.00
    918.49   253.55   248.85    66.26     6.66     0.58   610.00
    881.35   250.62   247.71    77.12     8.72    -0.76   914.00
    867.00   249.45   247.25    82.04    10.38     0.33  1034.90
    850.00   248.05   247.45    94.72    12.17     2.15  1179.00
    845.32   247.64   247.24    96.50    12.67     2.23  1219.00
    841.00   247.25   247.05    98.20    12.94     2.14  1256.16
    837.00   246.85   246.85   100.00    13.19     2.05  1290.63
    832.00   246.65   245.35    88.74    13.51     1.93  1333.90
    821.00   246.45   244.05    80.08    14.20     1.63  1429.94
    813.00   245.85   244.05    84.61    14.71     1.39  1500.48
    810.35   245.97   243.82    81.88    14.87     1.30  1524.00
    804.00   246.25   243.25    75.65    14.14     0.78  1580.65
    782.00   245.25   242.95    80.64    11.45    -0.68  1780.19
    776.72   245.95   242.73    74.03    10.77    -0.94  1829.00
    770.00   246.85   242.45    66.39     9.99    -1.24  1891.55
    766.00   249.25   243.25    57.67     9.52    -1.39  1929.36
    763.00   249.65   242.65    52.59     9.16    -1.49  1958.01
    744.79   248.95   241.95    52.37     6.96    -1.87  2134.00
    727.00   248.25   241.25    52.15     8.50    -1.82  2310.14
    714.27   247.32   241.25    56.74     9.63    -1.70  2438.00
    700.00   246.25   241.25    62.54    10.30    -0.00  2584.00
    684.69   245.77   239.96    57.73     9.23     0.81  2743.00
    681.00   245.65   239.65    56.60     9.05     1.30  2781.90
    680.00   245.65   239.65    56.60     8.99     1.43  2792.45
    656.07   243.34   239.31    67.88     7.14     4.12  3048.00
    645.00   242.25   239.15    74.12     7.97     4.07  3169.38
    605.00   239.25   237.25    82.06    11.17     3.19  3620.06
    602.00   239.25   236.75    78.05    11.41     3.08  3654.83
    601.73   239.24   236.72    77.89    11.44     3.06  3658.00
    586.00   238.65   234.95    69.00    14.24     4.64  3843.03
    580.00   239.05   231.05    44.21    15.29     5.33  3914.91
    576.10   238.79   229.49    38.40    15.97     5.81  3962.00
    574.00   238.65   228.65    35.54    16.01     5.43  3987.52
    571.00   239.45   222.45    16.39    16.05     4.89  4024.14
    568.00   239.45   224.45    20.61    16.08     4.35  4061.02
    563.00   239.45   223.45    18.39    16.08     3.44  4122.92
    561.00   240.05   217.05     8.13    16.07     3.08  4147.86
    551.52   239.64   216.38     7.79    15.90     1.39  4267.00
    527.99   238.59   214.67     6.98    13.85    -1.21  4572.00
    525.00   238.45   214.45     6.88    13.07    -0.85  4611.74
    505.29   236.41   213.20     7.19     7.69     0.67  4877.00
    500.00   235.85   212.85     7.28     5.66    -0.00  4950.00
    483.44   234.07   211.75     7.58     5.13    -0.45  5182.00
    476.00   233.25   211.25     7.73     0.65    -1.40  5288.91
    423.00   232.45   205.45     3.84     7.93     3.70  6096.33
    413.00   234.45   203.45     2.36     8.40     1.48  6260.39
    400.00   233.05   204.05     2.97     8.11    -1.43  6480.00
    386.91   232.49   203.49     2.91     7.10    -1.25  6706.00
    369.97   231.74   202.74     2.82     7.10     5.96  7010.00
    368.00   231.65   202.65     2.81     7.60     5.73  7046.35
    353.77   233.22   201.42     2.00    10.94     2.93  7315.00
    343.00   234.45   200.45     1.53     8.38     2.80  7525.65
    338.29   234.13   200.13     1.51     7.25     2.64  7620.00
    317.00   232.65   198.65     1.41    10.80     6.47  8063.84
    309.38   233.36   198.47     1.27    11.80     8.27  8230.00
    300.00   234.25   198.25     1.12     9.81     5.66  8440.00
    295.94   234.72   198.05     1.04     9.28     6.50  8534.00
    288.00   235.65   197.65     0.89    10.16     4.26  8721.47
    283.10   235.01   197.45     0.92    10.44     2.80  8839.00
    270.77   233.35   196.92     1.00    10.44     2.80  9144.00
    258.98   231.68   196.39     1.10     7.17     5.02  9449.00
    256.00   231.25   196.25     1.13     8.02     4.96  9528.40
    251.00   232.85   195.85     0.90     9.50     4.66  9662.72
    250.00   232.85   195.85     0.90     9.80     4.57  9690.00
    247.66   232.50   195.50     0.88     8.68     7.28  9754.00
    246.00   232.25   195.25     0.87     9.20     6.74  9799.74
    240.00   234.65   196.65     0.84    10.81     4.45  9968.39
    236.88   234.43   196.65     0.86    11.44     3.06 10058.00
    226.57   233.69   196.65     0.93    13.07     9.15 10363.00
    226.00   233.65   196.65     0.93    13.16     9.03 10380.13
    217.00   234.05   196.05     0.82    14.43     6.83 10658.16
    216.69   234.23   196.08     0.81    14.46     6.74 10668.00
    213.00   236.45   196.45     0.68    14.26     6.65 10786.21
    207.00   234.65   196.65     0.84    13.93     6.50 10983.12
    200.00   236.05   196.05     0.67    13.53     6.31 11220.00
    181.48   233.92   195.44     0.75    10.73     5.00 11887.00
    176.00   233.25   195.25     0.78    12.17     5.68 12097.29
    166.01   234.34   195.43     0.72    14.93     6.96 12497.00
    165.00   234.45   195.45     0.71    14.39     7.57 12538.70
    158.76   233.80   195.21     0.73    10.56    10.56 12802.00
    150.00   232.85   194.85     0.77    17.41     6.34 13190.00
    145.22   232.34   194.34     0.75    17.90     6.52 13411.00
    139.00   231.65   193.65     0.72    13.47     7.71 13709.23
    138.86   231.66   193.66     0.72    13.37     7.72 13716.00
    130.00   232.05   194.05     0.73    14.07     4.82 14164.81
    126.00   234.05   195.05     0.70    14.19     3.45 14378.61
    116.16   233.15   194.15     0.67    13.90    -0.00 14935.00
    111.10   232.66   193.66     0.65    12.60     5.87 15240.00
    107.00   232.25   193.25     0.63    13.27     7.42 15497.28
    106.26   232.47   193.47     0.64    13.37     7.72 15545.00
    103.00   233.45   194.45     0.68    10.28     5.13 15757.70
    101.62   233.18   194.18     0.67     8.86     4.13 15850.00
    100.00   232.85   193.85     0.65    10.30    -0.00 15960.00
     97.19   232.74   193.74     0.65    10.30    -0.00 16154.00
     70.00   231.45   192.45     0.61     8.75    -0.00 18390.00
     68.20   230.45   192.45     0.67     5.81     2.11 18566.17
     50.00   230.25   192.25     0.67     6.66     0.58 20660.00
