
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PANT          STNM =    70398    TIME = 200102/0000         
 SLAT =  55.05     SLON =  -131.59   SELV =    35.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    998.00   276.55   268.55    55.79     3.09     5.35    35.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    27.00
    987.00   275.75   267.75    55.58     5.53     6.58   125.93
    965.48   274.22   266.90    58.11    11.59     6.69   305.00
    929.91   271.62   265.45    62.83    11.20     5.22   610.00
    925.00   271.25   265.25    63.54    11.20     5.22   653.00
    894.76   268.81   264.23    70.35     8.71     3.17   914.00
    860.67   265.97   263.03    79.56     9.68     3.52  1219.00
    850.00   265.05   262.65    82.84    10.16     3.70  1317.00
    840.00   264.25   262.45    86.78    10.56     3.66  1408.84
    835.00   264.05   260.05    72.71    10.76     3.64  1455.08
    832.00   263.65   260.85    80.04    10.89     3.62  1482.92
    822.00   262.85   260.15    80.56    11.30     3.56  1576.25
    799.00   261.05   258.75    82.97    12.28     3.37  1794.19
    795.37   260.75   258.21    81.30    12.43     3.33  1829.00
    787.00   260.05   256.95    77.52    12.61     3.69  1909.77
    772.00   258.85   256.25    80.62    12.91     4.38  2056.12
    769.00   258.65   254.55    71.00    12.97     4.52  2085.65
    765.00   258.45   254.85    74.04    13.05     4.71  2125.17
    764.11   258.36   254.41    71.81    13.06     4.75  2134.00
    759.00   257.85   251.85    60.10    13.06     4.75  2184.74
    754.00   257.45   250.45    54.95    13.06     4.75  2234.64
    752.00   257.25   253.45    72.54    13.06     4.75  2254.67
    742.00   256.45   252.25    69.91    13.06     4.75  2355.44
    739.00   256.25   250.25    59.66    13.06     4.75  2385.87
    733.88   255.87   250.51    63.02    13.06     4.75  2438.00
    731.00   255.65   250.65    65.00    13.39     4.87  2467.50
    729.00   255.65   253.85    85.83    13.61     4.96  2488.03
    727.00   255.65   254.55    91.11    13.84     5.04  2508.61
    709.00   254.25   254.15    99.15    15.92     5.79  2695.95
    704.53   253.85   253.36    95.83    16.44     5.99  2743.00
    700.00   253.45   252.55    92.53    17.90     4.80  2791.00
    699.00   253.45   252.45    91.73    17.93     4.86  2801.62
    693.00   253.25   253.25   100.00    18.08     5.28  2865.61
    688.00   252.65   249.45    75.51    18.21     5.63  2919.28
    686.00   252.65   243.65    44.42    18.25     5.78  2940.82
    685.00   252.65   242.65    40.42    18.28     5.85  2951.62
    683.00   252.45   243.45    44.36    18.32     6.00  2973.24
    671.00   251.25   239.25    32.90    18.58     6.90  3103.99
    645.00   248.85   238.85    39.13    19.00     9.01  3393.39
    637.00   248.05   241.05    52.08    19.08     9.70  3484.21
    624.00   246.65   236.65    38.37    19.17    10.88  3633.58
    621.89   246.47   236.77    39.48    19.17    11.07  3658.00
    617.00   246.05   237.05    42.20    18.85    10.28  3714.97
    614.00   245.85   233.85    31.05    18.64     9.81  3750.07
    592.00   243.25   235.25    45.67    16.75     6.54  4011.39
    587.00   242.85   238.85    67.99    16.24     5.86  4071.76
    584.00   242.45   238.85    70.61    15.92     5.47  4108.17
    583.00   242.45   240.45    82.54    15.81     5.34  4120.34
    581.00   242.25   239.55    77.08    15.59     5.08  4144.73
    571.00   241.25   240.05    89.05    14.42     3.86  4267.66
    566.00   240.85   239.35    86.44    14.42     5.27  4329.75
    564.00   240.85   235.85    61.02    14.37     5.85  4354.72
    561.00   240.65   232.65    44.77    14.27     6.72  4392.32
    560.00   240.65   229.65    32.58    14.22     7.01  4404.90
    558.00   240.45   230.45    36.19    14.11     7.60  4430.10
    557.00   240.45   227.45    26.15    14.04     7.90  4442.73
    556.00   240.25   228.25    29.10    13.97     8.20  4455.38
    554.00   240.25   224.25    18.64    13.81     8.79  4480.73
    546.84   239.46   223.46    18.40    13.02    10.92  4572.00
    545.00   239.25   223.25    18.33    13.30    11.01  4595.72
    542.00   239.05   218.05    10.12    13.78    11.15  4634.37
    536.00   240.05   212.05     4.33    14.76    11.40  4712.45
    535.00   240.25   212.25     4.36    14.92    11.44  4725.58
    523.59   239.91   211.34     4.01    16.87    11.81  4877.00
    515.00   239.65   210.65     3.75    16.30    10.67  4993.27
    500.00   238.05   210.05     4.06    15.16     8.75  5200.00
    491.00   237.05   210.05     4.48    16.00     8.72  5326.05
    479.00   237.05   208.05     3.43    17.15     8.63  5497.40
    463.00   235.45   207.45     3.72    18.76     8.38  5731.87
    445.00   235.05   207.05     3.67    20.64     7.94  6004.37
    444.00   235.05   207.05     3.67    20.75     7.91  6019.82
    439.06   234.60   206.81     3.72    21.28     7.75  6096.00
    400.00   230.85   204.85     4.19    23.87     6.40  6730.00
    385.00   229.45   204.45     4.60    22.87     6.13  6988.22
