
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    12843    TIME = 200102/0000         
 SLAT =  47.43     SLON =    19.18   SELV =   139.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1016.00   270.25   269.55    94.92    -0.17     0.98   139.00
   1011.00   274.35   270.25    74.11     0.82     1.40   179.16
   1000.00   274.95   270.05    69.94     2.60    -1.50   269.00
    993.00   275.01   269.45    66.58     3.54    -3.54   325.63
    978.00   275.15   268.15    59.79     3.32    -3.45   448.34
    925.00   277.15   253.15    15.46     2.57    -3.06   899.00
    913.00   277.35   248.35     9.99     2.40    -3.39  1004.91
    888.00   277.75   259.75    25.75     1.93    -4.05  1230.38
    850.00   274.75   259.75    31.84     0.87    -4.92  1584.00
    829.00   273.14   259.33    34.56     0.61    -6.97  1784.74
    815.00   272.05   259.05    36.57    -0.63    -7.37  1921.41
    794.00   271.76   261.64    46.07    -2.74    -7.52  2129.74
    786.00   271.65   262.65    50.32    -3.16    -8.45  2210.55
    765.00   271.25   244.25    10.64    -4.38   -10.90  2426.28
    737.00   270.85   235.85     4.84    -6.25   -14.19  2722.70
    720.00   270.65   232.65     3.54    -7.53   -16.20  2907.99
    719.00   270.58   232.73     3.58    -7.61   -16.31  2918.99
    700.00   269.25   234.25     4.63    -7.18   -15.41  3131.00
    652.00   265.05   246.05    20.09    -8.82   -15.58  3687.23
    598.00   261.37   233.17     7.63   -10.90   -15.56  4352.26
    577.00   259.85   227.85     4.89   -10.85   -16.08  4627.25
    558.00   257.65   228.65     6.39   -10.79   -16.57  4881.15
    555.00   257.25   245.25    34.92   -10.78   -16.65  4921.83
    542.00   255.85   244.85    37.82   -10.73   -17.00  5100.09
    540.00   255.65   244.65    37.76   -10.72   -17.05  5127.80
    510.00   252.65   242.65    40.42   -10.56   -17.89  5553.65
    500.00   251.65   233.65    18.08   -10.50   -18.19  5700.00
    495.00   251.25   230.25    13.10   -10.20   -19.39  5773.88
    489.00   250.60   232.31    17.25    -9.72   -20.85  5863.25
    484.00   250.05   234.05    21.69   -10.11   -20.71  5938.56
    432.00   243.05   235.05    45.60   -14.32   -18.78  6757.86
    400.00   238.85   224.85    22.88   -16.97   -16.97  7300.00
    382.00   236.05   227.49    40.59   -17.68   -17.68  7619.26
    377.00   235.25   228.25    47.83   -17.54   -18.05  7710.61
    343.00   230.05   219.05    28.74   -16.33   -20.66  8353.78
    308.00   223.85   217.85    49.34   -14.51   -23.56  9068.23
    300.00   222.45   214.45    38.06   -14.00   -24.25  9240.00
    292.00   222.05   202.05     7.47   -12.26   -26.28  9416.15
    250.00   214.45   199.45    12.79    -6.21   -23.18 10410.00
    248.00   214.03   199.46    13.50    -4.17   -23.64 10459.26
    235.00   211.24   199.52    19.51    -7.87   -21.61 10789.50
    211.00   205.65   199.65    42.20    -7.55   -25.23 11450.22
    200.00   203.45   196.45    35.38    -7.25   -27.05 11770.00
    190.00   201.21   194.70    37.17    -7.51   -28.01 12071.68
    180.00   198.85   192.85    39.26    -6.99   -26.08 12389.68
    175.00   199.05   189.05    20.32    -6.92   -21.99 12553.56
    173.00   206.05   193.05    14.36    -6.79   -20.34 12621.63
    170.00   205.31   191.57    12.51    -6.50   -17.85 12726.51
    165.00   204.05   189.05     9.81    -3.62   -13.52 12905.50
    161.00   205.13   188.59     7.79    -0.00   -12.00 13053.42
    158.00   205.96   188.23     6.53     3.88   -14.49 13166.80
    150.00   208.25   187.25     4.04     3.47   -19.70 13480.00
    148.00   208.79   186.81     3.48    -0.00   -21.00 13562.45
    142.00   210.45   185.45     2.20     2.08   -19.69 13816.65
    129.00   208.65   185.65     2.89     5.81   -15.97 14406.96
    121.00   209.61   185.10     2.31     2.78   -15.76 14802.45
    117.00   210.11   184.81     2.05     8.60   -12.29 15010.12
    108.00   211.30   184.11     1.55     6.76   -14.50 15504.58
    100.00   212.45   183.45     1.18    11.31   -11.31 15980.00
     70.00   207.65   181.65     1.60    15.41    -7.18 18170.00
     50.00   209.65   179.65     0.84    25.37    -9.23 20220.00
     30.00   211.65   178.65     0.53    32.84    -8.80 23360.00
     20.00   212.85   177.85     0.39    46.82     4.10 25890.00
     10.00   230.05   190.05     0.47    82.72    14.59 30340.00
      9.70 -9999.00 -9999.00 -9999.00    82.72    14.59 -9999.00
