
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PABR          STNM =    70026    TIME = 200102/1200         
 SLAT =  71.28     SLON =  -156.79   SELV =    19.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1026.00   249.65   247.05    79.14    -6.75    -4.73    19.00
   1000.00   248.25   246.45    84.92    -5.62    -6.70   192.00
    984.53   247.26   245.96    88.74    -5.96    -7.10   305.00
    975.00   246.65   245.65    91.23    -6.33    -7.25   375.48
    943.95   247.63   245.16    79.72    -7.64    -7.64   610.00
    925.00   248.25   244.85    73.27    -8.37    -8.37   757.00
    905.32   249.72   241.06    44.93    -9.10    -9.10   914.00
    893.00   250.65   238.65    32.70    -9.36    -8.84  1014.08
    868.39   250.51   235.71    24.69    -9.86    -8.27  1219.00
    858.00   250.45   234.45    21.82    -9.86    -8.27  1307.29
    853.00   250.65   245.65    63.72    -9.86    -8.27  1350.16
    850.00   250.45   244.45    58.02    -9.86    -8.27  1376.00
    843.00   250.45   244.45    58.02    -9.60    -8.25  1436.71
    840.00   251.05   237.05    26.93    -9.50    -8.24  1462.91
    830.00   251.25   243.25    48.33    -9.13    -8.20  1551.08
    811.00   250.85   244.85    58.14    -8.44    -8.10  1721.50
    805.00   250.85   240.85    39.81    -8.22    -8.06  1776.10
    799.22   250.70   241.53    43.06    -8.01    -8.01  1829.00
    766.68   249.87   245.47    67.13    -6.62    -7.89  2134.00
    766.00   249.85   245.55    67.76    -6.61    -7.87  2140.55
    735.48   249.46   242.73    53.89    -5.96    -7.10  2438.00
    720.00   249.25   241.25    47.68    -5.56    -6.06  2593.59
    705.40   248.52   239.80    44.20    -5.10    -5.10  2743.00
    700.00   248.25   239.25    42.95    -5.10    -5.10  2799.00
    671.00   246.45   236.45    38.30    -4.47    -4.92  3105.23
    648.26   245.05   239.42    58.45    -3.97    -4.73  3353.00
    645.00   244.85   239.85    62.15    -4.07    -4.65  3389.28
    621.09   243.41   239.00    65.46    -4.73    -3.97  3658.00
    595.12   241.78   238.04    69.52    -4.67    -2.18  3962.00
    590.00   241.45   237.85    70.38    -4.18     0.59  4023.42
    572.00   242.05   239.25    76.29     0.53     0.71  4242.60
    570.02   241.95   239.17    76.37     0.39     0.33  4267.00
    529.00   239.85   237.35    78.16     5.45     5.32  4793.60
    522.76   240.06   237.48    77.58     6.19     6.19  4877.00
    506.00   240.65   237.85    76.01     9.74     9.74  5106.11
    500.57   240.11   236.76    71.89    10.92    10.92  5182.00
    500.00   240.05   236.65    71.47    10.56    10.56  5190.00
    472.00   236.65   229.65    48.31    11.84    10.16  5591.19
    438.03   231.96   226.36    54.57    13.49     9.45  6096.00
    400.00   226.25   222.35    64.22    16.05     9.26  6710.00
    361.00   220.45   217.05    66.42    18.97     5.19  7382.41
    355.00   219.65   216.45    67.85    19.35     4.43  7490.64
    347.87   218.72   215.38    66.41    19.77     3.49  7620.00
    321.00   215.05   211.15    60.73    16.80    10.99  8132.79
    319.00   214.65   208.65    45.86    16.45    11.52  8172.19
    316.10   215.46   205.41    26.59    16.45    11.52  8230.00
    314.00   216.05   203.05    17.72    16.52    11.30  8272.03
    300.00   214.25   204.25    26.32    16.94     9.78  8560.00
    286.87   213.79   201.49    18.77    17.90     6.52  8839.00
    283.00   213.65   200.65    16.90    17.07     6.69  8923.60
    273.21   214.39   198.83    11.75    14.93     6.96  9144.00
    260.22   215.41   196.32     7.04    16.05     9.26  9449.00
    250.00   216.25   194.25     4.59    14.91     4.00  9700.00
    244.00   217.65   195.65     4.82    14.59     3.26  9854.02
    214.72   217.91   192.69     2.92    12.36    -0.00 10668.00
    204.67   218.00   191.58     2.41    12.43     3.33 10973.00
    200.00   218.05   191.05     2.19    13.33     1.17 11120.00
    195.13   217.97   190.78     2.12    13.85     1.21 11278.00
    176.00   217.65   189.65     1.82    16.61    -1.71 11938.51
    161.41   219.71   189.54     1.40    18.40    -4.93 12497.00
    150.00   221.45   189.45     1.12    19.49    -1.70 12970.00
    142.00   223.45   189.45     0.89    21.29    -0.08 13325.14
    133.76   223.89   189.49     0.85    23.08     2.02 13716.00
    121.85   224.57   189.55     0.80    19.84    -7.22 14326.00
    105.96   225.58   189.64     0.72    27.69    -2.42 15240.00
    105.00   225.65   189.65     0.72    27.40    -2.02 15299.59
    100.00   225.25   190.25     0.83    25.74    -0.00 15620.00
     96.55   225.15   190.05     0.81    25.74    -0.00 15850.00
     70.00   224.25   188.25     0.66    36.41    -3.19 17960.00
     50.00   224.05   188.05     0.65    46.85    -0.00 20170.00
     30.00   227.25   189.25     0.56    55.39    -4.85 23560.00
     22.70 -9999.00 -9999.00 -9999.00    58.47     5.12 -9999.00
