
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PASN          STNM =    70308    TIME = 200102/1200         
 SLAT =  57.16     SLON =  -170.22   SELV =     6.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   265.45   264.25    91.09     8.56   -12.23     6.00
   1007.00   265.25   262.65    81.56     8.05   -13.66    30.83
   1002.00   265.05   262.35    80.89     6.80   -16.01    72.35
   1000.00   264.85   262.15    80.86     6.16   -16.93    89.00
    998.00   264.85   261.05    74.05     6.25   -17.18   104.50
    975.00   263.25   261.25    85.29     7.28   -19.99   284.47
    972.40   263.12   260.96    84.18     7.39   -20.32   305.00
    967.00   262.85   260.35    81.88     7.37   -20.25   347.82
    934.38   260.47   259.80    94.66     7.22   -19.84   610.00
    926.00   259.85   259.65    98.39     8.17   -17.96   678.79
    925.00   259.85   259.65    98.39     8.27   -17.73   687.00
    903.00   258.45   258.45   100.00     8.44   -18.11   869.74
    897.71   258.16   258.16   100.00     8.49   -18.20   914.00
    862.06   256.15   256.15   100.00     8.27   -17.73  1219.00
    850.00   255.45   255.45   100.00     6.87   -18.87  1325.00
    808.00   252.45   251.95    95.75     6.74   -18.50  1702.01
    806.00   252.25   251.85    96.58     6.73   -18.49  1720.33
    794.14   251.25   250.71    95.43     6.69   -18.38  1829.00
    762.00   248.45   247.55    92.20     7.61   -16.35  2132.00
    761.79   248.43   247.50    91.94     7.62   -16.33  2134.00
    754.00   247.85   245.75    82.56     8.09   -17.36  2208.71
    748.00   247.25   246.35    92.12     8.47   -18.16  2266.64
    730.45   245.92   243.52    79.99     9.57   -20.53  2438.00
    727.00   245.65   242.95    77.71     9.26   -20.92  2472.18
    715.00   244.45   242.15    80.51     8.09   -22.26  2591.63
    705.00   245.85   242.85    75.58     6.98   -23.35  2692.75
    700.10   245.85   243.05    76.99     6.40   -23.87  2743.00
    700.00   245.85   243.05    77.02     6.40   -23.87  2744.00
    693.00   246.05   243.25    77.06     5.48   -24.47  2816.36
    674.00   247.45   245.05    80.24     2.73   -25.95  3017.16
    671.13   247.31   245.03    81.07     2.29   -26.15  3048.00
    649.00   246.25   244.85    87.88     4.71   -24.37  3290.31
    617.00   244.85   243.05    84.48     7.72   -21.32  3653.77
    616.64   244.88   243.08    84.52     7.75   -21.28  3658.00
    609.00   245.45   243.75    85.36     7.22   -21.55  3747.43
