
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PADQ          STNM =    70350    TIME = 200102/1200         
 SLAT =  57.74     SLON =  -152.49   SELV =     5.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1001.00   258.25   252.25    60.21     0.59     0.84     5.00
   1000.00   259.05   251.05    50.78     0.59     0.84    14.00
    998.00   259.45   250.45    46.62     0.69     0.94    29.21
    983.00   258.85   249.85    46.43     1.57     1.51   144.24
    962.26   257.43   248.85    47.73     3.12     1.80   305.00
    934.00   255.45   247.45    49.66     5.62     1.90   529.62
    925.00   254.65   247.65    54.12     6.46     1.73   602.00
    924.00   254.57   247.63    54.36     6.46     1.73   610.00
    886.75   251.67   246.77    64.55     6.69    -0.00   914.00
    869.00   250.25   246.35    70.40     9.67     0.82  1063.42
    850.70   249.29   244.81    66.52    12.67     2.23  1219.00
    850.00   249.25   244.75    66.37    12.82     1.12  1225.00
    815.64   247.19   242.99    67.77    11.16    -1.97  1524.00
    794.00   245.85   241.85    68.72     9.67     0.46  1718.89
    784.00   246.25   241.25    62.54     8.81     1.36  1810.18
    781.94   246.15   241.16    62.60     8.62     1.52  1829.00
    749.37   244.48   239.73    63.60     4.63     5.52  2134.00
    730.00   243.45   238.85    64.24     7.09     7.58  2321.67
    718.17   243.11   237.33    57.06     8.74     8.74  2438.00
    716.00   243.05   237.05    55.81     8.61     8.44  2459.55
    713.00   243.85   235.85    45.87     8.43     8.02  2489.47
    703.00   244.45   235.45    41.65     7.73     6.68  2590.41
    700.00   244.25   235.25    41.58     7.49     6.29  2621.00
    688.10   243.45   234.78    42.73     8.44     5.91  2743.00
    665.00   241.85   233.85    45.19     5.86     2.02  2986.11
    659.22   242.62   231.73    33.67     4.97     1.33  3048.00
    659.00   242.65   231.65    33.29     4.95     1.34  3050.41
    631.36   241.15   230.15    32.75     1.69     1.18  3353.00
    605.00   239.65   228.65    32.22     2.07     2.92  3654.20
    604.67   239.62   228.64    32.29     2.06     2.95  3658.00
    578.90   237.14   228.07    38.76     3.57     2.06  3962.00
    578.00   237.05   228.05    39.02     3.88     2.25  3972.87
    571.00   237.65   224.65    25.18     6.26     3.84  4057.57
    557.00   237.05   220.05    15.69    10.86     7.44  4230.11
    555.00   237.25   218.25    12.39    11.50     8.00  4255.09
    554.05   237.88   216.05     8.89    11.80     8.27  4267.00
    552.00   239.25   211.25     4.22    11.39     8.10  4292.90
    530.26   237.54   211.57     5.21     7.10     5.96  4572.00
    507.47   235.68   211.93     6.58     7.18     0.63  4877.00
