
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     3005    TIME = 200102/1200         
 SLAT =  60.13     SLON =    -1.18   SELV =    84.0
 STIM =  1100

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    983.00   281.55   280.05    90.27    12.23    10.26    84.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -58.00
    981.00   281.55   278.95    83.68     5.91     8.44   100.84
    979.00   281.55   278.95    83.68     7.97    11.38   117.70
    977.00   281.45   278.87    83.78    10.04    14.34   134.56
    968.00   281.01   278.51    84.21    10.55    18.28   210.83
    947.00   279.95   277.65    85.26    18.04    19.97   391.58
    942.00   280.52   277.44    80.77    20.02    20.02   435.14
    940.00   280.75   277.35    79.04    20.10    19.64   452.63
    927.00   280.06   277.44    83.38    20.51    17.21   567.23
    925.00   279.95   277.45    84.08    20.51    17.21   585.00
    902.00   278.55   277.25    91.32    24.36    17.43   791.67
    899.00   278.47   276.97    90.08    24.88    17.42   818.90
    879.00   277.92   275.12    82.05    23.63    13.64  1002.79
    873.00   277.75   274.55    79.72    23.44    13.53  1058.77
    850.00   276.15   273.95    85.45    22.73    13.12  1276.00
    823.00   273.95   272.95    93.02    20.98    13.90  1536.69
    812.00   273.33   272.71    95.59    20.24    14.17  1644.65
    800.00   272.65   272.45    98.55    20.55    14.39  1764.12
    794.00   272.45   271.65    94.31    20.71    14.50  1824.35
    749.00   269.94   269.32    95.47    21.93    15.35  2288.50
    744.00   269.65   269.05    95.61    22.61    14.70  2341.79
    739.00   269.05   268.95    99.25    23.29    14.01  2395.09
    736.00   268.85   267.85    92.73    23.68    13.59  2427.19
    725.00   268.05   266.95    91.97    25.07    11.91  2545.79
    724.00   267.90   266.90    92.67    25.20    11.75  2556.63
    721.00   267.45   266.75    94.80    26.03    12.66  2589.25
    708.00   267.10   266.32    94.16    29.43    16.99  2731.90
    706.00   267.05   266.25    94.06    29.54    17.05  2754.08
    701.00   267.45   266.75    94.80    29.81    17.21  2809.80
    700.00   267.45   266.75    94.80    29.87    17.24  2821.00
    686.00   266.99   266.63    97.34    29.10    20.37  2978.99
    676.00   266.65   266.55    99.24    25.96    22.45  3093.82
    669.00   266.14   265.97    98.71    23.66    23.66  3174.63
    636.00   263.65   263.15    96.14    26.72    22.54  3567.33
    635.00   263.59   263.05    95.84    26.82    22.50  3579.44
    612.00   262.22   260.76    89.00    29.52    20.67  3863.15
    606.00   261.85   260.15    87.23    30.93    21.66  3938.92
    589.00   260.97   259.34    87.66    35.00    24.51  4156.45
    583.00   260.65   259.05    87.82    32.90    23.04  4234.72
    577.00   260.13   258.69    88.89    30.78    21.55  4313.01
    565.00   259.09   257.96    91.12    32.73    27.47  4472.06
    555.00   258.20   257.33    93.10    30.76    25.81  4607.21
    538.00   256.65   256.25    96.71    35.30    25.79  4842.64
    533.00   256.30   255.70    95.06    36.69    25.69  4912.58
    521.00   255.45   254.35    91.09    33.88    28.16  5083.15
    513.00   255.05   254.55    95.84    31.87    29.68  5198.70
    508.00   254.93   253.86    91.36    30.58    30.58  5271.74
    505.00   254.85   253.45    88.73    29.49    29.49  5315.91
    500.00   254.25   252.65    87.16    27.66    27.66  5390.00
    499.00   254.14   252.53    87.11    27.66    27.66  5404.77
    472.00   251.03   249.30    85.80    29.85    29.85  5815.31
    462.00   249.83   248.05    85.28    29.78    35.49  5973.35
    440.00   247.10   245.21    84.08    33.49    33.49  6333.43
    438.00   246.85   244.95    83.96    33.20    33.62  6367.06
    427.00   245.45   243.95    86.97    31.58    34.31  6551.44
    413.00   243.65   241.85    84.32    29.45    35.10  6791.51
    409.00   242.85   240.45    79.47    29.75    35.46  6861.22
    400.00   241.85   239.65    80.86    30.44    36.28  7020.00
    399.00   241.65   239.45    80.83    30.41    36.24  7037.65
    394.00   240.85   238.95    83.12    30.24    36.03  7126.41
    381.00   238.85   236.26    77.33    29.78    35.49  7360.00
    366.00   236.45   233.05    70.62    33.09    39.44  7639.64
    362.00   235.85   232.85    73.49    33.21    38.42  7715.34
    348.00   233.25   229.45    66.90    33.47    34.80  7985.19
    343.00   232.44   229.13    70.33    33.49    33.49  8083.06
    331.00   230.45   228.35    79.74    35.31    35.31  8323.90
    326.00   229.85   228.45    85.95    39.80    35.70  8426.08
    323.00   229.65   228.05    84.07    42.59    35.74  8488.04
    320.00   229.45   226.05    68.88    42.16    36.54  8550.52
    314.00   228.65   225.75    72.63    41.23    38.15  8676.97
    312.00   228.45   224.95    67.85    40.90    38.69  8719.57
    307.00   227.85   225.45    76.64    40.04    40.04  8827.08
