
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89009    TIME = 200102/1200         
 SLAT = -90.00     SLON =     0.00   SELV =  2835.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    686.00   247.65   244.05    71.79    -2.61    -5.60  2835.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  -111.00
    925.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   534.00
    850.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  1215.00
    700.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  2691.00
    681.00   247.18   243.87    73.67    -0.89    -5.07  2887.58
    663.00   245.44   243.20    81.11    -2.18    -4.67  3080.13
    645.00   243.66   242.52    89.73    -1.76    -4.84  3277.98
    633.00   242.45   242.05    96.26     1.28    -9.17  3412.97
    630.00   242.65   242.00    94.03     2.67    -9.95  3446.83
    615.00   243.65   241.75    83.52     1.71    -9.74  3618.63
    559.00   241.12   238.55    77.85    -1.43    -8.11  4296.17
    541.00   240.25   237.45    75.94    -0.83    -8.50  4528.45
    534.00   239.65   235.75    67.86    -0.58    -8.64  4620.10
    500.00   237.05   234.35    76.06     0.81    -9.23  5080.00
    461.00   233.25   231.75    85.48     0.62   -11.12  5636.69
    456.00   233.05   228.35    60.63     0.58   -11.38  5710.81
    448.00   232.25   230.55    83.55     0.52   -11.79  5830.85
    439.00   231.45   227.75    67.15     0.45   -12.26  5968.00
    436.00   231.25   230.35    90.87     0.42   -12.42  6014.25
    422.00   229.65   222.65    45.83     0.28   -13.17  6233.49
    402.00   227.45   223.15    61.67     0.03   -14.30  6556.95
    400.00   227.25   222.55    58.83    -0.00   -14.41  6590.00
    396.00   227.05   219.05    39.83     0.09   -14.65  6656.86
    394.00   226.65   222.25    60.72     0.13   -14.77  6690.50
    385.00   225.65   221.65    63.30     0.34   -15.32  6843.54
    384.00   225.45   221.25    61.77     0.36   -15.38  6860.72
    344.00   222.36   212.91    31.63     1.57   -17.95  7580.54
    333.00   221.45   210.45    25.54     1.53   -17.43  7793.21
    301.00   221.45   204.45    11.28    -1.06   -12.97  8448.42
    300.00   221.45   204.45    11.28    -1.12   -12.82  8470.00
    281.00   223.32   200.22     4.93     0.99   -11.29  8900.63
    255.00   226.09   193.93     1.37    -0.76    -8.72  9539.66
    250.00   226.65   192.65     1.05     0.76    -8.72  9670.00
    249.00   226.70   192.58     1.03     0.67    -7.69  9696.52
    247.00   226.80   192.42     1.00    -0.58    -6.66  9749.87
    243.00   227.00   192.12     0.93    -1.87    -6.96  9857.89
    227.00   227.85   190.85     0.69    -2.27    -6.63 10308.51
    204.00   228.52   190.68     0.62    -2.83    -6.06 11018.41
    200.00   228.65   190.65     0.61    -3.05    -6.53 11150.00
    195.00   228.79   190.61     0.60    -1.87    -6.96 11320.73
    166.00   229.69   190.39     0.52    -4.30    -5.12 12406.52
    161.00   229.86   190.35     0.51    -2.83    -4.90 12612.76
    156.00   230.03   190.30     0.49    -4.73    -3.97 12825.51
    150.00   230.25   190.25     0.48    -5.46    -5.46 13090.00
    147.00   230.42   190.32     0.48    -3.61    -6.24 13227.00
    139.00   230.90   190.52     0.47    -4.37    -4.37 13606.46
    136.00   231.09   190.60     0.46    -5.97    -1.60 13754.42
    132.00   231.35   190.70     0.46    -5.48    -3.84 13956.85
    114.00   232.61   191.22     0.44    -5.48    -3.84 14950.99
    112.00   232.76   191.28     0.44    -4.67    -2.18 15071.01
    111.00   232.84   191.32     0.43    -5.47    -1.46 15131.83
    108.00   233.07   191.41     0.43    -5.48    -3.84 15317.62
    101.00   233.65   191.65     0.42    -5.76    -3.41 15772.03
    100.00   233.65   192.65     0.50    -5.79    -3.34 15840.00
     91.35   233.95   192.70     0.49    -7.60    -1.34 16459.00
     87.37   234.10   192.73     0.48    -8.01    -5.61 16764.00
     79.91   234.40   192.78     0.47    -7.60    -1.34 17374.00
     76.44   234.55   192.80     0.46    -5.12    -4.30 17678.00
     73.11   234.70   192.83     0.46    -5.12    -4.30 17983.00
     70.00   234.85   192.85     0.45    -6.59    -1.16 18280.00
     69.92   234.85   192.85     0.45    -6.29    -2.29 18288.00
     66.91   235.04   193.04     0.46    -7.18    -0.63 18593.00
     64.02   235.22   193.22     0.46    -5.60    -2.61 18898.00
     56.11   235.77   193.77     0.48    -7.69    -0.67 19812.00
     53.69   235.95   193.95     0.48    -6.75    -4.73 20117.00
     51.38   236.14   194.14     0.49    -7.72     0.00 20422.00
     50.00   236.25   194.25     0.49    -5.81    -2.11 20610.00
     49.17   236.28   194.25     0.49    -5.46    -5.46 20726.00
     47.04   236.37   194.25     0.49    -6.46    -1.73 21031.00
     45.01   236.46   194.25     0.48    -2.18    -4.67 21336.00
     43.07   236.54   194.25     0.48    -5.07    -0.89 21641.00
     41.21   236.63   194.25     0.47    -4.84     1.76 21946.00
     39.44   236.71   194.25     0.47    -7.25    -2.64 22250.00
     37.73   236.80   194.25     0.47    -6.16     0.54 22555.00
     34.55   236.97   194.25     0.46    -6.53    -3.05 23165.00
     30.00   237.25   194.25     0.45    -7.14    -4.12 24140.00
