
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LIX           STNM =    72233    TIME = 200102/1800         
 SLAT =  30.34     SLON =   -89.83   SELV =    10.0
 STIM =  1800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1009.00   295.15   293.95    92.91     0.00     3.60    10.00
   1000.00   294.95   293.75    92.90     1.61     9.13    86.00
    975.10   293.90   293.22    95.92     4.00    14.91   305.00
    944.00   292.55   292.55   100.00     8.48    18.85   586.44
    941.43   292.44   292.42    99.83     8.92    19.13   610.00
    925.00   291.75   291.55    98.75     9.57    20.53   762.00
    908.79   291.15   290.18    94.02    13.58    19.40   914.00
    898.00   290.75   289.25    90.92    13.20    20.07  1016.68
    876.94   289.28   288.30    93.90    12.35    21.40  1219.00
    850.00   287.35   287.05    98.07    12.10    20.96  1485.00
    825.00   285.75   285.55    98.70    13.62    20.45  1737.11
    820.00   286.55   282.95    78.82    13.93    20.34  1788.34
    816.06   286.87   282.95    77.22    14.17    20.24  1829.00
    815.00   286.95   282.95    76.79    14.23    20.18  1839.96
    810.00   287.15   280.15    62.69    14.47    19.90  1891.94
    792.00   285.55   278.55    62.32    15.33    18.84  2081.14
    787.02   285.02   280.03    71.49    15.56    18.54  2134.00
    777.00   283.95   283.05    94.17    14.98    19.01  2241.32
    759.00   282.75   281.95    94.75    13.89    19.82  2436.85
    758.89   282.75   281.95    94.75    13.88    19.82  2438.00
    731.57   282.36   281.26    92.87    14.56    17.35  2743.00
    731.00   282.35   281.25    92.83    14.56    17.35  2749.47
    704.00   280.15   279.35    94.65    14.56    17.35  3060.95
    700.00   281.15   279.15    87.19    14.56    17.35  3108.00
    699.00   281.15   278.95    85.99    14.58    17.23  3119.82
    684.00   280.35   277.75    83.54    14.87    15.46  3298.92
    679.52   280.18   275.81    73.68    14.93    14.93  3353.00
    668.00   279.75   270.75    52.61    16.61    14.14  3493.64
    654.70   278.32   270.42    56.68    18.55    12.99  3658.00
    644.00   277.15   270.15    60.29    18.67    13.61  3792.66
    625.00   274.75   272.05    82.24    18.83    14.76  4035.26
    617.00   273.95   271.35    82.74    18.88    15.26  4139.03
    611.00   273.55   271.85    88.35    18.91    15.64  4217.58
    607.25   273.55   270.98    82.85    18.93    15.88  4267.00
    605.00   273.55   270.45    79.68    19.22    16.12  4296.84
    584.00   271.25   268.75    83.01    21.95    18.42  4579.30
    564.00   270.65   260.65    46.17    24.64    20.68  4856.22
    562.52   270.58   260.58    46.15    24.84    20.85  4877.00
    555.00   270.25   260.25    46.05    25.39    21.30  4983.73
    541.11   268.65   258.40    44.66    26.42    22.17  5182.00
    500.00   263.65   252.65    40.37    26.42    22.17  5800.00
    498.00   263.45   252.45    40.31    26.38    22.14  5830.92
    484.00   261.85   251.85    43.43    26.09    21.89  6050.16
    481.11   261.69   251.69    43.38    26.03    21.84  6096.00
    477.00   261.45   251.45    43.31    26.08    21.71  6161.74
    469.00   261.45   246.45    27.69    26.18    21.44  6291.17
    433.00   256.85   243.85    31.68    26.62    20.16  6896.80
    412.00   255.45   243.45    34.32    26.86    19.37  7269.42
    406.00   255.05   250.05    64.85    26.93    19.14  7379.01
    403.00   254.65   250.45    69.51    26.96    19.02  7434.34
    400.00   254.25   250.15    70.03    26.99    18.90  7490.00
    393.08   253.12   248.90    69.00    26.99    18.90  7620.00
    389.00   252.45   248.15    68.38    26.25    19.26  7697.77
    384.00   251.85   245.85    58.43    25.33    19.67  7793.70
    377.22   250.82   244.30    55.40    24.05    20.18  7925.00
    371.00   249.85   242.85    52.65    24.74    20.40  8047.71
    368.00   249.65   241.65    47.81    25.08    20.50  8107.32
    365.00   249.65   235.65    26.47    25.42    20.60  8167.39
    362.00   249.65   227.65    11.38    25.76    20.69  8227.95
    356.00   249.25   231.25    17.39    26.47    20.88  8350.48
    353.00   248.45   233.45    23.52    26.83    20.97  8412.37
    350.00   248.05   238.05    38.85    27.19    21.06  8474.65
    338.00   246.05   240.05    56.72    28.69    21.40  8728.01
    331.00   245.45   230.45    22.55    29.59    21.58  8879.18
    324.00   244.05   226.05    15.89    30.53    21.74  9032.92
    319.01   243.22   229.37    24.73    31.21    21.85  9144.00
    318.00   243.05   230.05    27.04    31.23    21.87  9166.72
    304.00   240.45   225.45    20.94    31.54    22.08  9486.60
    301.00   239.65   228.65    32.22    31.60    22.13  9556.56
    300.00   239.65   228.65    32.22    31.63    22.15  9580.00
    292.00   238.05   229.05    39.38    31.94    22.36  9768.70
    289.00   237.45   231.45    54.03    32.06    22.45  9840.47
    284.00   236.65   226.65    34.82    32.26    22.59  9961.39
    278.00   235.85   224.85    30.86    32.51    22.76 10108.84
    266.00   232.85   222.85    33.42    33.02    23.12 10411.07
    250.00   229.25   224.25    57.47    33.73    23.62 10830.00
    242.00   227.25   222.45    58.15    33.92    24.40 11047.64
    232.00   225.25   217.25    39.14    34.13    25.42 11327.56
    226.00   223.65   216.65    43.60    34.26    26.06 11499.98
    219.00   222.25   211.25    25.84    34.39    26.84 11705.63
    205.00   218.45   208.45    27.95    34.63    28.49 12132.37
    200.00   217.05   209.05    35.92    34.70    29.12 12290.00
    195.00   215.65   209.65    46.25    35.26    29.58 12450.15
    182.00   212.05   205.05    39.01    36.77    30.85 12881.52
