
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAFA          STNM =    70261    TIME = 200103/0000         
 SLAT =  64.81     SLON =  -147.88   SELV =   134.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    991.00   250.05   247.55    79.93    -0.00    -0.00   134.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    71.00
    985.00   252.25   248.95    74.76    -0.08    -0.40   178.95
    981.00   252.05   249.15    77.45    -0.23    -0.64   209.19
    976.00   252.25   250.45    85.42    -0.51    -0.89   247.17
    968.44   252.59   249.78    78.19    -1.09    -1.09   305.00
    967.00   252.65   249.65    76.87    -1.18    -1.13   316.10
    960.00   254.05   249.45    66.95    -1.66    -1.27   370.35
    929.71   253.36   249.28    69.94    -4.06    -0.72   610.00
    925.00   253.25   249.25    70.43    -3.98    -1.07   648.00
    892.38   253.07   249.25    71.51    -5.47    -1.46   914.00
    888.00   253.05   249.25    71.66    -4.52    -2.62   950.49
    872.00   254.45   250.75    72.59    -0.27    -3.61  1085.54
    868.00   255.45   251.75    72.80     0.55    -3.17  1119.85
    866.00   257.65   253.95    73.25     0.87    -2.89  1137.18
    865.00   257.65   253.75    72.01     1.01    -2.73  1145.89
    856.67   257.98   253.58    69.07     1.58    -1.32  1219.00
    850.00   258.25   253.45    66.79     4.47    -1.20  1278.00
    846.00   257.85   253.25    67.85     5.32    -0.79  1313.67
    838.00   257.65   251.65    60.05     6.86     0.56  1385.44
    835.00   258.25   250.25    50.53     7.34     1.24  1412.56
    828.00   258.25   249.25    46.24     8.18     3.18  1476.26
    822.79   257.90   248.04    42.68     8.47     4.89  1524.00
    816.00   257.45   246.45    38.35     8.29     4.99  1586.56
    800.00   256.25   249.25    54.59     7.86     5.20  1735.60
    795.00   255.65   247.65    49.73     7.73     5.26  1782.63
    793.00   255.45   249.45    59.44     7.67     5.28  1801.49
    790.09   255.16   248.43    55.62     7.59     5.32  1829.00
    789.00   255.05   248.05    54.24     7.51     5.32  1839.31
    787.00   254.85   250.35    67.74     7.34     5.33  1858.28
    784.00   254.65   250.25    68.29     7.10     5.33  1886.79
    782.00   254.45   249.85    67.04     6.94     5.33  1905.84
    780.00   254.45   251.85    79.93     6.78     5.33  1924.94
    765.00   253.25   250.85    81.16     5.61     5.20  2069.40
    758.34   252.86   250.62    82.24     5.10     5.10  2134.00
    728.00   251.05   249.55    87.58     2.78     2.33  2435.73
    727.77   251.03   249.53    87.57     2.76     2.31  2438.00
    700.00   248.85   247.15    85.78     6.16    -0.54  2723.00
    699.00   248.65   246.85    84.97     6.17    -0.26  2733.43
    698.08   248.58   246.69    84.26     6.18    -0.00  2743.00
    694.00   248.25   245.95    81.12     5.65    -2.32  2785.72
    691.00   248.25   244.45    70.60     4.71    -3.80  2817.25
    670.00   247.05   244.95    82.44    -5.20    -2.26  3041.32
    669.38   247.12   245.05    82.71    -5.32    -1.94  3048.00
    659.00   248.25   246.75    87.28    -6.73    -1.04  3161.51
    644.00   248.25   246.25    83.38    -8.43     1.13  3329.09
    641.88   248.13   246.09    83.03    -8.62     1.52  3353.00
    620.00   246.85   244.35    79.40   -10.87     0.33  3604.74
    615.44   246.67   244.31    80.44   -11.33     0.00  3658.00
    586.00   245.45   244.05    87.79   -16.91    -1.72  4011.75
    572.00   244.65   242.25    79.78   -19.57    -2.98  4185.46
    566.00   245.05   242.25    76.87   -20.70    -3.61  4261.16
    565.54   245.01   242.20    76.78   -20.79    -3.67  4267.00
    533.00   241.85   238.25    70.47   -20.27    -2.33  4689.88
    519.05   240.53   237.47    74.06   -20.00    -1.75  4877.00
    510.00   239.65   236.95    76.58   -20.88    -2.69  5001.18
    500.00   238.65   235.45    72.61   -21.80    -3.84  5140.00
    475.72   235.98   232.37    68.93   -23.08    -2.02  5486.00
    471.00   235.45   231.75    68.20   -23.61    -2.53  5555.29
    451.00   233.85   231.65    79.49   -25.78    -5.02  5853.81
    448.00   233.85   230.95    73.82   -26.09    -5.43  5899.57
    446.00   233.65   233.45    97.95   -26.29    -5.72  5930.23
    441.00   233.45   232.05    86.41   -26.79    -6.45  6007.44
    438.00   233.05   231.75    87.28   -27.09    -6.91  6054.12
    435.32   232.94   230.31    75.73   -27.35    -7.33  6096.00
    433.00   232.85   229.05    66.80   -27.33    -7.63  6132.53
    429.00   232.65   227.95    60.51   -27.29    -8.15  6195.87
    426.00   232.45   228.65    66.69   -27.25    -8.55  6243.71
    425.00   232.25   227.55    60.39   -27.24    -8.68  6259.72
    419.00   231.65   229.25    77.41   -27.14    -9.49  6356.41
    416.26   231.43   228.54    73.34   -27.09    -9.86  6401.00
    414.00   231.25   227.95    70.11   -27.52    -9.28  6437.88
    408.00   230.25   227.65    75.45   -28.60    -7.65  6536.64
    404.00   229.65   226.95    74.50   -29.27    -6.49  6603.06
