
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAMC          STNM =    70231    TIME = 200103/1200         
 SLAT =  62.96     SLON =  -155.60   SELV =   105.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    996.00   236.85   233.55    71.46    -0.44    -0.93   105.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00    77.00
    993.00   240.25   238.55    84.68    -0.53    -1.20   126.07
    992.00   241.05   239.65    87.31    -0.56    -1.29   133.17
    990.00   244.05   242.85    89.32    -0.62    -1.47   147.50
    988.00   246.05   243.95    82.30    -0.67    -1.65   162.01
    979.00   247.25   245.35    84.02    -0.85    -2.49   228.09
    977.00   248.45   246.55    84.18    -0.87    -2.68   242.93
    974.00   250.85   247.85    76.53    -0.90    -2.97   265.41
    969.00   252.05   248.45    72.74    -0.93    -3.46   303.31
    968.78   252.06   248.46    72.76    -0.93    -3.48   305.00
    963.00   252.25   248.75    73.43    -1.44    -3.78   349.17
    937.00   251.45   248.65    78.03    -4.47    -4.13   551.02
    929.53   251.70   248.84    77.65    -5.48    -3.84   610.00
    925.00   251.85   248.95    77.41    -5.91    -4.14   646.00
    921.00   251.65   248.85    78.07    -5.99    -4.01   678.02
    910.00   253.25   249.85    74.30    -6.21    -3.66   767.04
    899.00   252.85   249.85    76.90    -6.42    -3.29   857.37
    893.00   253.65   248.95    66.25    -6.52    -3.08   907.14
    892.18   254.14   249.32    65.65    -6.53    -3.05   914.00
    891.00   254.85   249.85    64.80    -6.42    -3.02   923.87
    888.00   255.05   250.75    68.99    -6.12    -2.93   949.11
    882.00   257.45   253.35    70.74    -5.54    -2.75  1000.10
    878.00   257.65   255.45    83.20    -5.15    -2.62  1034.47
    877.00   257.65   255.55    83.91    -5.05    -2.59  1043.09
    874.00   257.85   256.85    92.04    -4.76    -2.48  1069.02
    862.00   257.85   256.55    89.76    -3.61    -2.02  1173.68
    860.00   258.45   254.75    73.41    -3.42    -1.94  1191.28
    856.86   258.45   252.68    61.49    -3.12    -1.80  1219.00
    855.00   258.45   251.45    55.24    -3.16    -1.73  1235.52
    853.00   258.45   249.45    46.30    -3.20    -1.65  1253.29
    850.00   258.25   248.25    42.27    -3.26    -1.52  1280.00
    845.00   257.85   246.85    38.49    -3.11    -1.45  1324.55
    837.00   257.45   249.45    50.29    -2.87    -1.34  1396.28
    832.00   257.05   246.05    38.22    -2.72    -1.27  1441.38
    826.00   256.65   245.65    38.09    -2.53    -1.18  1495.78
    809.00   255.25   243.25    34.25    -2.01    -0.94  1651.54
    789.79   253.69   243.03    38.34    -1.40    -0.65  1829.00
    757.83   251.00   242.66    46.74    -2.98     0.80  2134.00
    740.00   249.45   242.45    52.52    -3.63     0.59  2309.81
    731.00   249.05   239.05    39.20    -3.96     0.44  2399.06
    727.09   248.69   239.46    42.16    -4.10     0.36  2438.00
    716.00   247.65   240.65    51.96    -4.54    -0.08  2549.72
    712.00   247.25   238.25    42.61    -4.68    -0.27  2590.28
    700.00   246.25   241.65    64.98    -5.07    -0.89  2713.00
    697.08   246.00   241.66    66.56    -5.07    -0.89  2743.00
    679.00   244.45   241.75    77.49    -6.95    -1.23  2931.77
    674.00   244.05   240.15    68.95    -7.48    -1.32  2984.62
    668.03   243.52   240.35    73.84    -8.11    -1.43  3048.00
    656.00   242.45   240.75    84.97    -8.06    -1.73  3177.37
    643.00   241.25   239.85    87.33    -7.98    -2.05  3319.08
    639.91   240.94   239.41    86.14    -7.96    -2.13  3353.00
    623.00   239.25   236.95    79.63   -10.25    -3.35  3541.30
    622.00   239.45   237.25    80.47   -10.39    -3.43  3552.56
    618.00   240.45   233.45    49.61   -10.92    -3.76  3597.87
    614.00   241.05   229.05    29.38   -11.45    -4.11  3643.63
    612.75   241.17   230.42    33.63   -11.61    -4.23  3658.00
    610.00   241.45   233.45    45.05   -11.75    -4.34  3689.78
    601.00   240.65   235.85    62.21   -12.17    -4.70  3794.66
    598.00   240.65   234.65    55.06   -12.31    -4.83  3829.91
    588.00   239.85   232.85    49.40   -12.78    -5.26  3948.50
    574.00   238.45   233.75    62.22   -13.43    -5.91  4117.19
    571.00   238.05   233.05    60.20   -13.57    -6.06  4153.73
    561.77   237.29   234.18    72.96   -13.99    -6.53  4267.00
    554.00   236.65   235.15    85.92   -14.68    -7.35  4363.72
    551.00   236.65   234.15    77.56   -14.95    -7.68  4401.33
    548.00   237.85   220.85    15.92   -15.20    -8.03  4439.24
    547.00   238.05   216.05     8.74   -15.29    -8.14  4451.96
    546.00   238.45   219.45    12.71   -15.37    -8.26  4464.72
    545.00   238.65   223.65    20.36   -15.45    -8.38  4477.52
    542.00   238.65   216.65     8.87   -15.70    -8.73  4516.08
    540.00   238.85   215.85     7.88   -15.86    -8.98  4541.91
    537.68   238.85   218.63    11.07   -16.05    -9.26  4572.00
    535.00   238.85   221.85    16.22   -17.28    -9.97  4606.94
    529.00   239.25   211.25     4.22   -20.05   -11.57  4685.85
    519.00   239.25   226.25    25.73   -24.73   -14.28  4819.48
    517.00   239.45   230.45    39.88   -25.68   -14.83  4846.53
    514.76   239.23   231.91    47.57   -26.75   -15.44  4877.00
    513.00   239.05   233.05    54.55   -27.01   -15.23  4900.92
    500.00   237.65   231.65    54.09   -28.93   -13.49  5080.00
    491.00   236.45   232.45    66.34   -29.07   -13.56  5205.75
    485.00   236.05   232.35    68.35   -29.17   -13.60  5290.58
    471.41   234.96   230.09    60.06   -29.39   -13.71  5486.00
    470.00   234.85   229.85    59.23   -29.35   -14.00  5506.60
    467.00   235.05   228.05    47.76   -29.25   -14.63  5550.53
    456.00   233.65   228.95    60.81   -28.75   -16.98  5713.67
    454.00   233.85   226.85    47.33   -28.63   -17.42  5743.67
    451.00   233.65   228.65    58.86   -28.45   -18.07  5788.93
    445.00   233.05   228.35    60.63   -28.04   -19.40  5880.20
    442.00   232.85   226.85    52.51   -27.81   -20.06  5926.21
    439.00   232.85   228.25    61.24   -27.56   -20.73  5972.52
    436.00   232.85   226.85    52.51   -27.29   -21.40  6019.15
    433.00   232.25   227.55    60.39   -27.01   -22.07  6066.04
    431.09   232.25   226.09    51.37   -26.82   -22.50  6096.00
    430.00   232.25   225.25    46.77   -26.86   -22.54  6113.20
    428.00   232.25   226.25    52.30   -26.94   -22.60  6144.81
    421.00   231.25   225.25    51.96   -27.21   -22.83  6256.42
    410.00   229.85   223.85    51.48   -27.64   -23.19  6434.67
    406.00   229.45   220.45    36.21   -27.80   -23.32  6500.42
    401.00   228.78   222.28    48.22   -28.00   -23.49  6583.30
    400.00   228.65   222.65    51.06   -28.00   -23.49  6600.00
    399.00   228.65   222.65    51.06   -28.00   -23.49  6616.78
    393.71   227.98   221.50    48.07   -28.00   -23.49  6706.00
    388.00   227.25   220.25    44.95   -28.26   -22.84  6803.59
    385.00   226.85   217.85    35.23   -28.39   -22.49  6855.25
    381.00   226.25   219.25    44.57   -28.56   -22.02  6924.61
    374.00   225.65   216.65    34.77   -28.84   -21.18  7047.44
    371.00   225.25   217.25    39.14   -28.96   -20.82  7100.66
    367.00   225.05   215.05    30.49   -29.11   -20.33  7172.21
    359.00   224.05   215.05    34.15   -29.39   -19.33  7317.28
    358.00   224.65   214.65    30.34   -29.42   -19.20  7335.63
    347.00   223.25   214.25    33.84   -29.76   -17.79  7540.51
    344.00   223.25   214.25    33.84   -29.84   -17.40  7597.33
    342.81   223.16   214.60    35.74   -29.87   -17.24  7620.00
    336.00   222.65   216.65    48.90   -29.87   -17.24  7751.12
    331.00   222.45   213.45    33.53   -29.87   -17.24  7848.93
    328.00   222.65   214.65    38.13   -29.87   -17.24  7908.33
    327.16   222.58   213.25    32.19   -29.87   -17.24  7925.00
    323.00   222.25   206.25    13.21   -28.26   -16.32  8008.50
    318.00   221.85   201.85     7.43   -26.30   -15.18  8110.04
    300.00   223.05   199.05     4.28   -15.77   -13.23  8490.00
    299.00   222.85   198.85     4.25   -15.55   -13.05  8511.74
    289.00   226.85   196.85     1.99   -13.24   -11.11  8735.07
    285.00   226.45   197.45     2.29   -12.30   -10.32  8827.31
    274.00   229.05   196.05     1.39    -9.63    -8.08  9089.07
    271.75   228.91   195.91     1.38    -9.07    -7.61  9144.00
    250.00   227.45   194.45     1.28   -10.27    -4.79  9700.00
    247.97   227.12   194.28     1.30   -10.27    -4.79  9754.00
    238.00   225.45   193.45     1.37    -3.11    -8.46 10026.30
    236.87   225.98   193.54     1.31    -2.26    -8.45 10058.00
    228.00   230.25   194.25     0.92    -2.38    -8.87 10312.81
    226.31   230.42   194.25     0.90    -2.40    -8.95 10363.00
    218.00   231.25   194.25     0.83    -0.34    -7.55 10615.97
    216.33   231.27   194.27     0.83    -0.00    -7.21 10668.00
    206.81   231.37   194.37     0.83    -0.58    -6.66 10973.00
    200.00   231.45   194.45     0.83    -0.00    -6.18 11200.00
    197.00   231.65   194.65     0.84     0.14    -5.90 11302.42
    189.11   232.97   195.07     0.78     0.45    -5.13 11582.00
    172.00   236.05   196.05     0.67    -1.35    -8.33 12231.19
    165.47   235.06   195.39     0.66    -2.53    -9.45 12497.00
    153.00   233.05   194.05     0.66     2.56   -11.13 13034.71
    150.00   233.85   194.85     0.69     4.05   -11.13 13170.00
    149.00   233.85   194.85     0.69     4.23   -11.06 13215.80
    144.80   233.55   194.55     0.68     5.00   -10.73 13411.00
    138.47   233.08   194.08     0.66    -0.00    -9.78 13716.00
    132.42   232.61   193.61     0.65     7.64    -7.64 14021.00
    128.00   232.25   193.25     0.63     8.98    -9.60 14252.52
    126.00   232.85   193.85     0.65     9.57   -10.54 14359.76
    121.06   232.05   193.57     0.68    10.92   -13.02 14630.00
    110.60   230.25   192.95     0.74     7.97   -11.39 15240.00
    101.04   228.46   192.32     0.82     7.67   -10.96 15850.00
    100.00   228.25   192.25     0.83     8.45    -2.26 15920.00
     96.53   227.30   191.55     0.82     8.45    -2.26 16154.00
     86.80   224.45   189.45     0.79    10.27    -4.79 16856.68
     70.00   228.25   190.25     0.59    12.06    -5.37 18280.00
     30.00   230.05   191.05     0.56    19.35    -7.04 23970.00
     20.00   231.65   191.65     0.52    18.40    -4.93 26740.00
