
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PHLI          STNM =    91165    TIME = 200104/0000         
 SLAT =  21.99     SLON =  -159.34   SELV =    30.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1018.00   298.55   292.55    69.41    -5.35    -3.09    30.00
   1004.00   296.15   289.15    64.69    -6.62    -3.25   151.23
   1000.00   295.95   288.95    64.65    -7.00    -3.26   186.00
    986.31   294.85   288.68    67.95    -8.86    -4.13   305.00
    952.07   292.04   288.00    77.39    -7.49    -6.29   610.00
    925.00   289.75   287.45    86.28    -8.01    -5.61   859.00
    919.05   289.38   287.30    87.49    -8.03    -4.63   914.00
    909.00   288.75   287.05    89.61    -7.76    -4.48  1007.75
    903.00   287.15   284.35    83.22    -7.59    -4.38  1063.93
    886.55   286.79   283.32    79.55    -7.14    -4.12  1219.00
    855.05   286.07   281.28    72.68    -5.79    -3.34  1524.00
    850.00   285.95   280.95    71.60    -5.79    -3.34  1574.00
    826.00   284.15   280.35    77.39    -4.91    -1.84  1814.12
    824.53   284.15   280.39    77.59    -4.84    -1.76  1829.00
    814.00   284.15   280.65    79.00    -5.12    -0.53  1936.44
    798.00   285.55   272.55    40.66    -4.95     1.41  2102.60
    795.01   285.39   272.12    39.83    -4.84     1.76  2134.00
    776.00   284.35   269.35    34.75    -5.05     2.92  2336.39
    771.00   283.55   274.55    53.65    -5.07     3.25  2390.27
    767.00   283.55   270.55    40.07    -5.06     3.52  2433.57
    766.59   283.47   272.10    45.16    -5.06     3.54  2438.00
    766.00   283.35   274.35    53.59    -5.05     3.50  2444.43
    764.00   284.15   269.15    34.69    -5.03     3.34  2466.21
    756.00   284.35   261.35    18.70    -4.88     2.74  2553.95
    739.00   283.55   234.55     1.74    -4.35     1.58  2743.13
    712.29   282.52   233.52     1.67    -0.22    -2.56  3048.00
    703.00   282.15   233.15     1.65    -0.81    -5.23  3156.69
    700.00   281.95   232.95     1.64    -1.07    -6.09  3192.00
    661.19   279.40   242.64     5.11    -2.67    -9.95  3658.00
    637.04   277.74   248.96    10.27    -1.87    -6.96  3962.00
    623.00   276.75   252.75    15.36    -0.54    -5.04  4144.07
    613.50   275.78   253.08    16.93    -0.00    -3.60  4267.00
    590.55   273.39   253.90    21.57     1.03    -1.78  4572.00
    568.46   270.99   254.73    27.57     2.55    -2.55  4877.00
    560.00   270.05   255.05    30.39     2.66    -3.50  4996.89
    546.85   268.50   253.29    29.37     2.39    -5.13  5182.00
    500.00   262.65   246.65    25.63     4.38    -7.58  5880.00
    486.00   260.84   244.61    24.54     4.57    -9.80  6096.00
    441.00   254.65   237.65    20.95     8.12   -12.04  6835.12
    413.41   252.00   231.03    13.33    10.92   -13.02  7315.00
    400.00   250.65   227.65    10.42    12.62   -10.59  7560.00
    396.70   250.13   227.24    10.43    12.62   -10.59  7620.00
    372.00   246.05   224.05    10.54    13.50    -9.43  8086.12
    351.00   244.25   211.25     2.62    14.21    -8.32  8501.94
    349.40   243.97   211.51     2.78    14.26    -8.23  8534.00
    334.54   241.31   213.96     4.90    13.49    -9.45  8839.00
    320.30   238.65   216.42     8.63    15.38   -12.91  9144.00
    309.00   236.45   218.45    13.76    18.64   -12.82  9396.07
    300.00   236.25   215.25     9.48    21.40   -12.35  9600.00
    292.00   234.65   213.65     9.11    24.13   -10.68  9787.56
    280.79   234.53   208.62     4.78    27.85    -7.46 10058.00
    257.07   234.25   197.28     0.97    25.86    -6.93 10668.00
    257.00   234.25   197.25     0.96    25.87    -6.93 10669.76
    250.00   233.25   197.25     1.07    27.35    -7.33 10860.00
    224.38   228.31   196.67     1.65    28.34    -7.59 11582.00
    200.00   223.05   196.05     2.71    28.39    -5.01 12350.00
    153.80   212.64   190.21     3.74    24.62     2.15 14021.00
    150.00   211.65   189.65     3.87    24.62     2.15 14180.00
    125.70   205.75   188.22     6.71    25.23    -0.00 15240.00
    107.93   200.67   186.99    11.22    13.33    -1.17 16154.00
    102.58   198.97   186.58    13.44     6.24     3.60 16459.00
    101.00   198.45   186.45    14.22     5.78     3.76 16552.27
    100.00   198.25   186.25    14.15     5.48     3.84 16610.00
     70.00   194.85   186.85    26.57     4.46     2.57 18640.00
     50.00   201.85   186.85     9.22    -3.87    -1.41 20610.00
     30.00   212.85   187.85     2.44   -13.92     3.73 23730.00
     20.00   223.25   191.25     1.23    -4.84     1.76 26310.00
     10.00   224.05   193.05     1.50    -9.68    -3.52 30850.00
