
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = NSTU          STNM =    91765    TIME = 200104/1200         
 SLAT = -14.33     SLON =  -170.71   SELV =     5.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   299.35   297.75    90.92     1.33    -0.77     5.00
   1005.00   300.55   297.95    85.73    -0.04    -1.03    50.84
   1001.00   300.55   297.65    84.21    -0.49    -0.37    87.75
   1000.00   300.55   297.65    84.21    -0.46    -0.22    97.00
    957.00   297.35   296.05    92.46    -0.52    -0.96   485.77
    929.00   296.35   292.55    79.20    -0.09    -1.48   746.26
    925.00   296.15   292.25    78.68    -0.00    -1.54   784.00
    850.00   291.55   287.65    78.01    -0.00    -3.60  1518.00
    845.00   291.35   287.25    76.98     0.04    -3.77  1568.72
    809.00   288.95   287.05    88.47     0.45    -5.02  1941.32
    781.00   287.35   284.95    85.47     0.92    -6.00  2240.62
    764.00   287.15   283.45    78.38     1.28    -6.59  2426.92
    752.00   287.35   278.35    54.65     1.57    -7.00  2560.78
    744.00   286.95   277.95    54.55     1.78    -7.28  2651.10
    740.00   287.15   275.15    44.19     1.89    -7.41  2696.59
    735.00   286.55   278.55    58.37     2.03    -7.58  2753.77
    721.00   285.75   274.75    47.05     2.45    -8.04  2915.56
    709.00   284.55   275.55    53.91     2.85    -8.43  3056.22
    705.00   284.75   269.75    34.86     2.99    -8.55  3103.52
    700.00   284.55   270.55    37.49     3.17    -8.71  3163.00
    697.00   284.15   274.15    50.08     3.00    -8.71  3198.90
    692.00   283.75   274.75    53.70     2.70    -8.70  3259.02
    688.00   283.95   270.95    40.19     2.47    -8.69  3307.40
    681.00   283.55   272.55    46.42     2.07    -8.65  3392.69
    677.00   283.55   270.55    40.07     1.84    -8.61  3441.79
    674.00   283.35   272.35    46.36     1.67    -8.59  3478.79
    664.00   282.75   270.75    42.91     1.11    -8.47  3603.16
    661.00   282.75   266.75    31.75     0.94    -8.43  3640.77
    655.00   282.15   267.15    34.09     0.61    -8.33  3716.41
    649.00   282.15   262.15    23.09     0.29    -8.22  3792.64
    640.00   281.75   256.75    15.28    -0.18    -8.03  3908.16
    634.00   280.95   262.95    26.69    -0.49    -7.89  3985.92
    626.00   279.95   263.95    30.92    -0.88    -7.68  4090.47
    617.00   281.15   243.15     4.76    -1.31    -7.41  4209.65
    613.00   281.15   232.15     1.59    -1.49    -7.29  4263.24
    578.00   277.75   232.75     2.14    -2.86    -5.98  4744.72
    565.00   276.15   247.15     9.76    -3.25    -5.42  4929.39
    552.00   276.75   227.75     1.35    -3.56    -4.82  5118.01
    519.00   272.25   240.25     6.76    -4.01    -3.23  5613.94
    500.00   269.45   223.45     1.41    -4.01    -2.31  5910.00
    499.00   269.25   223.25     1.40    -4.00    -2.33  5925.78
    457.00   263.25   238.25    11.00    -3.39    -2.85  6610.70
    451.00   263.45   230.45     4.86    -3.29    -2.91  6712.53
    440.00   261.85   230.85     5.76    -3.10    -3.03  6902.28
    420.00   261.45   218.45     1.46    -2.75    -3.22  7258.39
    400.00   259.25   221.25     2.43    -2.36    -3.37  7630.00
    369.00   255.25   214.25     1.45    -0.43    -3.52  8236.14
    359.00   254.85   210.85     0.97     0.15    -3.34  8440.82
    300.00   244.45   203.45     0.89     1.87    -0.87  9750.00
    271.00   238.05   204.05     1.79     4.64    -0.22 10470.74
    250.00   233.85   205.85     3.51     6.46     1.73 11030.00
    216.00   226.25   195.25     1.66     7.34    -0.60 12014.97
    200.00   221.85   204.85    11.39     7.46    -2.00 12520.00
    199.00   221.45   205.45    12.98     7.54    -2.02 12552.50
    192.00   220.05   204.05    12.58     8.16    -2.19 12783.75
    178.00   216.45   207.45    31.16     9.47    -2.54 13267.14
    173.00   215.25   205.25    26.71     9.96    -2.67 13447.05
    165.00   212.85   200.85    19.28    10.78    -2.89 13743.52
    150.00   207.85   197.85    23.80    12.43    -3.33 14330.00
    148.00   207.05   197.05    23.48    12.01    -4.13 14411.58
    140.00   204.25   192.25    16.22     9.77    -6.95 14746.38
    126.00   198.45   189.45    23.80     4.23    -9.78 15367.89
    102.00   189.85   181.85    24.37    -5.03    -6.18 16569.80
    100.00   190.05   180.05    16.80    -5.46    -5.46 16680.00
     89.60   186.05   178.05    22.69    -7.64    -7.64 17283.20
     70.00   193.05   182.05    14.95    -2.31    -2.76 18650.00
     50.00   200.65   180.65     3.57    -0.88     1.26 20620.00
     30.00   215.45   183.45     0.81    -8.95    -2.40 23770.00
     20.00   216.05   184.05     0.84   -20.08     0.00 26320.00
     10.00   229.65   193.65     0.89   -34.88     3.05 30890.00
      7.00   226.45   191.45     0.88   -41.70     0.00 33270.00
      6.90 -9999.00 -9999.00 -9999.00   -43.24     0.00 -9999.00
