
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PASY          STNM =    70414    TIME = 200104/1200         
 SLAT =  52.71     SLON =   174.10   SELV =    31.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   273.55   273.45    99.28   -12.17    -2.15    31.00
   1000.00   273.95   272.25    88.39   -12.43    -3.33    87.00
    972.96   272.16   271.05    92.22   -14.36    -1.26   305.00
    936.35   269.65   269.38    98.03   -15.44     0.00   610.00
    925.00   268.85   268.85   100.00   -14.87     1.30   707.00
    901.00   267.99   267.99   100.00   -11.44     3.06   914.00
    881.00   267.25   267.25   100.00    -8.46     4.23  1090.77
    866.68   266.43   266.29    98.95    -6.32     4.43  1219.00
    850.00   265.45   265.15    97.70    -5.91     4.14  1371.00
    801.01   261.79   261.75    99.69    -4.46     2.58  1829.00
    794.00   261.25   261.25   100.00    -4.47     1.44  1896.82
    769.72   260.32   257.05    76.50    -2.80    -1.31  2134.00
    768.00   260.25   256.75    75.01    -2.76    -1.39  2151.07
    739.29   257.71   251.87    60.95    -1.77    -2.53  2438.00
    709.95   255.00   246.69    48.14    -1.87    -0.87  2743.00
    702.00   254.25   245.25    44.95    -1.57    -0.48  2827.78
    700.00   254.05   245.05    44.88    -1.49    -0.40  2849.00
    631.00   247.25   242.35    63.41    -0.04     1.54  3610.00
    626.82   246.87   243.05    70.19     0.13     1.53  3658.00
    618.00   246.05   244.55    87.04     0.23     1.78  3760.22
    575.60   242.54   236.09    53.15     1.06     2.90  4267.00
    563.00   241.45   233.45    45.05     1.29     3.10  4424.88
    546.00   239.45   235.65    68.50     1.63     3.34  4640.54
    527.70   237.28   232.91    64.07     2.06     3.57  4877.00
    508.00   234.85   229.85    59.23     2.51     4.34  5140.96
    504.97   234.85   224.56    33.06     2.57     4.46  5182.00
    504.00   234.85   222.85    27.19     3.04     4.52  5195.26
    500.00   234.85   220.85    21.54     5.12     4.30  5250.00
    495.00   234.45   217.45    14.93     5.51     4.03  5319.38
    466.00   231.65   214.65    14.12     7.41     1.74  5733.28
    462.06   231.56   214.56    14.10     7.60     1.34  5791.00
    441.77   231.05   214.05    13.95    12.36    -0.00  6096.00
    422.38   230.55   213.55    13.81    15.42     4.13  6401.00
    411.00   230.25   213.25    13.72    18.99     1.96  6586.56
    403.80   229.73   213.38    14.76    21.11    -0.00  6706.00
    400.00   229.45   213.45    15.34    23.68    -0.00  6770.00
    377.00   227.05   213.05    18.94    24.74     1.55  7163.99
    368.35   226.26   211.75    17.49    25.13     2.20  7315.00
    351.47   224.66   209.12    14.81    22.56     1.97  7620.00
    305.40   219.86   201.25     8.60    23.32     4.11  8534.00
    300.00   219.25   200.25     7.99    21.03     1.84  8650.00
    294.00   218.85   199.85     7.90    20.85     2.31  8780.41
    277.82   217.90   198.90     7.69    20.28     3.58  9144.00
    264.93   217.11   198.11     7.51    12.82     1.12  9449.00
    264.00   217.05   198.05     7.50    13.85     1.21  9471.66
    250.00   216.85   196.85     6.40    15.97     5.81  9820.00
    229.73   221.50   197.49     4.04    16.56    13.90 10363.00
    225.00   222.65   197.65     3.62    15.83    12.28 10496.57
    219.13   222.08   197.08     3.55    14.76    10.34 10668.00
    209.06   221.06   196.06     3.41    11.39     7.97 10973.00
    209.00   221.05   196.05     3.41    11.41     7.92 10974.78
    200.00   222.45   196.45     3.09    11.79    -1.03 11260.00
    199.45   222.48   196.45     3.08    16.90     4.53 11278.00
    190.43   223.00   196.48     2.91     6.75     4.73 11582.00
    181.80   223.51   196.52     2.76    10.19    10.19 11887.00
    165.68   224.54   196.58     2.48    13.92     9.75 12497.00
    158.16   225.06   196.61     2.35    10.25     5.92 12802.00
    150.00   225.65   196.65     2.21    10.65     8.93 13150.00
    144.23   226.34   196.85     2.11    10.25     8.60 13411.00
    137.78   227.14   197.08     2.00     4.79    10.27 13716.00
    131.61   227.94   197.30     1.90    13.41    11.25 14021.00
    120.11   229.54   197.76     1.71     2.80    10.44 14630.00
    118.00   229.85   197.85     1.68     4.56    10.89 14747.84
    114.73   229.14   197.31     1.67     7.67    10.96 14935.00
    109.59   227.97   196.42     1.65     6.69    11.59 15240.00
    100.00   225.65   194.65     1.62     2.50    14.19 15850.00
