
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAOT          STNM =    70133    TIME = 200104/1200         
 SLAT =  66.89     SLON =  -162.61   SELV =     6.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1015.00   252.25   248.65    72.78    -0.51    -0.89     6.00
   1012.00   252.65   249.55    76.19    -0.35    -0.97    27.65
   1002.00   252.85   246.85    58.71     0.24    -1.00   100.36
   1000.00   252.85   246.85    58.71     0.35    -0.97   115.00
    992.00   252.45   247.45    64.19    -0.17    -1.50   174.59
    988.00   253.25   248.65    66.75    -0.60    -1.65   204.59
    974.70   252.43   248.49    70.62    -2.33    -1.09   305.00
    956.00   251.25   248.25    76.61    -2.12    -1.45   448.48
    946.00   251.85   249.05    78.10    -1.98    -1.63   526.16
    935.32   251.39   249.13    81.84    -1.82    -1.82   610.00
    932.00   251.25   249.15    83.05    -2.08    -2.47   636.31
    925.00   251.85   249.75    83.13    -2.32    -4.01   692.00
    921.00   252.65   250.35    81.79    -2.34    -4.17   723.97
    899.00   252.05   249.95    83.16    -2.39    -5.07   902.41
    897.59   252.13   249.94    82.51    -2.39    -5.13   914.00
    888.00   252.65   249.85    78.24    -4.23    -3.76   993.28
    861.17   251.06   248.41    78.98    -5.13     2.39  1219.00
    851.00   250.45   247.85    79.28    -6.62     2.47  1306.39
    850.00   250.45   247.75    78.57    -6.78     2.47  1315.00
    837.00   252.05   248.65    74.06    -7.38     1.61  1428.40
    808.00   249.85   247.75    82.85    -8.29    -0.78  1687.55
    799.00   250.85   248.25    79.35    -8.42    -1.63  1769.67
    792.59   251.10   248.53    79.57    -8.45    -2.26  1829.00
    774.00   251.85   249.35    80.22    -8.05    -2.59  2003.67
    760.44   251.77   249.16    79.40    -7.74    -2.82  2134.00
    739.00   251.65   248.85    78.07    -7.42    -1.26  2344.85
    729.69   251.23   248.41    77.83    -7.18    -0.63  2438.00
    700.00   249.85   246.95    77.05    -7.96    -2.13  2743.00
    677.00   248.65   245.45    74.73    -6.98    -3.55  2986.18
    671.22   248.28   245.19    75.40    -6.69    -3.86  3048.00
    620.00   244.85   242.75    82.12    -4.73    -0.94  3619.90
    616.70   244.73   242.53    81.30    -4.56    -0.80  3658.00
    598.00   244.05   241.25    76.68    -4.24     0.46  3877.79
    576.00   241.85   239.95    83.26    -3.43     1.66  4143.69
    565.97   241.13   238.87    80.27    -2.95     2.06  4267.00
    541.91   239.35   236.20    73.12     0.44     0.25  4572.00
    538.00   239.05   235.75    71.96     1.18     0.49  4622.84
    532.00   238.45   236.15    79.49     2.42     0.47  4701.02
    529.00   238.25   234.45    68.20     3.05     0.28  4740.37
    518.69   237.22   233.59    69.16     4.97    -1.33  4877.00
    517.00   237.05   233.45    69.32     5.25    -1.36  4899.58
