
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PACD          STNM =    70316    TIME = 200104/1200         
 SLAT =  55.20     SLON =  -162.72   SELV =    28.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1005.00   266.65   262.75    73.80     4.46    -2.57    28.00
   1000.00   266.85   261.85    67.67     3.84    -5.48    64.00
    969.32   264.69   261.01    74.73     6.95    -8.28   305.00
    931.84   261.96   259.95    85.06     7.64    -7.64   610.00
    925.00   261.45   259.75    87.19     7.64    -7.64   667.00
    895.35   259.37   258.32    91.80     7.64    -7.64   914.00
    860.04   256.80   256.56    98.05     8.44    -5.91  1219.00
    850.00   256.05   256.05   100.00     9.28    -6.50  1308.00
    806.00   253.45   252.95    95.79    11.51   -10.59  1704.77
    792.65   254.04   249.47    67.14    12.01   -12.01  1829.00
    788.00   254.25   248.25    59.11    12.32   -12.02  1872.74
    786.00   254.45   250.15    68.85    12.46   -12.02  1891.68
    770.00   254.25   248.25    59.11    13.55   -11.97  2044.92
    761.00   254.25   251.15    76.48    14.18   -11.91  2132.50
    760.85   254.24   251.15    76.54    14.19   -11.91  2134.00
    730.16   251.68   250.27    88.39    15.38   -12.91  2438.00
    709.00   249.85   249.65    98.24    12.96   -12.32  2655.16
    704.00   251.05   243.05    48.26    12.40   -12.14  2707.08
    700.57   251.22   241.51    41.05    12.01   -12.01  2743.00
    700.00   251.25   241.25    39.95    12.37   -12.37  2749.00
    690.00   251.65   243.65    48.46    11.80   -12.55  2855.19
    674.00   250.85   244.85    58.14    10.88   -12.79  3028.20
    644.95   251.31   240.75    37.88     9.15   -13.07  3353.00
    636.00   251.45   239.45    32.97     9.90   -12.52  3455.96
    618.62   250.07   238.76    34.80    11.29   -11.29  3658.00
    569.05   245.90   236.67    41.21    13.49    -9.45  4267.00
    564.00   245.45   236.45    41.99    13.13    -8.84  4331.98
    545.31   243.94   234.94    41.47    11.59    -6.69  4572.00
    522.46   242.02   233.02    40.80    11.15    -6.43  4877.00
    500.00   240.05   231.05    40.10     9.28    -6.50  5190.00
    447.00   234.65   218.65    16.92    12.39    -7.36  5967.43
    438.62   233.61   219.34    20.45    12.93    -7.46  6096.00
    414.00   230.45   221.45    36.59    11.69    -7.63  6488.76
    400.00   229.45   217.45    25.26    10.96    -7.67  6720.00
    382.89   227.82   217.63    30.82     9.83    -9.83  7010.00
    365.69   226.11   217.82    38.10    12.93    -7.46  7315.00
    349.26   224.40   218.01    47.27    10.12    -7.09  7620.00
    346.00   224.05   218.05    49.42     9.87    -6.91  7682.22
    343.00   223.85   214.85    34.07     9.63    -6.74  7739.29
    341.00   224.45   211.45    20.61     9.47    -6.63  7777.64
    333.41   223.70   210.70    20.35     8.86    -6.20  7925.00
    327.00   223.05   210.05    20.13    10.26    -3.42  8052.10
    324.00   222.85   209.85    20.06    10.63    -1.98  8112.23
    318.15   222.00   207.82    16.85    10.77     0.94  8230.00
    303.55   219.80   202.56    10.48    13.18     2.32  8534.00
    300.00   219.25   201.25     9.25    15.38    -1.35  8610.00
    276.36   223.04   199.87     4.84    14.46    -6.74  9144.00
    263.71   225.20   199.09     3.37    15.40    -7.18  9449.00
    260.00   225.85   198.85     3.02    15.09    -5.80  9541.13
    250.00   225.65   197.65     2.58    13.69    -2.41  9800.00
    240.44   226.13   197.10     2.25    14.93    -0.00 10058.00
    229.61   226.69   196.46     1.91    15.72    -2.77 10363.00
    223.00   227.05   196.05     1.72    15.31    -0.13 10556.39
    219.29   227.14   195.83     1.65    14.87     1.30 10668.00
    200.06   227.65   194.65     1.30    13.06    -4.75 11278.00
    200.00   227.65   194.65     1.30    10.94    -2.93 11280.00
    191.00   227.45   194.45     1.28     9.56    -3.02 11586.58
    185.00   231.05   195.05     0.96     8.60    -3.01 11800.69
    182.64   230.88   194.94     0.96     8.22    -2.99 11887.00
    174.53   230.27   194.55     0.96    11.61     4.23 12192.00
    166.79   229.67   194.16     0.96    13.85     1.21 12497.00
    159.39   229.06   193.77     0.97     2.39     5.13 12802.00
    152.34   228.46   193.38     0.97     3.64     3.64 13106.00
    150.00   228.25   193.25     0.97     8.28     6.95 13210.00
    145.00   227.85   191.85     0.81     9.16     7.69 13436.09
    139.07   230.04   193.20     0.79    10.25     8.60 13716.00
    138.00   230.45   193.45     0.79     9.97     6.95 13767.67
    132.91   230.50   193.38     0.78     6.09     1.07 14021.00
    127.04   230.56   193.29     0.76     0.45     5.13 14326.00
    121.44   230.62   193.20     0.75     0.09     0.50 14630.00
    116.07   230.68   193.11     0.73     1.73     6.46 14935.00
    110.94   230.74   193.02     0.72     0.00     8.24 15240.00
    102.00   230.85   192.85     0.69     1.87     7.53 15806.60
    101.34   230.52   192.52     0.68     2.00     7.46 15850.00
    100.00   229.85   191.85     0.65     4.89     8.47 15940.00
     96.87   229.85   191.76     0.64     4.89     8.47 16154.00
     70.00   229.85   190.85     0.55     2.18     2.18 18340.00
     50.00   229.65   190.65     0.55     0.36     4.10 20590.00
     30.00   230.65   190.65     0.49    -0.40     4.61 24030.00
     20.00   234.05   192.05     0.43    -7.58     4.38 26790.00
     10.00   231.85   190.85     0.45    -5.91    -4.96 31530.00
