
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     2365    TIME = 200104/1200         
 SLAT =  62.53     SLON =    17.45   SELV =     6.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    992.00   275.75   267.75    55.58     4.63    -0.00     6.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -62.00
    986.00   275.32   267.60    56.64     2.18    -4.67    54.32
    937.00   271.75   266.36    66.72    10.93   -15.60   460.33
    925.00   270.85   266.05    69.61    11.81   -16.87   563.00
    877.00   266.94   264.41    82.24    13.13   -22.73   981.44
    850.00   264.65   263.45    91.03     9.33   -25.63  1227.00
    846.00   264.25   263.45    93.92     8.33   -25.98  1263.54
    841.00   264.33   261.96    82.94     7.06   -26.35  1309.43
    833.00   264.45   259.55    67.67     5.21   -26.78  1383.42
    831.00   264.35   259.30    66.84     4.74   -26.87  1401.98
    805.00   263.05   256.05    56.55     5.57   -21.32  1647.45
    803.00   262.94   255.80    55.83     5.60   -20.88  1666.52
    765.00   260.85   250.85    43.11     9.82   -20.83  2038.23
    748.00   259.48   248.22    38.10    11.84   -20.51  2207.99
    700.00   255.45   240.45    25.77    11.09   -23.79  2709.00
    679.00   253.45   238.45    25.13    11.00   -23.58  2935.58
    654.00   251.17   237.31    27.35    10.88   -23.33  3204.76
    569.00   242.70   233.07    38.47     4.00   -14.91  4203.76
    544.00   239.96   231.71    43.35     4.13    -8.86  4526.16
    522.00   237.45   230.45    48.59     5.57    -8.91  4822.38
    513.00   236.64   229.64    48.31     6.20    -8.86  4942.59
    500.00   235.45   228.45    47.89     7.49    -6.29  5120.00
    499.00   235.33   228.38    48.12     8.01    -5.61  5133.64
    482.00   233.27   227.21    52.26     6.55    -6.55  5369.74
    455.00   229.85   225.25    60.32     8.38    -6.86  5762.41
    451.00   229.45   222.45    45.76     8.67    -6.88  5821.78
    444.00   228.65   224.55    63.46     9.19    -6.90  5926.68
    427.00   227.45   208.45     9.91    10.51    -6.84  6187.34
    421.00   227.25   202.25     4.27    11.00    -6.78  6281.53
    414.00   226.40   202.38     4.78    11.59    -6.69  6392.44
    400.00   224.65   202.65     6.05    10.96    -7.67  6620.00
    357.00   220.65   201.38     7.98    14.59   -12.25  7363.12
    353.00   220.25   201.25     8.21    15.85   -11.36  7436.74
    339.00   219.81   206.66    18.62    19.84    -7.22  7698.20
    334.00   219.65   208.65    24.87    20.18    -8.08  7794.20
    332.00   219.85   208.85    24.94    20.30    -8.44  7832.97
    304.00   215.45   209.45    46.17    21.46   -14.13  8396.25
    300.00   215.05   208.05    40.23    21.50   -15.06  8480.00
    290.00   214.05   206.05    34.71    20.39   -20.39  8692.27
    277.00   214.65   195.65     6.98    20.36   -21.91  8979.16
    260.00   213.52   195.46     7.82    20.18   -24.05  9374.80
    259.00   213.45   195.45     7.88    19.78   -23.99  9398.87
    250.00   215.05   194.05     5.16    16.24   -23.19  9620.00
    220.00   219.45   191.45     1.98    16.84   -21.65 10436.80
    200.00   218.05   190.05     1.86    17.21   -20.51 11050.00
    185.00   215.45   189.45     2.31 -9999.00 -9999.00 11544.63
    164.00   216.05   188.05     1.69 -9999.00 -9999.00 12305.56
