
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = SCCI          STNM =    85934    TIME = 200104/1500         
 SLAT = -53.00     SLON =   -70.85   SELV =    33.0
 STIM =  1400

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1003.00   284.35   276.35    57.82     5.15    -0.00    33.00
   1000.00   282.55   276.55    66.14     4.61     0.40    70.00
    998.00   282.15   276.15    66.05     4.76     0.41    86.65
    942.00   277.35   274.35    80.82     8.97     0.18   562.52
    925.00   276.35   272.75    77.24    10.30    -0.00   711.00
    850.00   271.85   269.35    83.09     9.23     0.81  1392.00
    846.00   271.58   269.22    83.94     9.74     0.85  1429.24
    798.00   268.22   267.61    95.50    12.09     4.40  1890.39
    782.00   267.05   267.05   100.00    13.21     4.02  2050.30
    772.00   266.35   266.31    99.64    13.92     3.73  2149.83
    700.00   261.05   260.65    96.83    13.92     3.73  2907.00
    659.00   257.48   257.27    98.34    10.44     2.80  3363.72
    639.00   255.65   255.55    99.16    12.76     1.57  3596.92
    634.00   255.25   248.25    54.30    13.33     1.17  3655.67
    629.00   254.85   246.85    49.47    13.38     1.43  3714.78
    623.00   255.25   246.25    45.27    13.43     1.75  3786.34
    569.00   250.37   238.80    34.01    13.54     4.93  4453.54
    541.00   247.65   234.65    28.60    14.66     4.78  4824.88
    500.00   242.45   233.45    40.95    16.41     4.40  5390.00
    466.00   237.85   229.85    43.79    16.12     2.32  5884.69
    451.00   236.28   224.35    27.92    15.90     1.39  6111.36
    447.00   235.85   222.85    24.56    15.75     1.81  6173.08
    426.00   233.45   224.45    37.70    14.75     3.95  6503.33
    422.00   232.85   229.35    69.00    14.52     4.34  6567.67
    414.00   231.79   227.50    63.01    14.03     5.11  6697.46
    407.00   230.85   225.85    57.99    14.48     4.57  6813.11
    400.00   229.85   226.05    65.98    14.91     4.00  6930.00
    376.00   226.05   223.95    78.92    17.55     4.70  7344.48
    360.00   224.45   218.45    49.56    19.40     5.20  7632.31
    357.00   225.05   214.05    26.89    18.79     5.43  7687.58
    334.00   223.79   210.98    20.91    13.99     6.53  8125.23
    317.00   222.80   208.58    17.03    20.53     9.57  8468.54
    308.00   222.25   207.25    15.16    19.13     8.92  8657.82
    300.00   223.05   205.05    10.20    16.33     7.62  8830.00
    250.00   225.45   196.45     2.19    18.40     4.93 10020.00
    243.00   226.45   195.45     1.68    18.80     4.26 10208.21
    220.00   226.14   193.10     1.20    20.00     1.75 10867.78
    200.00   225.85   190.85     0.86    18.89     5.06 11500.00
    190.00   225.85   190.49     0.81    15.00     5.46 11840.55
    179.00   225.85   190.08     0.75    17.95     1.57 12236.50
    158.00   225.85   189.21     0.65    20.51     1.79 13065.02
    150.00   225.85   188.85     0.61    17.23     3.04 13410.00
    134.00   226.73   188.85     0.55    15.72     2.77 14156.27
    129.00   227.02   188.85     0.54    12.31    -1.08 14407.86
    122.00   227.46   188.85     0.51    14.19     2.50 14776.98
    116.00   227.85   188.85     0.49    10.25    -2.06 15110.64
    115.00   227.66   188.78     0.49     9.45    -2.53 15167.77
    114.00   227.48   188.71     0.50     9.80    -4.57 15225.40
    100.00   224.65   187.65     0.57    19.84    -7.22 16090.00
     70.00   227.45   188.45     0.48     8.47    -4.89 18470.00
     58.20   221.45   185.45     0.56    10.94     2.93 19683.89
     50.00   221.85   185.85     0.57     0.54    -3.04 20670.00
     30.00   225.85   186.85     0.43    -2.65     3.16 24030.00
