
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAOM          STNM =    70200    TIME = 200105/0000         
 SLAT =  64.50     SLON =  -165.43   SELV =     7.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1013.00   256.85   250.85    59.83    -1.82    -1.82     7.00
   1001.00   256.45   249.45    54.65    -1.67    -1.96    97.42
   1000.00   256.45   249.45    54.65    -1.65    -1.97   105.00
    973.66   255.00   249.81    63.78    -0.73    -0.73   305.00
    971.00   254.85   249.85    64.80    -0.80    -0.65   325.48
    955.00   253.85   251.55    81.96    -1.03    -0.05   449.33
    936.00   252.85   249.45    74.22    -0.77     0.68   598.54
    934.55   252.75   249.45    74.89    -0.73     0.73   610.00
    925.00   252.05   249.45    79.54    -0.99     0.27   686.00
    923.00   251.85   249.05    78.10    -1.31     0.33   701.98
    919.00   252.05   248.35    72.09    -1.96     0.41   734.06
    910.00   251.85   248.65    75.36    -3.46     0.43   806.73
    896.88   251.96   249.56    80.92    -5.66     0.00   914.00
    887.00   252.05   250.25    85.40    -5.92     0.42   995.77
    878.00   253.05   250.55    80.41    -6.13     0.83  1071.27
    860.64   252.19   250.24    84.32    -6.46     1.73  1219.00
    850.00   251.65   250.05    86.88    -5.13     2.39  1311.00
    844.00   251.25   250.35    92.39    -4.74     2.86  1363.10
    840.00   251.45   251.45   100.00    -4.45     3.14  1398.03
    837.00   251.45   249.65    85.32    -4.23     3.34  1424.35
    832.00   251.85   249.75    83.13    -3.83     3.64  1468.45
    830.00   252.25   248.35    70.84    -3.67     3.74  1486.20
    825.76   252.76   247.93    65.25    -3.31     3.95  1524.00
    825.00   252.85   247.85    64.29    -3.29     3.96  1530.83
    815.00   253.05   249.75    74.92    -3.09     4.12  1621.07
    811.00   253.05   247.05    58.77    -3.00     4.19  1657.48
    806.00   253.45   249.65    71.74    -2.89     4.26  1703.29
    792.44   253.15   250.40    78.69    -2.58     4.46  1829.00
    788.00   253.05   250.65    81.13    -2.42     4.70  1870.61
    761.00   251.25   249.25    83.79    -1.11     6.06  2127.77
    760.35   251.21   249.20    83.71    -1.07     6.09  2134.00
    737.00   249.85   247.45    80.63    -0.87     4.94  2362.63
    729.42   249.57   247.31    81.62    -0.80     4.56  2438.00
    700.00   248.45   246.75    85.73    -2.76     2.31  2738.00
    699.52   248.43   246.72    85.61    -2.55     2.55  2743.00
    690.00   248.05   246.05    83.35    -2.44     2.17  2842.95
    681.00   248.85   246.65    81.95    -2.30     1.83  2938.79
    670.87   248.26   245.84    80.21    -2.11     1.47  3048.00
    654.00   247.25   244.45    77.28    -2.48     3.31  3233.61
    643.28   246.47   243.97    79.34    -2.18     4.67  3353.00
    619.00   244.65   242.85    84.45    -6.67     4.35  3631.05
    616.67   244.48   242.59    83.71    -7.14     4.12  3658.00
    590.97   242.57   239.66    75.58    -5.46     5.46  3962.00
    579.00   241.65   238.25    71.83    -4.02     7.44  4108.22
    566.08   240.19   236.72    71.03    -1.61     9.13  4267.00
    542.05   237.38   233.78    69.44     0.00     9.78  4572.00
    541.00   237.25   233.65    69.37     0.00     9.67  4585.70
    534.00   236.45   233.25    72.11     0.00     8.91  4676.30
    518.73   235.00   231.59    70.15     0.00     7.21  4877.00
    513.00   234.45   230.95    69.40     0.69     8.74  4953.77
    500.00   233.05   230.45    76.04     3.20    11.94  5130.00
    496.20   232.62   230.18    77.28     3.06    11.44  5182.00
    493.00   232.25   229.95    78.36     3.41    11.57  5226.09
    482.00   231.05   228.15    73.19     4.70    11.95  5379.21
    479.00   230.85   229.15    83.34     5.07    12.03  5421.45
    474.44   230.40   228.62    82.59     5.65    12.13  5486.00
    473.00   230.25   228.45    82.35     5.63    11.89  5506.58
    472.00   230.05   224.05    51.55     5.61    11.73  5520.85
    471.00   230.25   209.25     8.14     5.59    11.56  5535.14
    470.00   230.25   190.25     0.48     5.57    11.40  5549.48
    466.00   230.45   211.45    10.65     5.47    10.74  5607.15
    461.00   230.65   209.65     8.23     5.32     9.92  5679.99
    433.33   228.52   211.07    12.49     3.84     5.48  6096.00
    430.00   228.25   211.25    13.16     3.89     5.23  6147.85
    413.98   227.55   207.03     8.09     4.00     4.00  6401.00
    403.00   227.05   204.05     5.64     3.53     1.98  6580.26
    400.00   227.45   204.45     5.71     3.26     1.52  6630.00
    395.00   227.85   203.85     5.02     3.10     1.03  6713.47
    380.00   226.85   201.85     4.21     2.22    -0.07  6970.02
    377.71   226.99   201.64     4.02     2.05    -0.18  7010.00
    367.00   227.65   200.65     3.24     2.47    -1.09  7200.60
    351.00   226.85   202.85     4.86     2.24    -2.94  7495.87
    344.39   226.11   202.73     5.19     1.74    -3.73  7620.00
    301.00   220.85   201.85     8.35     1.47    -2.11  8498.58
    300.00   220.85   201.85     8.35     1.29    -2.23  8520.00
    288.00   223.05   199.05     4.28     2.36    -4.09  8786.13
    285.68   222.94   198.94     4.26     2.58    -4.46  8839.00
    280.00   222.65   198.65     4.22     3.53    -5.17  8970.53
    272.75   223.81   197.72     3.21     4.96    -5.91  9144.00
    260.46   225.84   196.10     1.99     5.35    -3.09  9449.00
    250.00   227.65   194.65     1.30     3.55    -0.63  9720.00
    248.72   227.78   194.78     1.30     3.31    -3.95  9754.00
    246.00   228.05   195.05     1.32     4.47    -3.64  9827.07
    237.58   227.29   194.29     1.27     7.69    -0.67 10058.00
    235.00   227.05   194.05     1.26     7.96    -0.20 10130.34
    226.91   228.66   193.87     1.02     8.62     1.52 10363.00
    226.00   228.85   193.85     1.00     8.58     1.45 10389.68
    216.72   227.51   193.73     1.14     8.21     0.72 10668.00
    211.00   226.65   193.65     1.23     7.61     0.67 10845.37
    206.97   227.15   193.43     1.13     7.18     0.63 10973.00
    200.00   228.05   193.05     0.96     3.55     2.98 11200.00
    191.00   228.05   193.05     0.96     3.87     3.25 11507.09
    188.88   228.56   193.10     0.92     3.95     3.31 11582.00
    182.00   230.25   193.25     0.78     0.83     5.08 11830.55
    180.48   230.21   193.21     0.78     0.00     5.15 11887.00
    172.47   230.00   193.00     0.77     3.95     3.31 12192.00
    164.82   229.79   192.79     0.76     2.36     3.37 12497.00
    153.00   229.45   192.45     0.75     8.62     7.95 12997.29
    150.54   228.96   191.96     0.73    10.25     8.60 13106.00
    150.00   228.85   191.85     0.72     9.46     9.46 13130.00
    143.82   227.81   191.55     0.77     9.46     9.46 13411.00
    134.00   226.05   191.05     0.86     6.31    13.53 13883.07
    131.25   226.48   190.94     0.81     6.31    13.53 14021.00
    124.00   227.65   190.65     0.68     8.68    10.54 14399.51
    114.41   226.28   190.53     0.77    10.25     5.92 14935.00
    109.28   225.49   190.45     0.83     5.61     8.01 15240.00
    109.00   225.45   190.45     0.84     5.73     8.18 15256.92
    100.00   227.65   190.65     0.68     9.75    13.92 15830.00
     95.26   227.76   190.62     0.67    11.81    16.87 16154.00
     70.00   228.45   190.45     0.60    13.99     6.53 18210.00
     50.00   227.85   190.85     0.69    14.93     6.96 20470.00
     30.00   229.05   190.05     0.53    19.40     5.20 23890.00
     20.00   231.05   191.05     0.50    25.64     2.24 26640.00
     10.00   236.05   194.05     0.49    31.94    -5.63 31380.00
      7.90 -9999.00 -9999.00 -9999.00    38.10    -0.00 -9999.00
