
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PABE          STNM =    70219    TIME = 200105/0000         
 SLAT =  60.78     SLON =  -161.84   SELV =    33.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   248.85   246.05    77.57    -1.99    -0.53    33.00
   1000.00   248.25   245.35    76.75    -2.31    -2.76    87.00
    978.00   246.85   245.05    84.74    -4.90    -4.50   248.59
    971.00   249.05   246.25    77.61    -5.84    -4.93   300.85
    970.45   249.09   246.29    77.59    -5.91    -4.96   305.00
    932.00   252.05   248.95    76.07    -5.35    -2.00   602.26
    931.02   252.02   249.02    76.73    -5.32    -1.94   610.00
    925.00   251.85   249.45    80.94    -4.97    -1.33   658.00
    913.00   253.45   250.15    75.00    -5.14     0.36   754.58
    893.73   254.97   250.11    65.63    -4.22     2.95   914.00
    868.00   257.05   250.05    54.83    -6.51     3.44  1132.29
    858.06   257.05   250.60    57.56    -7.47     3.48  1219.00
    850.00   257.05   251.05    59.88    -7.46     2.00  1290.00
    825.00   256.25   251.45    66.30    -8.89     2.38  1514.52
    823.96   256.27   251.41    65.98    -8.95     2.40  1524.00
    803.00   256.65   250.65    59.77    -6.94     3.17  1717.64
    796.00   256.45   244.45    34.65    -6.26     3.30  1783.45
    791.19   256.26   248.11    49.24    -5.79     3.35  1829.00
    791.00   256.25   248.25    49.91    -5.77     3.33  1830.78
    787.00   255.85   247.85    49.79    -5.36     3.02  1868.82
    783.00   256.05   243.05    31.42    -4.94     2.71  1907.03
    777.00   256.05   232.05    10.50    -4.30     2.26  1964.73
    769.00   255.65   230.65     9.37    -3.41     1.70  2042.29
    759.63   255.40   233.51    12.92    -2.33     1.09  2134.00
    754.00   255.25   235.25    15.64    -2.46     0.29  2189.69
    752.00   255.45   234.45    14.17    -2.44     0.01  2209.56
    750.00   255.85   244.85    37.82    -2.39    -0.27  2229.50
    749.00   256.05   246.05    41.55    -2.36    -0.40  2239.51
    737.00   255.25   248.25    54.30    -1.43    -1.66  2360.49
    729.37   254.78   248.34    56.97    -0.53    -1.99  2438.00
    705.00   253.25   248.65    66.75     2.45    -2.27  2691.20
    700.09   253.05   248.36    66.12     3.12    -1.80  2743.00
    700.00   253.05   248.35    66.11     3.87    -1.41  2744.00
    691.00   252.65   245.65    53.51     4.63    -1.13  2839.72
    671.68   250.74   245.05    59.84     6.18    -0.00  3048.00
    659.00   249.45   244.65    64.60     5.87    -0.94  3187.93
    644.07   247.91   244.24    71.37     5.32    -1.94  3353.00
    617.37   245.07   243.49    86.22     5.57    -0.98  3658.00
    599.00   243.05   242.95    99.06     5.01    -1.04  3875.55
    567.00   239.65   239.05    94.30     3.99    -1.07  4263.13
    566.69   239.71   239.08    94.01     3.98    -1.07  4267.00
    566.00   239.85   239.15    93.39     4.01    -1.08  4275.50
    564.00   242.25   237.55    63.28     4.08    -1.14  4300.46
    561.00   243.25   235.25    45.67     4.19    -1.21  4338.33
    558.00   243.05   236.05    50.47     4.30    -1.30  4376.46
    554.00   243.05   236.05    50.47     4.44    -1.41  4427.60
    552.00   243.05   234.05    41.16     4.52    -1.47  4453.31
    542.84   242.40   233.40    40.93     4.84    -1.76  4572.00
    538.00   242.05   233.05    40.81     5.65    -1.28  4635.54
    536.00   241.85   231.85    36.69     5.97    -1.02  4661.89
    534.00   241.65   232.65    40.67     6.28    -0.74  4688.32
    533.00   241.45   230.45    32.86     6.43    -0.58  4701.56
    524.00   240.65   231.65    40.31     7.59     1.15  4821.61
    519.88   240.27   230.79    38.18     7.96     2.13  4877.00
    507.00   239.05   228.05    32.01     7.05     2.77  5052.95
    503.00   238.65   229.65    39.60     6.76     2.93  5108.27
