
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAKN          STNM =    70326    TIME = 200105/0000         
 SLAT =  58.68     SLON =  -156.67   SELV =     8.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   245.85   242.65    74.16    -1.09    -1.09     8.00
   1007.00   245.85   244.05    84.61    -0.59    -1.42    29.11
   1003.00   248.25   244.75    72.60     0.20    -1.53    57.50
   1000.00   248.85   244.25    65.66     0.77    -1.33    79.00
    999.00   248.85   244.25    65.66     0.85    -1.52    86.27
    993.00   248.65   244.65    69.38     1.21    -2.69   130.06
    982.00   250.45   245.85    66.06     1.36    -5.00   211.29
    978.00   252.65   247.65    64.24     1.24    -5.87   241.29
    969.62   253.87   248.87    64.55     0.67    -7.69   305.00
    967.00   254.25   249.25    64.65     1.07    -7.65   325.07
    940.00   254.85   250.05    65.96     4.87    -5.99   535.73
    934.00   255.85   250.85    65.05     5.56    -5.35   583.51
    930.70   256.07   250.70    63.05     5.91    -4.96   610.00
    925.00   256.45   250.45    59.72     5.46    -5.46   656.00
    909.00   257.85   247.85    42.14     8.22    -6.28   787.09
    900.00   259.25   244.25    26.99     9.93    -6.45   862.24
    898.00   259.45   244.45    27.05    10.32    -6.46   879.09
    893.86   259.31   244.55    27.61    11.15    -6.43   914.00
    864.00   258.25   245.25    32.15     8.86    -4.28  1170.95
    858.51   257.94   244.94    32.04     8.40    -3.92  1219.00
    850.00   257.45   244.45    31.88     9.81    -5.66  1294.00
    822.00   255.45   243.45    34.32    10.59    -6.71  1545.99
    791.43   253.78   239.93    28.24    11.39    -7.97  1829.00
    789.00   253.65   239.65    27.79    11.24    -7.98  1851.94
    768.00   252.65   240.65    33.38     9.98    -7.98  2052.26
    766.00   252.65   237.65    24.87     9.86    -7.97  2071.58
    759.56   252.20   236.07    22.08     9.47    -7.94  2134.00
    749.00   251.45   233.45    18.03     9.97    -7.88  2237.50
    740.00   250.85   234.85    21.94    10.41    -7.80  2326.55
    738.00   250.65   239.65    36.07    10.51    -7.78  2346.46
    731.00   250.25   240.25    39.61    10.85    -7.70  2416.47
    728.86   250.14   240.68    41.67    10.96    -7.67  2438.00
    723.00   249.85   241.85    47.87    10.14    -7.92  2497.19
    721.00   249.85   240.85    43.49     9.86    -7.99  2517.49
    719.00   249.85   234.85    23.97     9.58    -8.05  2537.85
    717.00   249.85   233.85    21.63     9.30    -8.11  2558.26
    716.00   249.85   234.85    23.97     9.16    -8.13  2568.49
    714.00   250.05   243.05    52.71     8.88    -8.18  2589.00
    703.00   249.25   246.55    78.36     7.36    -8.29  2702.71
    702.00   249.25   246.55    78.36     7.22    -8.29  2713.12
    700.00   249.65   242.65    52.59     6.95    -8.28  2734.00
    699.14   249.82   241.10    44.66     6.95    -8.28  2743.00
    699.00   249.85   240.85    43.49     6.95    -8.28  2744.45
    691.00   250.25   232.25    17.68     7.02    -8.22  2828.70
    684.00   250.25   232.25    17.68     7.07    -8.17  2903.27
    677.00   250.05   235.05    24.04     7.13    -8.12  2978.58
    674.00   250.25   239.25    35.93     7.16    -8.10  3011.10
    641.00   248.45   242.45    57.44     7.44    -7.85  3377.51
    624.00   249.05   242.05    52.40     7.58    -7.71  3573.23
    616.76   248.65   241.43    51.17     7.64    -7.64  3658.00
    592.00   247.25   239.25    47.02     6.81    -8.08  3955.62
    588.00   247.25   236.25    34.90     6.67    -8.14  4004.69
    567.00   245.96   229.33    19.08     5.91    -8.44  4267.00
    562.00   245.65   227.65    16.35     6.05    -8.98  4330.90
    543.22   243.73   227.18    18.57     6.44   -11.15  4572.00
    520.35   241.30   226.60    21.91     7.61    -9.07  4877.00
    500.00   239.05   226.05    25.66    11.04    -9.26  5160.00
    498.41   238.87   225.98    25.92    10.65    -8.93  5182.00
    446.00   232.65   223.65    37.41    10.89   -10.59  5948.74
    436.42   231.42   221.06    31.53    10.92   -10.92  6096.00
    432.00   230.85   219.85    29.03    11.06   -11.29  6165.02
    423.00   229.65   222.65    45.83    11.33   -12.06  6306.86
    416.00   228.65   221.65    45.46    11.52   -12.69  6418.75
    408.00   227.65   218.65    35.53    11.73   -13.43  6548.38
    400.00   226.65   218.65    39.67    11.91   -14.19  6680.00
    397.00   226.25   219.25    44.57    11.93   -14.22  6729.79
    385.00   224.85   215.85    34.46    12.00   -14.30  6931.96
    364.00   221.65   215.65    48.53    12.13   -14.46  7297.65
    360.00   221.05   214.05    42.60    12.15   -14.49  7369.08
    356.00   220.45   216.65    63.24    12.18   -14.52  7441.12
    349.00   219.85   212.85    42.13    12.23   -14.57  7568.79
    346.22   219.43   213.13    45.87    12.25   -14.59  7620.00
    345.00   219.25   213.25    47.63    12.91   -14.17  7642.71
    341.00   218.65   210.65    36.56    14.98   -12.57  7717.27
    332.00   219.25   201.25     9.25    18.44   -11.41  7888.30
    330.11   219.59   201.03     8.60    19.17   -11.07  7925.00
    322.00   221.05   200.05     6.26    16.32   -11.53  8084.93
    314.82   220.46   199.46     6.15    13.80   -11.58  8230.00
    303.00   219.45   198.45     5.96    13.89    -8.70  8476.12
    300.00   220.25   198.25     5.26    13.82    -7.98  8540.00
    273.55   226.09   195.61     1.79    10.54    -7.38  9144.00
    272.00   226.45   195.45     1.68    10.93    -6.17  9181.29
    268.00   225.85   195.85     1.91    11.33    -3.03  9279.47
    261.23   225.95   194.99     1.65    10.14     1.79  9449.00
    254.00   226.05   194.05     1.41    11.79    -1.90  9634.71
    250.00   226.65   193.65     1.23    12.09    -4.40  9740.00
    249.48   226.79   193.69     1.22    13.06    -4.75  9754.00
    234.00   231.05   195.05     0.96    11.55    -1.91 10183.95
    227.91   231.49   195.49     0.98    10.77    -0.94 10363.00
    223.00   231.85   195.85     1.00     9.42    -1.64 10510.81
    217.90   231.27   195.27     0.97     7.96    -2.13 10668.00
    216.00   231.05   195.05     0.96     8.06    -2.16 10727.32
    208.33   231.52   195.05     0.91     8.45    -2.26 10973.00
    200.00   232.05   195.05     0.86     7.46     2.00 11250.00
    199.18   232.00   195.00     0.86     7.46     2.00 11278.00
    197.00   231.85   194.85     0.85     7.09     1.90 11352.88
    195.00   233.05   195.05     0.78     6.75     1.81 11422.49
    190.49   232.64   194.87     0.79     5.97     1.60 11582.00
    182.15   231.85   194.52     0.81    -1.46     5.47 11887.00
    176.00   231.25   194.25     0.83     2.02     5.71 12120.95
    166.54   232.32   194.65     0.79     6.46     1.73 12497.00
    162.00   232.85   194.85     0.77     4.25     2.20 12685.43
    159.25   232.58   194.58     0.76     2.95     2.06 12802.00
    152.31   231.89   193.89     0.73     1.16     6.59 13106.00
    150.00   231.65   193.65     0.72     0.00     6.18 13210.00
    145.59   231.39   193.49     0.72     0.00     7.21 13411.00
    132.99   230.61   193.01     0.72     0.58     6.66 14021.00
    127.11   230.22   192.77     0.73     2.13     7.96 14326.00
    121.50   229.83   192.53     0.73     0.00     7.21 14630.00
    111.00   229.05   192.05     0.73     2.79    10.44 15239.38
    110.99   229.05   192.05     0.73     2.80    10.44 15240.00
    101.35   229.75   191.88     0.66     2.53     9.45 15850.00
    100.00   229.85   191.85     0.65     2.40     8.95 15940.00
     96.84   229.63   191.72     0.65     2.40     8.95 16154.00
     70.00   227.45   190.45     0.67     5.22    11.20 18320.00
     50.00   228.85   190.85     0.61     7.46     2.00 20580.00
     30.00   232.65   192.65     0.55     4.20     1.96 24030.00
     20.00   233.45   192.45     0.49     6.78    -2.47 26790.00
     10.00   232.05   191.05     0.45     4.14    -5.91 31500.00
