
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAYA          STNM =    70361    TIME = 200105/1200         
 SLAT =  59.51     SLON =  -139.67   SELV =    12.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1002.00   258.05   256.65    89.03    -0.00    -0.00    12.00
   1000.00   260.85   258.35    81.59    -0.84     0.59    27.00
    999.00   263.45   259.15    70.84    -1.02     0.59    34.67
    995.00   268.25   257.25    41.83    -1.73     0.31    65.88
    980.00   268.85   258.85    45.62    -1.68    -3.60   185.25
    977.00   270.05   259.05    42.39    -0.76    -4.35   209.42
    969.00   269.65   258.65    42.27     2.87    -4.82   274.35
    965.24   269.56   253.87    28.51     4.73    -3.97   305.00
    961.00   269.45   248.45    17.87     4.73    -3.97   339.73
    954.00   269.45   248.45    17.87     4.73    -3.97   397.34
    934.00   268.25   246.25    16.02     4.73    -3.97   563.95
    928.54   268.61   246.01    15.24     4.73    -3.97   610.00
    925.00   268.85   245.85    14.76     5.12    -4.30   640.00
    924.00   268.85   245.85    14.76     5.14    -4.33   648.53
    893.14   266.90   245.52    16.60     5.46    -5.46   914.00
    858.96   264.65   245.15    19.07     5.62    -6.70  1219.00
    850.00   264.05   245.05    19.81     7.49    -6.29  1301.00
    838.00   263.05   244.05    19.52     8.15    -6.27  1410.60
    825.71   262.58   239.66    13.32     8.86    -6.20  1524.00
    807.00   261.85   232.85     7.10     7.37    -5.73  1699.93
    793.27   260.74   232.71     7.65     6.31    -5.30  1829.00
    761.75   258.12   232.36     9.14     5.46    -5.46  2134.00
    731.58   255.50   232.02    10.96     5.83    -5.83  2438.00
    702.52   252.88   231.68    13.23     9.36    -5.40  2743.00
    700.00   252.65   231.65    13.45     9.36    -5.40  2770.00
    646.22   247.41   227.95    14.39     6.19    -6.19  3353.00
    631.00   245.85   226.85    14.70     6.54    -5.37  3526.84
    619.49   244.56   227.52    17.85     6.75    -4.73  3658.00
    591.00   241.25   229.25    29.45     7.44    -4.70  3993.54
    583.00   240.45   228.45    29.17     7.65    -4.68  4089.59
    580.00   240.25   231.25    40.17     7.73    -4.67  4125.87
    576.00   240.05   227.05    26.01     7.83    -4.66  4174.50
    568.43   239.26   225.87    24.63     8.03    -4.63  4267.00
    557.00   238.05   224.05    22.61     8.53    -3.63  4409.11
