
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89002    TIME = 200105/1200         
 SLAT = -70.66     SLON =    -8.25   SELV =    50.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    976.00   270.85   267.85    79.88    -0.99    -0.27    50.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00  -123.00
    975.00   270.45   268.35    85.45    -1.02    -0.29    58.56
    974.00   270.45   268.45    86.10    -1.04    -0.32    67.12
    959.00   272.65   265.65    59.14    -1.29    -0.84   197.07
    925.00   271.85   261.85    46.53    -0.88    -2.42   500.00
    880.00   270.05   257.05    35.94    -0.44    -2.23   895.72
    874.00   269.85   257.85    38.99    -0.38    -2.19   949.80
    850.00   267.85   256.85    41.71    -0.18    -2.05  1169.00
    791.00   264.25   249.25    28.57    -0.67    -1.54  1729.84
    711.00   257.85   247.85    42.14    -0.86    -0.70  2545.34
    700.00   257.25   250.25    54.89    -0.84    -0.59  2663.00
    671.00   255.25   250.25    64.90    -0.54    -0.59  2980.53
    642.00   253.45   242.45    37.02    -0.27    -0.48  3309.59
    592.00   249.45   237.45    32.29    -0.01    -0.09  3906.50
    582.00   248.59   237.74    35.90    -0.00    -0.00  4030.17
    558.00   246.45   238.45    46.75    -0.01    -0.43  4335.86
    500.00   241.65   231.65    36.61    -0.13    -1.53  5120.00
    488.00   240.85   229.85    32.65    -0.18    -1.64  5291.55
    419.00   234.65   230.55    65.16    -0.53    -2.30  6352.47
    400.00   232.85   226.85    52.51    -0.67    -2.48  6670.00
    387.00   231.70   223.55    40.85    -1.33    -4.97  6894.98
    382.00   231.25   222.25    36.89    -0.37    -5.42  6983.52
    378.00   230.71   222.09    38.37     0.49    -5.64  7053.72
    354.00   227.33   221.12    49.37     2.61    -5.60  7491.14
    341.00   225.41   220.57    57.30     3.26    -7.00  7740.63
    333.00   224.19   220.22    63.10     0.67    -7.69  7898.93
    327.00   223.25   219.95    68.02     1.41    -7.59  8020.18
    317.00   221.97   216.52    52.06     2.64    -7.25  8222.63
    310.00   221.05   214.05    42.60     1.50    -8.64  8368.19
    300.00   219.25   214.25    54.08    -0.90   -10.26  8580.00
    258.00   211.85   210.35    82.20     1.15    -7.34  9525.40
    255.00   211.45   208.85    70.94     1.25    -7.10  9597.39
    251.00   213.85   199.85    14.64     1.18    -6.69  9695.16
    250.00   214.05   197.05     9.35     1.16    -6.59  9720.00
    247.00   215.25   194.25     5.19     1.32    -5.38  9795.90
    246.00   215.62   194.33     5.02     1.33    -4.97  9821.70
    237.00   219.05   195.05     3.70     1.24    -4.62 10058.75
    216.00   222.25   193.25     1.91     1.00    -3.72 10658.35
    200.00   222.85   191.85     1.42     0.80    -2.98 11160.00
    193.00   223.35   191.73     1.31    -0.53    -1.45 11395.30
    162.00   225.78   191.12     0.90    -4.64    -3.25 12551.71
    150.00   226.85   190.85     0.77    -2.05    -0.18 13060.00
    139.00   227.38   190.81     0.72    -4.67    -2.18 13567.16
    128.00   227.95   190.77     0.67    -2.95    -4.22 14116.15
    111.00   228.93   190.70     0.59    -4.97    -1.33 15065.06
    108.00   229.12   190.69     0.58    -4.22    -2.95 15247.51
    100.00   229.65   190.65     0.55    -1.32    -1.58 15760.00
     70.00   231.05   190.05     0.43    -5.64     0.49 18170.00
     50.00   234.85   192.85     0.45    -5.97    -1.60 20460.00
     30.00   236.85   193.85     0.43    -7.58    -4.37 23990.00
     20.00   238.85   195.85     0.49    -7.25    -2.64 26820.00
     10.00   245.45   199.45     0.45   -11.16     1.97 31740.00
