
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = UKKK          STNM =    33345    TIME = 200105/1200         
 SLAT =  50.40     SLON =    30.56   SELV =   167.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    994.00   275.15   273.25    87.22    -1.29    -1.53   167.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   115.00
    935.00   271.66   270.44    91.39    -0.00    -2.00   654.36
    925.00   271.05   269.95    92.16     0.26    -2.99   740.00
    907.00   269.98   268.88    92.10     1.04    -3.86   895.01
    850.00   266.45   265.35    91.87    -0.00    -6.00  1407.00
    847.00   266.24   265.13    91.73    -0.00    -6.00  1434.42
    799.00   262.85   261.45    89.45    -0.49    -8.08  1886.78
    779.00   261.88   260.38    88.67    -0.78    -8.97  2080.46
    720.00   258.85   257.05    86.19     1.63    -7.01  2682.20
    714.00   258.32   256.43    85.49     1.81    -6.76  2745.41
    700.00   257.05   254.95    83.83     0.44    -4.98  2895.00
    626.00   250.39   248.21    82.32    -1.88    -0.68  3722.32
    610.00   248.85   246.65    81.95    -2.12     0.03  3914.04
    527.00   243.45   240.55    75.83     1.29     2.44  4967.65
    500.00   240.45   236.65    68.75     2.82     1.03  5340.00
    493.00   239.68   235.86    68.43     2.90     0.78  5436.67
    400.00   228.25   224.15    63.34     6.43     7.66  6870.00
    399.00   228.05   223.95    63.28     6.51     7.81  6886.76
    345.00   225.05   219.22    50.76    10.00    17.32  7849.15
    313.00   223.05   216.05    43.37     9.30    16.11  8493.37
    300.00   221.45   214.45    42.75     9.00    15.59  8770.00
    284.00   219.45   211.45    36.88    10.32    14.74  9122.95
    281.00   219.43   211.35    36.47    11.57    13.79  9191.00
    250.00   219.25   210.25    32.27     8.97    -0.78  9940.00
    227.00   218.82   208.95    28.61     5.14    -6.13 10558.48
    211.00   218.49   207.97    26.07     3.21    -3.83 11026.89
    200.00   218.25   207.25    24.34     7.25    -3.38 11370.00
    196.00   218.25   207.18    24.11     8.46    -3.08 11499.22
    150.00   218.25   206.25    21.22    10.39    -6.00 13210.00
    109.00   217.15   204.36    18.64    13.02   -10.93 15241.65
    100.00   216.85   203.85    17.99    14.55   -12.21 15790.00
     70.00   212.65   198.65    14.26    18.84   -13.19 18040.00
     50.00   212.85   198.85    14.32    27.05    -7.25 20130.00
     30.00   212.05   197.05    12.08    39.39     6.95 23300.00
     23.60 -9999.00 -9999.00 -9999.00    46.36    12.42 -9999.00
