
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    89664    TIME = 200105/1200         
 SLAT = -77.85     SLON =   166.66   SELV =    24.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    991.00   270.45   266.45    73.95    -1.97    -1.65    24.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   -59.00
    985.00   270.65   265.65    68.51    -1.55    -1.88    71.20
    925.00   266.45   264.65    87.01     0.97    -0.35   556.00
    895.00   264.73   262.86    86.30     5.13     0.45   811.78
    850.00   262.05   260.05    85.15     3.98    -1.07  1212.00
    810.00   259.05   258.65    96.78     0.53    -1.20  1579.78
    801.00   259.85   252.85    55.64     0.14    -0.64  1664.65
    792.00   259.24   252.77    58.10    -0.00    -0.00  1750.07
    755.00   256.65   252.45    69.96     0.03    -1.00  2111.76
    752.00   256.65   246.65    41.75     0.04    -1.08  2141.66
    733.00   255.05   246.05    45.21     0.09    -1.61  2333.28
    726.00   254.45   250.55    71.33     0.11    -1.81  2404.82
    700.00   253.65   245.65    49.09     0.22    -2.56  2676.00
    698.00   253.45   245.45    49.03     0.41    -2.63  2697.23
    693.00   254.05   243.05    37.22     0.94    -2.76  2750.62
    639.00   252.26   234.09    17.95     4.34     3.64  3351.34
    633.00   252.05   233.05    16.41     4.87     2.88  3421.20
    631.00   252.05   234.05    18.20     5.02     2.61  3444.54
    620.00   251.38   233.76    18.73     5.57     0.98  3572.44
    585.00   249.17   232.82    20.64     7.72    -0.00  3995.03
    538.00   245.98   231.45    23.88     9.68     3.52  4604.13
    525.00   245.05   231.05    24.94    10.03     3.00  4782.02
    500.00   242.45   230.45    29.87    10.65     1.88  5130.00
    451.00   237.45   224.45    25.11    11.14     0.64  5854.89
    429.00   235.20   223.87    29.48    11.33    -0.00  6198.75
    400.00   232.05   223.05    37.19    11.84    -0.00  6680.00
    340.00   223.96   217.96    49.37    11.94     3.20  7753.70
    322.00   221.25   216.25    54.79    11.78     0.89  8113.07
    313.00   222.25   213.25    33.45    11.52    -0.24  8296.30
    307.00   221.43   212.43    33.13    11.29    -0.99  8421.18
    300.00   220.45   211.45    32.75    12.36    -0.00  8570.00
    295.00   219.85   210.85    32.51    13.38    -0.00  8678.80
    289.00   221.29   208.37    19.74    14.87     1.30  8812.96
    277.00   224.25   203.25     6.89    14.17     0.51  9089.85
    250.00   226.85   198.85     2.70    12.31    -1.08  9770.00
    244.00   227.85   198.85     2.42    11.43    -1.00  9930.95
    233.00   228.55   197.69     1.88     9.74    -0.85 10239.26
    229.00   228.81   197.25     1.71     9.23     0.81 10355.00
    220.00   229.41   196.25     1.37     9.95    -2.67 10622.98
    200.00   230.85   193.85     0.81    10.81    -0.00 11260.00
    195.00   231.26   193.85     0.77     9.23    -0.81 11431.15
    188.00   231.85   193.85     0.73     7.96     2.13 11678.28
    181.00   231.95   193.78     0.71     7.10    -1.25 11935.67
    175.00   232.04   193.72     0.70     8.21    -0.72 12164.34
    167.00   232.16   193.64     0.68     8.86    -4.13 12481.75
    158.00   232.31   193.54     0.66    10.77    -0.94 12857.54
    150.00   232.45   193.45     0.64    10.77    -0.94 13210.00
    142.00   232.15   193.15     0.63     7.72    -0.00 13582.87
    135.00   231.87   192.87     0.62     7.25    -2.64 13926.78
    124.00   231.41   192.41     0.60     7.96    -2.13 14504.99
    120.00   231.23   192.23     0.60     8.24    -0.00 14728.07
    115.00   230.99   191.99     0.59     6.09    -1.07 15017.60
    110.00   230.75   191.75     0.58     4.64    -3.25 15320.01
    108.00   230.65   191.65     0.58     4.59    -2.77 15444.84
    100.00   233.85   192.85     0.50     3.98    -1.07 15970.00
     93.05   233.61   192.61     0.50     5.48    -3.84 16459.00
     88.96   233.46   192.46     0.49     6.78    -2.47 16764.00
     85.05   233.31   192.31     0.49     4.97    -1.33 17069.00
     81.31   233.15   192.15     0.48     1.76    -4.84 17374.00
     77.75   233.00   192.00     0.48     5.32     1.94 17678.00
     70.00   232.65   191.65     0.47     3.54    -5.06 18390.00
     67.95   232.79   191.70     0.47     0.45    -5.13 18593.00
     64.99   233.00   191.78     0.46     5.12    -4.30 18898.00
     62.16   233.21   191.86     0.46     3.95    -3.31 19202.00
     59.45   233.43   191.94     0.45     4.84    -1.76 19507.00
     50.00   234.25   192.25     0.44     1.41    -3.87 20690.00
