
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PASY          STNM =    70414    TIME = 200106/0000         
 SLAT =  52.71     SLON =   174.10   SELV =    31.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1015.00   271.65   266.85    69.78    -4.46    -2.57    31.00
   1000.00   271.05   265.05    63.49    -5.57    -0.98   154.00
    925.00   265.05   264.25    93.96    -4.56    -0.80   766.00
    850.00   259.65   258.85    93.68    -3.95     3.31  1416.00
    700.00   253.85   231.85    12.39     5.57    -0.98  2878.00
    500.00   239.65   223.65    18.46    16.93    -1.48  5320.00
    400.00   232.45   218.45    20.74    37.96    -3.32  6870.00
    300.00   218.25   213.65    56.53    52.21    13.99  8760.00
    273.00   213.37   209.70    61.98    54.18    19.72  9357.02
    260.00   210.85   207.65    65.25    54.70    14.66  9665.88
    250.00   211.05   206.05    51.05    46.64     8.22  9910.00
    200.00   217.45   190.45     2.13    25.63     9.33 11300.00
