
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PABR          STNM =    70026    TIME = 200106/0000         
 SLAT =  71.28     SLON =  -156.79   SELV =    19.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1027.00   238.05   234.65    71.00     0.00     4.12    19.00
   1023.00   243.85   243.85   100.00    -0.48     3.71    44.69
   1020.00   246.65   244.65    83.16    -0.77     3.37    64.38
   1017.00   247.25   245.75    87.18    -1.00     3.01    84.26
   1013.00   248.65   238.65    39.06    -1.21     2.51   110.96
   1011.00   249.05   241.05    47.61    -1.28     2.26   124.40
   1008.00   249.25   247.75    87.39    -1.33     1.89   144.63
   1000.00   250.05   246.95    75.69    -1.18     0.99   199.00
    995.00   250.25   245.25    63.61    -1.63     0.56   235.80
    990.00   250.25   248.85    88.29    -1.90    -0.06   272.80
    985.68   250.94   245.57    61.62    -1.94    -0.70   305.00
    985.00   251.05   245.05    58.20    -1.98    -0.72   310.05
    951.00   251.65   246.95    65.76    -4.03    -1.47   569.18
    945.76   251.72   245.42    56.79    -4.35    -1.58   610.00
    937.00   251.85   242.85    44.16    -4.61    -1.49   678.76
    931.00   251.65   249.35    81.64    -4.79    -1.42   726.22
    928.00   251.85   241.85    40.15    -4.88    -1.38   750.07
    925.00   251.85   242.85    44.16    -4.97    -1.33   774.00
    910.00   251.65   245.65    58.37    -5.40    -1.45   894.18
    907.55   251.63   245.59    58.15    -5.47    -1.46   914.00
    870.62   251.39   244.74    54.89    -7.25    -2.64  1219.00
    850.00   251.25   244.25    53.08    -6.96    -1.87  1395.00
    835.22   251.18   240.28    36.59    -7.46    -2.00  1524.00
    809.00   251.05   233.05    17.91    -6.80    -1.34  1758.62
    801.27   250.83   232.37    17.01    -6.59    -1.16  1829.00
    768.62   249.90   229.44    13.53    -5.81    -2.11  2134.00
    760.00   249.65   228.65    12.70    -5.68    -2.07  2216.66
    737.19   248.46   229.69    15.79    -5.32    -1.94  2438.00
    706.88   246.83   231.12    21.33    -5.35    -3.09  2743.00
    700.00   246.45   231.45    22.87    -5.06    -3.54  2814.00
    664.00   245.05   222.05     9.18    -3.00    -3.13  3193.83
    652.00   244.85   234.85    37.74    -2.37    -2.83  3324.60
    635.00   243.85   235.85    45.87    -1.56    -2.29  3513.60
    632.00   244.05   230.05    24.61    -1.43    -2.18  3547.42
    628.00   244.05   236.05    45.94    -1.26    -2.02  3592.78
    622.28   243.74   236.05    47.31    -1.03    -1.78  3658.00
    610.00   243.05   236.05    50.47    -1.45    -1.63  3800.14
    607.00   242.85   234.85    45.53    -1.55    -1.58  3835.20
    604.00   242.85   234.85    45.53    -1.65    -1.52  3870.43
    574.00   240.25   229.25    32.44    -2.47    -0.57  4230.68
    571.04   240.25   218.03     8.99    -2.53    -0.45  4267.00
    569.00   240.25   210.25     3.36    -2.59    -0.45  4292.21
    562.00   239.65   230.65    39.96    -2.82    -0.45  4379.16
    554.00   238.85   208.85     3.20    -3.07    -0.45  4479.57
    523.11   236.39   210.30     4.95    -4.10    -0.36  4877.00
    500.58   234.50   211.42     6.95    -5.07    -0.89  5182.00
    500.00   234.45   211.45     7.01    -6.46    -1.73  5190.00
    457.24   230.52   208.73     7.37    -7.93    -3.70  5791.00
    436.95   228.53   207.34     7.58    -9.45    -2.53  6096.00
    417.57   226.54   205.96     7.80    -7.46    -2.00  6401.00
    400.00   224.65   204.65     8.03    -7.47    -3.48  6690.00
    399.03   224.55   204.71     8.19    -7.14    -4.12  6706.00
    394.00   224.05   205.05     9.09    -7.41    -4.20  6789.44
    346.56   220.47   205.81    15.31   -10.27    -4.79  7620.00
    330.62   219.16   206.09    18.61    -9.45    -2.53  7925.00
    311.00   217.45   206.45    24.04   -10.32    -4.02  8320.98
    300.00   216.25   199.25     9.91   -10.73    -5.00  8550.00
    288.00   214.85   203.85    23.06    -9.81    -5.66  8807.49
    273.04   215.38   200.98    14.28    -8.92    -5.15  9144.00
    260.15   215.86   198.39     9.14    -7.47    -3.48  9449.00
    250.00   216.25   196.25     6.28    -3.64    -3.64  9700.00
    247.88   216.35   195.84     5.82    -4.73    -3.97  9754.00
    230.00   217.25   192.25     2.94    -2.41    -4.81 10228.62
    225.20   217.49   192.19     2.83    -1.76    -4.84 10363.00
    214.69   218.04   192.05     2.59     0.99    -0.27 10668.00
    204.66   218.59   191.92     2.37     4.67     2.18 10973.00
    200.00   218.85   191.85     2.27     7.46    -2.00 11120.00
    195.15   219.07   191.65     2.14     7.46    -2.00 11278.00
    177.51   219.93   190.85     1.69     5.06     3.54 11887.00
    161.45   220.79   190.06     1.34    12.82    -1.12 12497.00
    153.97   221.21   189.67     1.19     9.45     2.53 12802.00
    150.00   221.45   189.45     1.12    14.91     4.00 12970.00
    133.70   222.22   189.26     0.99    17.75     3.13 13716.00
    127.56   222.53   189.18     0.94    14.71     8.49 14021.00
    118.00   223.05   189.05     0.87    17.41     5.98 14526.12
    110.79   222.52   188.52     0.84    19.26     3.40 14935.00
    105.71   222.12   188.12     0.83    23.38     6.26 15240.00
    100.00   221.65   187.65     0.80    23.87     6.40 15600.00
     96.23   221.71   187.71     0.81    23.87     6.40 15850.00
     70.00   222.25   188.25     0.83    32.82     8.79 17920.00
     50.00   221.65   187.65     0.80    40.05     7.06 20110.00
     30.80 -9999.00 -9999.00 -9999.00    47.65     8.40 -9999.00
