
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAYA          STNM =    70361    TIME = 200106/0000         
 SLAT =  59.51     SLON =  -139.67   SELV =    12.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1007.00   267.65   266.85    94.08    -0.00    -0.00    12.00
   1000.00   267.65   266.65    92.66    -4.12     0.00    68.00
    995.00   267.25   266.45    94.07    -4.02     0.89   107.36
    982.00   268.25   267.45    94.11    -2.90     2.92   210.74
    975.00   268.05   267.45    95.55    -1.87     3.67   267.07
    970.32   268.67   268.07    95.57    -1.07     3.98   305.00
    966.00   269.25   268.65    95.59     0.00     3.76   340.23
    957.00   269.05   268.25    94.15     1.57     2.57   414.21
    933.50   267.73   267.01    94.62     0.93    -0.44   610.00
    925.00   267.25   266.55    94.79     1.03    -1.78   682.00
    897.75   265.69   264.99    94.72     2.18    -4.67   914.00
    863.14   263.65   262.95    94.63     5.13    -2.39  1219.00
    850.00   262.85   262.15    94.60     5.07     0.89  1338.00
    829.54   261.59   260.81    93.99     6.06     2.83  1524.00
    797.06   259.51   258.62    92.96     6.66     0.58  1829.00
    769.00   257.65   256.65    92.02     8.54     2.85  2102.63
    765.79   257.39   256.46    92.50     8.71     3.17  2134.00
    735.39   254.92   254.60    97.34     8.86     4.13  2438.00
    725.00   254.05   253.95    99.15     9.97     4.29  2544.78
    706.00   252.25   251.05    90.05    12.08     4.40  2741.94
    705.90   252.24   251.05    90.11    12.09     4.40  2743.00
    700.00   251.65   250.85    93.23    10.70     6.18  2805.00
    697.00   251.45   250.75    94.04    10.69     6.33  2836.69
    692.00   251.45   249.75    86.09    10.66     6.60  2889.78
    677.25   250.16   247.76    80.66    10.54     7.38  3048.00
    667.00   249.25   246.35    76.94    10.92     7.65  3159.93
    640.00   246.65   245.65    91.23    11.96     8.37  3460.38
    631.00   245.65   243.95    85.38    12.31     8.62  3562.60
    622.65   244.83   243.48    88.19    12.65     8.86  3658.00
    601.00   242.65   242.25    96.27    13.85    10.46  3911.32
    594.00   242.05   241.35    93.52    14.22    11.01  3994.57
    590.00   241.45   239.65    84.02    14.44    11.34  4042.46
    588.00   241.25   240.05    89.05    14.54    11.50  4066.49
    586.00   241.05   238.25    76.09    14.65    11.67  4090.58
    583.00   240.85   238.55    79.91    14.80    11.92  4126.84
    580.00   240.45   236.45    67.38    14.95    12.17  4163.24
    577.00   240.05   236.45    70.05    15.11    12.43  4199.77
    571.50   239.50   235.68    68.38    15.38    12.91  4267.00
    567.00   239.05   235.05    67.02    15.66    12.72  4322.55
    565.00   238.85   233.85    60.43    15.78    12.64  4347.30
    562.00   238.65   234.35    64.89    15.96    12.50  4384.57
    558.00   238.05   231.05    48.79    16.20    12.33  4434.48
    556.00   238.05   232.05    54.22    16.33    12.23  4459.54
    551.00   237.65   229.65    43.72    16.63    12.00  4522.52
    549.00   238.05   227.05    31.65    16.75    11.90  4547.88
    547.11   238.68   229.57    39.14    16.87    11.81  4572.00
    546.00   239.05   231.05    44.21    16.87    11.51  4586.20
    543.00   238.85   231.85    49.07    16.86    10.70  4624.79
    541.00   239.05   234.05    60.49    16.83    10.17  4650.64
    538.00   239.05   233.05    54.55    16.76     9.38  4689.62
    534.00   238.85   234.55    64.95    16.61     8.34  4741.89
    523.77   238.09   232.07    54.14    15.97     5.81  4877.00
    518.00   237.65   230.65    48.66    16.43     5.98  4954.37
    501.00   236.25   230.25    53.64    17.82     6.49  5186.17
    500.00   236.05   230.05    53.57    17.90     6.52  5200.00
    472.00   233.85   222.85    30.13    17.49     5.62  5596.57
    468.00   233.45   224.45    37.70    17.42     5.49  5654.81
    456.00   232.05   224.05    41.69    17.22     5.10  5831.88
    445.00   230.85   222.85    41.25    17.03     4.74  5997.41
    443.00   230.65   219.65    28.96    16.99     4.67  6027.85
    439.00   230.05   222.05    40.95    16.91     4.54  6089.04
    438.55   229.99   222.07    41.29    16.90     4.53  6096.00
    433.00   229.25   222.25    45.68    16.84     4.51  6181.60
    428.00   228.65   222.65    51.06    16.77     4.49  6259.49
    416.00   227.65   219.65    40.05    16.62     4.45  6449.51
    412.00   227.25   221.25    50.57    16.57     4.44  6513.87
    400.00   225.85   217.85    39.37    16.41     4.40  6710.00
    399.00   225.65   217.65    39.29    16.39     4.36  6726.48
    392.00   224.85   217.85    44.05    16.25     4.13  6842.74
    384.00   224.05   216.05    38.68    16.08     3.87  6977.70
    377.00   223.05   216.05    43.37    15.92     3.64  7097.64
    374.00   222.85   214.85    38.21    15.85     3.54  7149.58
    369.00   222.45   216.45    48.83    15.74     3.38  7236.97
    366.00   222.65   214.65    38.13    15.67     3.28  7289.95
    353.00   221.65   214.65    42.83    15.34     2.85  7524.24
    347.80   221.13   214.13    42.63    15.21     2.68  7620.00
    347.00   221.05   214.05    42.60    15.29     2.70  7634.90
    343.00   221.05   206.05    14.79    15.73     2.77  7709.64
    339.00   220.65   208.65    22.09    16.17     2.85  7785.18
    335.00   220.25   207.25    19.16    16.61     2.93  7861.49
    332.00   220.05   201.05     8.17    16.95     2.99  7919.24
    325.00   219.25   204.25    14.23    17.75     3.13  8055.73
    314.00   219.45   201.45     9.30    16.17     1.61  8275.98
