
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    91948    TIME = 200106/0000         
 SLAT = -23.13     SLON =  -134.96   SELV =    89.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1005.00   297.95   294.85    82.91    -3.09     0.00    89.00
   1000.00   297.55   294.65    83.88    -3.09     0.00   127.00
    925.00   290.95   290.35    96.28    -4.10     0.36   805.00
    904.00   288.95   288.95   100.00    -4.22     0.57  1001.29
    882.00   288.35   288.35   100.00    -4.33     0.81  1210.87
    854.00   284.35   281.55    82.88    -4.46     1.15  1482.75
    850.00   284.55   280.85    77.99    -4.47     1.20  1522.00
    830.00   286.35   276.35    50.69    -4.67     1.41  1721.73
    802.00   286.15   260.15    15.08    -4.95     1.75  2009.87
    792.00   286.55   257.55    11.87    -5.04     1.88  2115.12
    738.00   283.55   255.55    12.24    -5.51     2.68  2704.72
    712.00   281.55   269.55    42.55    -5.71     3.12  3001.78
    700.00   280.95   265.95    33.73    -5.79     3.35  3142.00
    669.00   279.75   253.75    13.59    -5.89     3.98  3513.59
    660.00   278.75   272.75    65.29    -5.91     4.18  3624.35
    626.00   276.67   269.26    58.33    -5.91     4.96  4052.98
    590.00   274.35   265.35    51.10    -1.63     7.13  4532.98
    577.00   273.35   263.35    46.98     0.14     7.16  4711.65
    538.00   269.14   262.60    60.41     4.73     4.73  5263.68
    506.00   265.45   261.95    75.96     3.99     5.37  5747.37
    500.00   265.05   259.05    62.00     3.84     5.48  5840.00
    479.00   263.65   245.65    21.60     3.43     5.42  6172.79
    462.00   261.71   245.09    23.94     3.09     5.35  6449.95
    443.00   259.45   244.45    27.05     6.89     5.40  6772.04
    432.00   257.95   246.24    36.09     9.33     4.35  6961.25
    402.00   253.65   251.35    81.93    11.68     7.98  7502.86
    400.00   254.05   248.05    59.05    11.80     8.27  7540.00
    397.00   254.65   240.65    28.12    11.96     8.70  7596.24
    372.00   251.22   235.83    23.47    12.74    12.74  8075.49
    345.00   247.25   230.25    18.72    16.82    11.55  8630.69
    314.00   242.25   238.75    71.27    21.77     8.51  9307.29
    311.00   241.70   237.97    69.53    22.25     8.10  9375.22
    300.00   239.65   235.05    63.20    22.87    10.66  9630.00
    272.00   234.05   227.05    47.40    23.39    16.84 10308.92
    255.00   230.05   226.15    65.30    22.88    21.21 10747.03
    250.00   229.05   225.05    64.29    22.57    22.57 10880.00
    226.00   223.88   219.30    58.60    20.67    29.52 11550.57
    225.00   223.65   219.05    58.35    20.60    29.41 11580.03
    222.00   222.85   217.85    55.34    20.37    29.09 11667.99
    200.00   222.45   204.45    10.05    18.60    26.57 12350.00
    198.00   222.45   200.45     5.64    18.45    26.34 12415.47
    196.00   222.25   198.25     4.16    18.29    26.12 12481.58
    150.00   208.85   184.85     2.44    14.17    20.24 14170.00
    126.00   200.25   174.25     1.07    11.32    16.17 15209.69
    123.00   199.99   174.11     1.08    10.93    15.60 15349.60
    113.00   199.06   173.60     1.12     1.03    11.79 15841.90
    105.00   198.26   173.16     1.15     9.28     6.50 16268.20
    103.00   198.05   173.05     1.16     9.63     8.35 16379.85
    100.00   196.85   171.85     1.08     9.60    11.44 16550.00
     89.10   193.25   169.25     1.09    -1.03    11.79 17206.22
     70.00   200.25   174.25     1.07    -5.47     1.46 18590.00
     50.00   210.45   181.45     1.06   -10.16    -3.70 20630.00
     30.00   213.85   183.85     1.06    -8.72    -0.76 23810.00
     20.00   218.65   187.65     1.15   -21.03     1.84 26370.00
