
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     2527    TIME = 200106/0000         
 SLAT =  57.66     SLON =    12.50   SELV =   164.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1000.00   277.95   277.95   100.00     1.97     1.65   164.00
    980.00   277.17   277.17   100.00    10.12     7.09   327.77
    925.00   274.95   274.95   100.00    17.50    -0.00   796.00
    915.00   274.49   274.49   100.00    18.02    -0.00   883.22
    867.00   272.19   272.19   100.00    12.82    -1.12  1315.61
    860.00   271.85   271.85   100.00    10.56    -2.74  1380.66
    858.00   272.25   271.95    97.83     9.88    -3.07  1399.24
    856.00   275.55   273.25    84.77     9.19    -3.34  1418.00
    854.00   276.15   273.45    82.42     9.25    -3.67  1436.94
    850.00   276.15   273.75    84.23     9.33    -4.35  1475.00
    839.00   275.95   268.95    59.99     9.32    -6.14  1580.51
    825.00   275.15   272.75    84.11     8.80    -8.56  1716.56
    824.00   275.12   272.70    83.96     8.74    -8.74  1726.33
    773.00   273.75   270.05    76.24    11.51    -7.33  2240.92
    707.00   269.70   266.63    79.28    14.91    -4.00  2951.75
    700.00   269.25   266.25    79.64    15.00    -5.46  3031.00
    641.00   264.76   262.08    81.03    12.93    -7.46  3715.27
    580.00   259.65   257.35    82.78    14.03    -8.10  4492.40
    571.00   259.05   254.05    65.84    14.21    -8.20  4611.53
    563.00   258.45   256.75    86.87    14.36    -8.29  4718.75
    514.00   254.45   249.55    65.28    15.37    -8.87  5404.51
    503.00   252.88   248.77    69.62    15.61    -9.01  5565.49
    500.00   252.45   248.55    70.89    14.76   -10.34  5610.00
    461.00   247.85   245.95    84.10    18.02   -13.49  6204.25
    437.00   245.65   238.65    51.32    20.07   -15.69  6590.09
    406.00   242.05   238.15    68.46    22.74   -18.86  7114.79
    400.00   241.25   236.85    64.93    23.26   -19.52  7220.00
    395.00   240.57   236.08    64.12    23.30   -23.30  7307.90
    370.00   237.05   232.05    59.90    24.08   -24.08  7764.79
    333.00   230.85   223.85    46.26    25.33   -25.33  8484.97
    320.00   228.65   223.85    58.60    25.81   -25.81  8752.27
    300.00   225.05   219.05    49.78    26.57   -26.57  9180.00
    257.00   216.25   211.25    53.00    29.66   -29.66 10184.65
    250.00   215.25   209.25    46.09    30.21   -30.21 10360.00
    217.00   207.89   202.72    48.58    29.45   -35.10 11229.14
    200.00   203.65   198.95    50.33    31.67   -31.67 11730.00
    194.00   202.05   197.65    52.01    30.58   -30.58 11910.66
    186.00   203.85   199.65    54.32    32.85   -28.12 12160.55
    185.00   204.17   198.75    45.37    33.12   -27.79 12192.97
    175.00   207.45   189.45     6.55    27.85   -23.37 12527.11
    174.00   208.05   190.05     6.68    27.31   -22.91 12561.92
    164.00   209.01   189.81     5.64    21.69   -18.20 12924.06
    150.00   210.45   189.45     4.38    23.19   -16.24 13470.00
    143.00   211.65   188.65     3.27    25.47   -17.84 13764.05
    141.00   211.64   188.56     3.23    26.15   -18.31 13850.92
    133.00   211.61   188.20     3.05    21.08   -14.76 14211.17
    116.00   211.53   187.36     2.66    28.34    -7.59 15054.62
    108.00   211.49   186.92     2.48    30.47   -11.09 15495.34
    100.00   211.45   186.45     2.30    20.11   -16.87 15970.00
     80.00   206.65   184.65     3.17    24.72   -11.53 17343.55
     70.00   208.65   183.65     2.02    22.87   -10.66 18160.00
     50.00   204.45   181.45     2.40    26.13   -12.18 20180.00
     48.50 -9999.00 -9999.00 -9999.00    29.03   -10.57 -9999.00
