
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LGIR          STNM =    16754    TIME = 200106/0000         
 SLAT =  35.33     SLON =    25.18   SELV =    39.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1000.00   283.35   282.55    94.78     1.78     1.03    39.00
    989.00   283.15   279.75    79.39     3.77     0.84   130.46
    975.00   282.25   279.15    80.92     6.09    -1.07   247.35
    946.00   280.36   277.89    84.30     5.60    -2.61   494.93
    925.00   278.95   276.95    86.97     5.81    -2.11   679.00
    910.00   278.02   276.23    88.20     5.47    -1.46   812.22
    893.00   276.95   275.41    89.66     5.13     0.45   965.88
    860.00   274.81   273.76    92.71     4.84    -1.76  1272.70
    850.00   274.15   273.25    93.71     4.20    -1.96  1368.00
    792.00   270.76   270.16    95.58     5.97     1.60  1926.76
    716.00   265.93   265.74    98.52     8.62     1.52  2724.33
    700.00   264.85   264.75    99.22     8.72    -0.76  2903.00
    683.00   263.85   263.45    96.91     9.17    -0.15  3093.21
    682.00   264.25   263.55    94.66     9.19    -0.12  3104.54
    679.00   263.93   262.63    90.25     9.27    -0.00  3138.44
    656.00   261.45   255.45    61.07    13.67     0.54  3403.42
    629.00   259.07   252.32    56.66    18.98     1.66  3722.76
    620.00   258.25   251.25    55.18    19.50     2.61  3832.26
    579.00   254.70   250.42    69.00    21.28     7.75  4342.44
    548.00   251.85   249.75    83.13    17.02    11.71  4752.76
    547.00   251.74   249.66    83.33    16.87    11.81  4766.06
    501.00   246.25   245.55    93.76    14.81    10.37  5405.62
    500.00   246.05   245.35    93.75    14.76    10.34  5420.00
    488.00   244.58   242.73    84.05    13.41    11.25  5593.29
    447.00   239.25   233.25    54.61    15.59    14.43  6219.30
    417.00   235.08   231.71    70.50    17.11    17.11  6703.16
    414.00   234.65   231.55    72.45    17.30    16.79  6753.45
    411.00   234.45   224.45    34.01    17.49    16.46  6803.58
    410.00   234.25   226.25    42.50    17.55    16.35  6820.36
    405.00   233.85   220.85    23.87    17.85    15.79  6904.77
    400.00   233.05   224.05    37.56    18.14    15.22  6990.00
    394.00   232.05   223.05    37.19    19.35    14.65  7092.80
    392.00   231.85   219.85    26.12    19.76    14.44  7127.32
    388.00   232.25   201.25     2.16    20.57    13.99  7196.93
    371.00   231.05   203.05     3.18    23.99    11.55  7500.46
    367.00   232.45   201.45     2.17    24.77    10.85  7573.94
    360.00   231.93   201.18     2.21    26.12     9.51  7703.67
    318.00   228.59   199.43     2.44    28.00    13.05  8539.40
    314.00   228.25   199.25     2.46    27.39    12.77  8624.67
    301.00   229.45   198.45     1.92    25.36    11.82  8907.67
    300.00   229.45   198.45     1.92    25.20    11.75  8930.00
    260.00   225.45   195.45     1.88    26.60     9.68  9881.15
    250.00   226.25   195.25     1.66    27.38     4.83 10140.00
    240.00   227.70   195.38     1.45    22.73    13.12 10411.18
    235.00   228.45   195.45     1.35    22.83    12.80 10551.04
    208.00   226.03   193.79     1.35    23.33    10.88 11360.03
    200.00   225.25   193.25     1.35    19.40     5.20 11620.00
    187.00   222.39   192.04     1.54    15.96    -0.00 12058.55
    182.00   221.24   191.55     1.63    15.21     2.68 12235.40
    177.00   220.05   191.05     1.72    18.25     3.22 12417.17
    160.00   222.05   190.05     1.15    27.64     4.87 13071.33
    157.00   221.64   189.93     1.19    29.41     5.19 13194.12
    152.00   220.94   189.73     1.25    30.77     2.69 13404.08
    150.00   220.65   189.65     1.27    29.86    -0.00 13490.00
    139.00   219.14   189.12     1.39    25.66   -11.96 13976.53
    126.00   217.19   188.45     1.57    19.56    -0.00 14603.80
    119.00   216.05   188.05     1.69    23.87    -6.40 14968.94
    115.00   216.17   187.97     1.64    18.38    -6.69 15185.36
    111.00   216.29   187.89     1.60    16.41    -1.44 15409.44
    109.00   216.35   187.85     1.57    18.89     5.06 15524.53
    100.00   216.65   187.65     1.47    23.08    -2.02 16070.00
     70.00   213.65   185.65     1.50    13.53    -6.31 18310.00
     50.00   216.45   186.45     1.22    10.26     0.90 20430.00
     30.00   219.85   187.85     1.03     9.23     0.81 23680.00
     20.00   221.25   187.25     0.79     3.12     1.80 26300.00
