
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = UKKK          STNM =    33345    TIME = 200106/0000         
 SLAT =  50.40     SLON =    30.56   SELV =   167.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1005.00   273.55   272.15    90.32    -1.37    -3.76   167.00
   1000.00   273.35   272.05    90.97    -1.29    -4.83   207.00
    975.00   271.75   270.65    92.16    -0.78    -8.97   408.43
    949.00   270.05   269.15    93.50    -1.98    -8.78   623.47
    925.00   270.05   268.95    92.10    -3.08    -8.46   826.00
    924.00   270.25   269.15    92.11    -3.11    -8.45   834.57
    898.00   268.16   265.28    80.22    -3.80    -8.16  1059.38
    882.00   266.85   262.85    73.26    -3.33    -8.36  1200.97
    868.00   265.85   261.85    73.07    -2.90    -8.52  1325.92
    850.00   265.05   262.55    82.18    -2.33    -8.69  1489.00
    815.00   263.03   261.11    85.76    -1.74    -9.85  1808.93
    771.00   260.37   259.20    90.90     0.87    -4.92  2231.20
    750.00   259.05   258.25    93.65     0.73    -5.81  2441.31
    704.00   256.25   252.15    70.48     0.08    -7.82  2914.66
    700.00   255.85   251.45    68.57    -0.00    -8.00  2957.00
    693.00   255.20   250.52    66.76    -0.00    -8.00  3032.39
    685.00   254.45   249.45    64.70    -0.00    -8.20  3119.49
    653.00   252.02   247.06    64.34    -0.00    -9.00  3466.06
    527.00   241.12   236.37    62.66    -2.46    -1.72  5019.02
    500.00   238.45   233.75    62.22    -0.35    -3.98  5400.00
    458.00   234.19   228.60    55.36     0.69    -3.94  6004.53
    440.00   232.25   226.25    52.30     0.19    -9.92  6280.78
    411.00   233.05   226.05    47.05    -4.83   -19.40  6745.15
    400.00   232.45   224.45    41.84    -8.21   -22.55  6930.00
    377.00   231.26   223.26    41.40   -10.60   -29.13  7329.75
    373.00   231.05   223.05    41.32   -10.79   -29.23  7401.76
    306.00   223.17   212.36    26.83   -14.37   -30.81  8709.99
    302.00   222.65   211.65    25.99   -15.82   -29.35  8796.93
    300.00   222.45   211.45    25.92   -16.50   -28.58  8840.00
    261.00   217.45   206.45    24.04    -9.72   -20.85  9743.64
    250.00   217.65   206.65    24.12    -6.50   -17.85 10020.00
    246.00   217.69   206.62    23.89    -6.16   -16.91 10122.64
    200.00   218.25   206.25    21.22    -9.00   -15.59 11440.00
    157.00   217.24   205.24    20.86    -0.00   -18.00 12988.28
    150.00   217.05   205.05    20.79    -0.00   -17.00 13280.00
    148.00   217.04   205.01    20.68    -1.39   -15.94 13365.08
    114.00   216.91   204.20    18.76     2.95   -16.74 15019.57
    102.00   216.85   203.85    17.99     2.93   -11.54 15724.59
    100.00   216.65   203.65    17.92     2.85   -10.63 15850.00
     70.00   213.85   200.85    16.97    11.31   -11.31 18090.00
     50.00   211.45   198.45    16.16    16.45    -9.50 20190.00
     30.00   209.85   196.85    15.62    33.83   -12.31 23320.00
     20.60   213.37   199.45    14.65    40.84     3.57 25656.29
     20.00   213.65   199.65    14.58 -9999.00 -9999.00 25840.00
