
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAFA          STNM =    70261    TIME = 200106/1200         
 SLAT =  64.81     SLON =  -147.88   SELV =   134.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1001.00   242.25   239.15    74.12     0.22    -0.46   134.00
   1000.00   242.45   239.65    76.37    -0.13    -1.53   147.00
    992.00   242.45   239.45    74.89    -0.89    -1.91   204.20
    982.00   243.85   241.15    77.38    -2.16    -1.80   276.56
    979.00   245.65   242.95    77.71    -2.56    -1.61   298.55
    978.13   245.80   242.99    76.95    -2.68    -1.54   305.00
    971.00   247.05   243.35    70.99    -3.24    -2.00   357.93
    965.00   246.85   243.35    72.29    -3.69    -2.42   402.89
    963.00   247.65   243.85    70.46    -3.84    -2.56   417.96
    948.00   247.05   244.15    76.52    -4.89    -3.75   532.02
    942.00   248.45   245.05    73.32    -5.27    -4.26   578.23
    937.90   248.22   245.11    75.28    -5.52    -4.63   610.00
    935.00   248.05   245.15    76.71    -5.76    -3.94   632.62
    925.00   248.25   245.25    76.04    -5.97    -1.60   711.00
    923.00   248.25   245.35    76.75    -6.19    -1.35   726.70
    916.00   249.25   245.95    74.16    -6.89    -0.33   782.03
    907.00   248.85   245.85    76.16    -7.52     1.28   853.88
    899.53   249.02   245.68    73.90    -7.74     2.82   914.00
    898.00   249.05   245.65    73.44    -7.75     2.60   926.42
    894.00   250.65   247.05    72.44    -7.74     2.05   959.01
    872.00   249.85   247.25    79.18    -7.05    -0.75  1141.20
    866.00   250.65   247.75    77.19    -6.68    -1.40  1191.69
    862.77   250.45   247.67    78.00    -6.46    -1.73  1219.00
    850.00   249.65   247.35    81.33    -8.21     0.72  1328.00
    848.00   249.65   247.45    82.07    -8.24     0.85  1345.23
    841.00   250.45   248.05    80.72    -8.34     1.32  1405.93
    829.00   249.85   248.25    86.67    -8.44     2.16  1511.24
    827.56   249.87   248.31    87.00    -8.45     2.26  1524.00
    812.00   250.05   248.95    90.67    -1.48     6.23  1662.94
    801.00   251.45   248.95    80.16     2.42     4.04  1763.12
    793.86   250.93   249.60    88.88     3.12     1.80  1829.00
    790.00   250.65   249.95    94.00     2.59     1.95  1864.81
    777.00   249.65   249.55    99.11     0.98     1.76  1986.40
    761.41   248.58   248.48    99.11     0.00     0.51  2134.00
    748.00   247.65   247.55    99.10    -0.28     2.47  2263.44
    746.00   248.25   247.85    96.46    -0.35     2.76  2282.89
    744.00   248.05   247.55    95.58    -0.44     3.05  2302.40
    741.00   248.05   245.45    78.87    -0.60     3.48  2331.76
    739.00   248.05   245.25    77.43    -0.71     3.76  2351.40
    731.00   247.65   245.75    84.07    -1.27     4.87  2430.41
    730.24   247.68   245.31    80.49    -1.33     4.97  2438.00
    726.00   247.85   242.85    62.97    -1.83     5.27  2480.21
    720.00   247.65   239.65    47.15    -2.62     5.60  2540.43
    700.10   245.86   238.85    51.36    -5.83     5.83  2743.00
    700.00   245.85   238.85    51.38    -6.70     5.62  2744.00
    666.00   242.65   236.65    55.68    -7.51     5.89  3099.32
    652.00   241.25   236.75    64.29    -7.86     5.98  3249.50
    650.00   241.25   235.25    55.24    -7.92     5.99  3271.15
    648.00   240.85   236.25    63.53    -7.97     6.01  3292.85
    643.00   240.45   234.45    54.99    -8.10     6.04  3347.31
    630.00   239.25   232.25    49.20    -8.44     6.12  3490.43
    627.00   239.05   234.35    62.39    -8.52     6.14  3523.78
    621.00   238.45   231.45    48.93    -8.69     6.17  3590.85
    615.03   238.02   231.56    51.65    -8.86     6.20  3658.00
    610.00   237.65   231.65    54.09    -8.86     6.20  3715.15
    603.00   237.05   230.05    48.45    -8.86     6.20  3795.18
    597.00   236.65   222.65    22.14    -8.86     6.20  3864.37
    588.60   236.07   223.15    24.87    -8.86     6.20  3962.00
    574.00   235.05   224.05    30.57    -8.92     5.01  4135.06
    563.06   234.78   221.53    23.49    -8.86     4.13  4267.00
    550.00   234.45   218.45    16.86   -11.70     2.45  4427.96
    547.00   235.25   217.25    13.43   -12.31     1.89  4465.48
    538.55   234.87   216.18    12.23   -13.90     0.00  4572.00
    515.06   233.78   213.10     9.29   -13.18     2.32  4877.00
    500.00   233.05   211.05     7.69   -12.92     3.46  5080.00
    494.00   232.65   210.65     7.61   -12.50     3.83  5162.41
    482.00   232.85   209.85     6.70   -11.60     4.48  5330.20
    471.01   232.26   209.26     6.59   -10.73     5.00  5486.00
    450.22   231.09   208.09     6.37    -9.45     2.53  5791.00
    430.35   229.93   206.93     6.16    -7.74     2.82  6096.00
    411.35   228.77   205.77     5.95    -8.47     4.89  6401.00
    400.00   228.05   205.05     5.82    -7.47     3.48  6590.00
    393.08   227.57   204.57     5.74    -6.78     2.47  6706.00
    375.52   226.33   203.33     5.52    -8.75     0.00  7010.00
    369.00   225.85   202.85     5.44    -8.90     0.89  7126.56
    365.00   226.25   203.25     5.50    -8.95     1.46  7198.77
    358.65   226.04   203.04     5.47    -8.95     2.40  7315.00
    353.00   225.85   202.85     5.44    -7.93     2.12  7420.24
    342.45   224.62   204.45     7.84    -5.97     1.60  7620.00
    331.00   223.25   206.25    11.77    -4.00     4.00  7843.74
    326.93   223.52   205.49    10.27    -4.37     4.37  7925.00
    308.00   224.85   201.85     5.27    -0.24     4.03  8316.65
    300.00   224.65   201.65     5.23     0.80     2.98  8490.00
    284.47   223.74   198.01     3.38    -0.59     0.84  8839.00
    283.00   223.65   197.65     3.23    -0.56     1.20  8873.14
    271.60   224.45   197.12     2.72     2.95     2.06  9144.00
