
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PAKN          STNM =    70326    TIME = 200106/1200         
 SLAT =  58.68     SLON =  -156.67   SELV =     8.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1016.00   241.25   237.95    72.46    -0.18     1.01     8.00
   1014.00   242.25   240.45    84.13    -0.47     0.99    22.61
   1011.00   243.05   240.55    78.74    -0.89     0.78    44.67
   1009.00   244.85   242.05    76.83    -1.13     0.54    59.48
   1000.00   246.45   242.55    69.52    -1.09    -1.09   127.00
    995.00   246.85   242.65    67.66    -0.89    -1.86   163.10
    986.00   248.05   243.25    64.23     0.49    -2.98   228.75
    981.00   247.65   243.35    67.22     1.72    -3.10   265.54
    975.67   248.36   243.88    66.29     3.16    -2.65   305.00
    975.00   248.45   243.95    66.17     3.23    -2.68   309.98
    970.00   250.45   245.85    66.06     3.76    -2.93   347.43
    935.97   252.91   249.34    73.17     7.93    -3.70   610.00
    934.00   253.05   249.55    73.60     7.79    -3.78   625.47
    925.00   252.85   249.45    74.22     7.14    -4.12   697.00
    923.00   252.85   249.45    74.22     7.11    -3.92   713.01
    910.00   254.85   250.35    67.74     6.85    -2.71   818.37
    898.43   255.58   251.26    69.00     6.46    -1.73   914.00
    891.00   256.05   251.85    69.82     6.83    -1.57   976.09
    880.00   256.25   252.05    69.87     7.37    -1.29  1069.21
    862.58   255.73   252.05    73.00     8.21    -0.72  1219.00
    860.00   255.65   252.05    73.48     8.18    -1.01  1241.40
    850.00   256.25   251.95    69.26     7.96    -2.13  1329.00
    828.22   256.95   250.30    56.54    11.16    -1.97  1524.00
    825.00   257.05   250.05    54.83    11.08    -1.86  1553.28
    814.00   256.45   250.45    59.72    10.79    -1.49  1654.16
    796.00   255.85   247.85    49.79    10.28    -0.92  1821.82
    795.24   255.81   247.95    50.42    10.26    -0.90  1829.00
    780.00   255.05   250.05    64.85    10.75    -0.94  1973.65
    777.00   255.25   250.55    66.65    10.84    -0.95  2002.43
    774.00   255.45   249.45    59.44    10.94    -0.96  2031.34
    763.42   254.61   249.31    63.05    11.29    -0.99  2134.00
    759.00   254.25   249.25    64.65    11.42    -1.14  2177.33
    756.00   254.65   247.65    54.12    11.51    -1.25  2206.83
    740.00   254.45   248.45    59.16    11.97    -1.86  2366.21
    733.00   254.05   245.05    44.88    12.17    -2.14  2436.94
    732.90   254.04   245.08    45.02    12.17    -2.15  2438.00
    727.00   253.65   246.65    53.81    11.94    -2.32  2498.01
    723.00   253.45   248.75    66.21    11.77    -2.43  2538.96
    707.00   252.25   248.65    72.78    11.10    -2.84  2704.59
    703.33   252.04   248.18    71.04    10.94    -2.93  2743.00
    700.00   251.85   247.75    69.49    11.44    -3.06  2778.00
    685.00   250.65   244.65    58.08    11.08    -2.97  2937.40
    683.00   250.45   243.45    52.83    11.03    -2.96  2958.85
    668.00   249.05   243.05    57.62    10.67    -2.86  3121.27
    634.00   245.45   242.95    79.16     9.81    -2.63  3499.53
    628.00   244.85   241.35    71.85     9.65    -2.59  3567.80
    620.13   244.17   241.40    76.95     9.45    -2.53  3658.00
    612.00   243.45   241.45    82.69    10.09    -1.84  3752.32
    607.00   243.45   236.45    50.60    10.47    -1.37  3810.80
    601.00   243.05   234.05    41.16    10.89    -0.76  3881.56
    599.00   243.05   233.05    37.11    11.03    -0.54  3905.28
    596.00   243.65   225.65    15.78    11.22    -0.20  3941.06
    594.25   243.82   225.82    15.83    11.33    -0.00  3962.00
    594.00   243.85   225.85    15.84    11.38    -0.00  3965.05
    585.00   243.25   221.25     9.90    13.03    -0.00  4073.92
    581.00   243.05   226.05    17.46    13.77    -0.00  4122.76
    570.00   242.45   218.45     7.65    15.83    -0.00  4258.61
    569.33   242.43   219.02     8.21    15.96    -0.00  4267.00
    562.00   242.25   225.25    17.22    16.50    -0.00  4358.90
    556.00   241.85   219.85     9.58    16.95    -0.00  4434.97
    549.00   241.45   222.45    13.51    17.47    -0.00  4524.61
    539.00   240.45   229.45    32.51    18.24    -0.00  4654.30
    536.00   240.45   228.45    29.17    18.47    -0.00  4693.59
    533.00   240.45   210.45     3.38    18.71    -0.00  4733.11
    524.00   239.45   222.45    16.39    19.42    -0.00  4852.74
    522.19   239.45   219.44    11.50    19.56    -0.00  4877.00
    521.00   239.45   217.45     9.05    19.67     0.09  4893.00
    514.00   238.65   221.65    16.16    20.30     0.65  4987.67
    505.00   237.65   213.65     6.73    21.10     1.42  5110.84
    501.00   237.25   219.25    13.98    21.45     1.79  5166.12
