
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = PANT          STNM =    70398    TIME = 200106/1200         
 SLAT =  55.05     SLON =  -131.59   SELV =    35.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   272.65   270.85    87.62    -1.18    -0.99    35.00
   1008.00   273.15   270.25    80.82    -1.36    -0.92    51.66
   1005.00   274.75   267.75    59.68    -1.63    -0.76    76.80
   1002.00   274.95   266.95    55.36    -1.88    -0.54   102.10
   1000.00   274.75   266.75    55.30    -2.03    -0.36   119.00
    976.98   273.24   266.31    59.64    -1.58     1.32   305.00
    940.37   270.76   265.60    67.67     1.33     0.77   610.00
    933.00   270.25   265.45    69.49     2.48     1.72   672.85
    925.00   269.85   265.65    72.70     3.55     2.98   741.00
    904.80   268.25   265.21    79.25     3.97     4.73   914.00
    870.25   265.42   264.43    92.59     5.12     4.30  1219.00
    854.00   264.05   264.05   100.00     5.67     3.54  1366.64
    850.00   263.85   263.85   100.00     5.79     3.34  1403.00
    840.00   263.05   262.55    96.12     6.00     2.96  1494.36
    838.00   263.85   257.85    61.69     6.04     2.88  1512.76
    836.78   263.97   257.36    58.69     6.06     2.83  1524.00
    836.00   264.05   257.05    56.83     6.06     2.89  1531.23
    835.00   264.05   258.05    61.74     6.06     2.97  1540.49
    826.00   263.85   258.85    66.98     5.99     3.68  1624.27
    821.00   263.85   250.85    33.97     5.91     4.08  1671.19
    810.00   263.25   245.25    21.49     5.65     4.99  1775.27
    807.00   263.05   251.05    36.82     5.55     5.24  1803.86
    804.37   262.84   251.89    40.29     5.46     5.46  1829.00
    802.00   262.65   252.65    43.69     5.54     5.54  1851.69
    795.00   262.05   248.05    30.52     5.78     5.78  1919.03
    785.00   261.25   251.25    43.24     6.13     6.13  2016.00
    775.00   260.45   251.45    46.93     6.48     6.48  2113.92
    772.96   260.28   251.39    47.32     6.55     6.55  2134.00
    756.00   258.85   250.85    50.72     4.69     6.29  2302.64
    751.00   258.45   245.45    32.21     4.17     6.13  2352.89
    748.00   258.25   236.25    13.48     3.87     6.02  2383.16
    742.58   257.71   233.01    10.11     3.34     5.79  2438.00
    738.00   257.25   230.25     7.85     3.46     5.82  2484.69
    734.00   257.05   231.05     8.69     3.57     5.84  2525.59
    729.00   256.45   239.45    21.50     3.70     5.86  2576.96
    725.00   256.05   247.05    45.53     3.81     5.87  2618.23
    722.00   255.65   244.65    37.76     3.89     5.88  2649.29
    721.00   255.65   245.65    41.42     3.91     5.88  2659.67
    719.00   255.45   250.45    64.95     3.97     5.89  2680.45
    717.00   255.25   250.95    69.03     4.02     5.90  2701.28
    713.00   254.82   250.26    67.41     4.14     5.91  2743.00
    706.00   254.05   249.05    64.60     4.73     5.07  2816.55
    701.00   253.85   244.85    44.82     5.07     4.43  2869.40
    700.00   253.65   244.65    44.75     5.12     4.30  2880.00
    695.00   253.25   243.25    40.62     5.64     4.20  2933.07
