
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = ESQV          STNM =     2591    TIME = 200106/1200         
 SLAT =  57.65     SLON =    18.35   SELV =    47.0
 STIM =  1200

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1013.00   277.95   277.95   100.00     5.13     2.39    47.00
   1007.00   277.68   277.68   100.00     4.22     2.95    95.07
    971.00   275.99   275.99   100.00     7.60     1.34   389.67
    914.00   273.20   273.20   100.00     6.29     2.29   879.21
    911.00   273.05   273.05   100.00     6.33     2.06   905.82
    899.00   275.95   272.95    80.62     6.42     1.15  1012.69
    888.00   276.55   271.65    70.27     6.39     0.32  1112.55
    854.00   276.95   268.95    55.90     5.63    -2.08  1429.68
    826.00   275.28   268.67    61.61     4.34    -3.64  1699.45
    814.00   274.55   268.55    64.32     4.77    -3.43  1817.88
    779.00   272.45   265.45    59.09     6.02    -2.55  2170.58
    771.00   272.45   259.50    36.84     6.29    -2.29  2253.04
    759.00   272.45   250.45    17.11     6.47    -3.86  2378.35
    749.00   271.96   252.78    21.74     6.31    -5.30  2483.99
    731.00   271.05   257.05    33.38     8.25    -3.47  2677.73
    725.00   271.05   252.05    21.81     8.79    -2.68  2743.21
    723.00   270.90   251.69    21.37     8.95    -2.40  2765.04
    688.00   268.25   245.25    14.61     6.15    -4.06  3157.10
    667.00   266.31   248.01    21.78     4.37    -4.37  3397.80
    641.00   263.83   251.54    36.15     9.81    -5.66  3706.52
    619.00   261.65   254.65    56.16     9.42    -5.75  3977.70
    610.00   261.05   258.95    84.34     9.26    -5.79  4089.93
    591.00   258.85   258.45    96.77     8.91    -5.85  4331.15
    590.00   258.65   258.25    96.77     8.89    -5.85  4344.00
    576.00   258.85   255.45    75.38     8.63    -5.89  4526.20
    566.00   258.22   254.10    70.79     8.44    -5.91  4658.73
    554.00   257.45   252.45    65.45     7.66    -7.05  4820.90
    528.00   254.45   251.35    76.52     5.37    -9.21  5181.53
    513.00   253.23   248.17    64.02     3.70   -10.16  5395.69
    506.00   252.65   246.65    58.66     4.50   -10.40  5497.78
    473.00   249.46   243.46    57.73     8.93   -10.65  5993.11
    465.00   248.65   242.65    57.50     9.13   -10.92  6118.39
    402.00   239.85   235.95    67.91    10.78   -13.27  7160.19
    399.00   239.45   233.45    54.67    10.86   -13.39  7212.78
    390.00   238.45   235.65    75.57    11.11   -13.76  7372.48
    304.00   225.45   216.45    34.69    13.75   -17.91  9065.08
    272.00   219.05   214.75    58.99    14.87   -19.80  9789.11
    224.00   210.05   202.05    33.06    16.72   -23.18 11009.18
    214.00   208.25   204.65    60.92    17.14   -23.98 11288.94
    194.00   204.77   200.86    57.01    18.01   -25.72 11881.07
    189.00   203.85   199.85    55.96    17.10   -25.09 12038.65
    184.00   207.05   197.05    23.48    16.18   -24.41 12199.98
    162.00   209.52   191.03     6.46    12.10   -20.96 12978.15
    157.00   210.13   189.55     4.65    14.23   -16.96 13169.74
    156.00   210.25   189.25     4.35    14.45   -17.22 13208.79
    147.00   214.45   188.45     2.21    16.50   -19.66 13578.36
    144.00   214.06   188.24     2.24    17.21   -20.51 13706.60
    118.00   210.25   186.25     2.60    16.08   -15.82 14945.06
    100.00   210.85   185.85     2.24    14.59   -12.25 15965.73
     70.00   209.25   184.25     2.08    19.59    -9.14 18160.00
     54.40   207.65   183.65     2.31    23.71    -8.63 19704.38
     50.00   208.45   182.45     1.67    23.79   -11.09 20220.00
     30.00   202.45   180.45     2.64    38.02    -6.70 23310.00
     26.40 -9999.00 -9999.00 -9999.00    42.76   -11.46 -9999.00
