
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =    91925    TIME = 200107/0000         
 SLAT =  -9.80     SLON =  -139.03   SELV =    53.0
 STIM =  2300

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1004.00   304.55   291.55    45.98    -3.16    -2.65    53.00
   1000.00   303.95   290.95    45.82    -3.27    -3.27    87.00
    983.00   302.01   290.82    50.80    -1.73    -6.46   238.53
    925.00   295.15   290.35    74.20    -2.98    -3.55   776.00
    921.00   294.55   290.15    76.01    -2.98    -3.37   813.76
    850.00   288.75   287.65    93.16    -1.94    -0.70  1505.00
    833.00   287.35   287.05    98.07    -1.20    -0.25  1676.47
    829.00   286.78   286.31    96.98    -1.01    -0.18  1717.14
    826.00   286.35   285.75    96.15    -1.47    -0.23  1747.78
    807.00   289.75   264.75    17.22    -4.42    -0.23  1944.66
    802.00   289.75   265.75    18.61    -5.21    -0.12  1997.42
    783.00   288.67   276.41    43.83    -8.21     0.72  2200.78
    781.00   288.55   277.55    47.83    -8.08     0.80  2222.48
    743.00   286.95   261.95    16.54    -5.51     1.90  2643.44
    716.00   285.55   271.55    37.79    -3.61     2.00  2954.03
    705.00   285.35   258.35    13.72    -2.86     1.87  3083.55
    700.00   285.15   257.15    12.59    -2.53     1.77  3143.00
    679.00   283.91   252.58     9.27    -1.18     0.99  3395.00
    641.00   281.57   243.93     4.98    -5.07    -0.89  3871.49
    616.00   279.95   237.95     3.12    -5.12    -0.54  4200.63
    602.00   278.55   245.55     7.12    -5.14    -0.33  4388.56
    554.00   272.45   264.45    54.67    -5.13     0.42  5059.35
    507.00   267.45   260.45    57.77    -5.01     1.21  5761.09
    500.00   267.05   259.05    53.15    -4.97     1.33  5870.00
    492.00   266.45   258.45    52.98    -4.89     1.48  5996.45
    436.00   261.45   245.45    25.25    -4.17     2.44  6933.36
    420.00   259.65   249.65    42.73    -3.91     2.69  7219.41
    412.00   259.25   243.25    24.57    -3.77     2.81  7365.92
    408.00   258.45   239.45    18.21    -3.70     2.86  7440.06
    400.00   257.45   239.45    19.78    -3.55     2.98  7590.00
    324.00   245.45   235.45    37.95    -2.18     4.09  9140.58
    304.00   243.05   216.05     5.39    -1.69     4.31  9595.93
    300.00   242.45   215.45     5.30    -1.58     4.35  9690.00
    279.00   238.46   212.12     5.11    -0.80     4.56 10199.70
    269.00   236.45   210.45     5.02    -0.58     6.66 10456.06
    250.00   232.65   207.65     5.10     0.94    10.77 10960.00
    242.00   231.02   206.16     4.94     2.15    12.17 11175.71
    206.00   222.93   198.80     4.18     6.75     4.73 12243.95
    200.00   221.45   197.45     4.04     6.32     4.43 12440.00
    150.00   207.05   185.05     3.23     2.55     2.55 14240.00
    140.00   203.65   182.65     3.36     1.85     2.12 14653.27
    137.00   202.97   182.21     3.41     1.65     1.97 14779.30
    117.00   198.04   179.04     3.88     0.00    11.33 15697.41
    111.00   196.40   177.99     4.07    -2.67     9.95 16003.69
    107.00   195.25   177.25     4.21     0.12     8.31 16217.22
    100.00   192.65   175.65     4.63     2.31     4.01 16600.00
     91.70   189.25   173.25     4.96     4.00     4.00 17077.75
     70.00   198.65   181.65     5.80    -5.46     5.46 18590.00
     50.00   206.05   179.05     1.22     2.42     0.88 20590.00
     30.00   212.05   183.05     1.16   -16.47     0.00 23700.00
     20.00   218.85   187.85     1.16   -23.87    -6.40 26250.00
     13.90 -9999.00 -9999.00 -9999.00   -31.94     5.63 -9999.00
