
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LHUD          STNM =    12982    TIME = 200107/0000         
 SLAT =  46.25     SLON =    20.10   SELV =    83.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1021.00   267.45   265.85    88.46    -0.00    -0.00    83.00
   1015.00   269.65   268.55    92.08    -0.18    -0.22   129.05
   1006.00   273.55   268.85    70.71    -0.70     0.12   199.43
   1000.00   273.15   266.15    59.27    -0.64     0.77   247.00
    993.00   272.76   265.76    59.17    -0.64     0.77   302.77
    957.00   270.73   263.73    58.64    -0.98    -0.17   595.97
    937.00   269.56   262.56    58.33    -0.09    -1.00   763.66
    925.00   268.85   261.85    58.14    -0.00    -2.00   866.00
    921.00   268.60   261.60    58.08    -0.00    -2.00   900.04
    909.00   267.85   260.85    57.87    -0.00    -2.54  1003.07
    901.00   267.65   258.65    49.14    -0.00    -2.90  1072.34
    879.00   270.05   244.05    11.41    -0.00    -3.91  1266.80
    877.00   270.20   242.95    10.18    -0.00    -4.00  1284.81
    871.00   270.65   239.65     7.17    -0.22    -4.54  1339.10
    866.00   270.46   238.99     6.81    -0.44    -4.98  1384.60
    850.00   269.85   236.85     5.77    -0.26    -2.99  1532.00
    842.00   269.55   235.28     5.03     0.26    -2.99  1606.57
    813.00   268.45   229.45     2.97    -1.07    -5.13  1882.97
    796.00   267.45   258.45    49.08    -2.47    -6.12  2048.95
    791.00   267.59   260.62    57.92    -2.96    -6.34  2098.42
    782.00   267.85   264.55    77.59    -2.82    -6.62  2188.26
    746.00   266.57   263.78    80.54    -2.07    -7.73  2556.59
    700.00   264.85   262.75    84.81    -6.31    -9.01  3054.00
    698.00   264.85   262.75    84.81    -6.32    -9.08  3076.19
    662.00   263.05   258.55    69.60    -6.46   -10.31  3485.48
    636.00   261.34   257.98    76.08    -6.50   -11.26  3792.29
    617.00   260.05   257.55    81.48    -6.99   -15.48  4024.53
    603.00   259.21   255.75    75.01    -6.84   -18.79  4197.33
    555.00   256.20   249.22    54.71    -3.65   -20.68  4821.85
    529.00   254.45   245.45    45.01    -6.50   -21.41  5183.08
    500.00   251.05   245.05    58.20   -10.14   -21.75  5600.00
    456.00   245.65   240.75    62.98    -9.51   -22.48  6269.73
    400.00   239.45   232.45    49.27    -8.55   -23.49  7200.00
    390.00   238.25   230.25    43.93    -8.83   -24.25  7377.79
    364.00   234.47   228.52    53.33    -9.58   -26.31  7853.76
    342.00   231.05   226.95    64.15    -9.04   -27.18  8283.84
    300.00   223.85   218.85    55.68    -7.76   -28.98  9160.00
    250.00   216.05   209.05    40.63   -10.94   -30.07 10330.00
    222.00   212.05   204.05    33.89    -5.73   -32.50 11075.00
    209.00   210.25   203.25    38.26   -10.94   -30.07 11448.33
    207.00   210.25   203.25    38.26   -11.20   -29.04 11507.57
    200.00   211.25   203.25    33.56   -11.83   -25.38 11720.00
    193.00   212.35   203.50    30.17    -5.95   -22.22 11942.91
    169.00   216.45   204.45    20.57    -2.58   -20.73 12773.75
    160.00   216.25   203.25    17.79    -1.34   -19.98 13120.16
    150.00   217.85   201.85    11.95    -0.00   -19.00 13530.00
    143.00   218.24   201.26    10.47    -1.48   -16.94 13835.34
    139.00   218.47   200.92     9.68    -1.48   -16.94 14016.61
    136.00   218.65   200.65     9.10    -0.34   -15.50 14156.01
    135.00   218.55   200.30     8.76    -0.00   -15.00 14203.21
    132.00   218.25   199.25     7.76    -1.05   -11.95 14346.92
    130.00   218.57   199.17     7.38    -0.00   -13.00 14444.64
    127.00   219.05   199.05     6.84     2.95   -11.13 14594.09
    124.00   218.57   198.17     6.35     5.00    -8.66 14745.70
    116.00   217.23   195.71     5.12     3.62   -13.52 15168.68
    100.00   214.25   190.25     3.07     4.10   -11.28 16110.00
     70.00   215.85 -9999.00 -9999.00     4.53    -2.11 18360.00
     62.20   213.45 -9999.00 -9999.00     5.14    -6.13 19100.63
     50.00   216.05 -9999.00 -9999.00     5.50    -9.53 20470.00
     30.00   216.85 -9999.00 -9999.00     4.24    -4.24 23720.00
     20.00   218.05 -9999.00 -9999.00    13.79    -2.43 26290.00
     10.00   224.45 -9999.00 -9999.00    31.88     2.79 30740.00
      7.10 -9999.00 -9999.00 -9999.00    43.47   -11.65 -9999.00
