
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID =               STNM =     2365    TIME = 200107/0000         
 SLAT =  62.53     SLON =    17.45   SELV =     6.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1004.00   269.65   269.65   100.00    -0.00    -0.00     6.00
   1000.00   270.25   270.05    98.52    -0.40     1.49    36.00
    995.00   273.55   272.35    91.65    -0.28     2.91    75.94
    987.00   274.47   273.10    90.60     0.89     5.07   140.94
    976.00   275.75   274.15    89.19     2.40     6.72   231.17
    926.00   274.38   273.76    95.63    14.93     6.96   655.29
    925.00   274.35   273.75    95.77    14.93     6.96   664.00
    921.00   273.95   273.45    96.45    15.33     6.73   698.86
    895.00   272.43   272.26    98.77    17.90     4.80   928.06
    882.00   271.65   271.65   100.00    16.49     6.69  1045.16
    880.00   271.85   270.45    90.19    16.26     6.97  1063.26
    877.00   278.15   262.15    30.38    15.90     7.36  1090.79
    872.00   281.75   259.75    19.56    15.27     7.99  1137.68
    868.00   282.35   257.35    15.42    14.75     8.46  1175.67
    850.00   282.55   251.55     9.28    12.23    10.26  1349.00
    846.00   282.39   251.39     9.26    11.44     9.60  1388.00
    840.00   282.15   251.15     9.21    11.32     9.24  1446.84
    772.00   276.74   252.99    15.70     9.36     5.40  2132.32
    722.00   272.45   254.45    24.20    13.13     6.57  2676.05
    700.00   270.45   242.45     9.53    14.93     6.96  2922.00
    689.00   270.25   236.25     5.27    15.61     7.28  3047.32
    643.00   265.65   251.65    31.67    18.59     8.67  3589.25
    608.00   262.25   248.25    30.58    21.00     9.79  4014.49
    551.00   256.27   242.27    28.65    17.95     1.57  4762.41
    526.00   253.45   239.45    27.72    15.45     3.33  5115.20
    500.00   251.85   224.85     6.87    12.57     4.58  5490.00
    484.00   250.45   226.45     9.29    10.67     5.73  5729.78
    462.00   247.78   222.89     7.88     7.89     6.62  6067.70
    436.00   244.45   218.45     6.34     9.34     7.84  6488.44
    401.00   239.21   220.00    12.60    11.44     9.60  7082.28
    400.00   239.05   220.05    12.87    11.04     9.26  7100.00
    359.00   232.81   216.85    16.44    14.19     2.50  7842.50
    347.00   230.85   215.85    17.86    15.25     2.69  8075.92
    320.00   226.05   208.05    10.97    17.77     3.13  8616.70
    300.00   222.85   205.85    11.66    19.77     3.49  9040.00
    284.00   220.32   204.53    13.02    18.76     3.31  9391.72
    250.00   214.45   201.45    17.17    17.73     8.27 10210.00
    245.00   213.58   200.58    16.88    17.27     8.05 10335.99
    242.00   213.05   200.05    16.70    17.13     7.11 10412.82
    233.00   211.78   199.80    18.95    16.41     4.40 10644.97
    201.00   206.85   198.85    31.73    18.38     6.69 11549.89
    200.00   207.05   199.05    31.81    18.87     6.87 11580.00
    198.00   207.10   199.59    34.26    20.32     7.39 11640.91
    192.00   207.25   201.25    42.87    20.68     3.97 11827.40
    182.00   210.05   188.05     3.64    20.00    -1.75 12153.92
    167.00   211.45   189.45     3.85    23.83     4.20 12685.26
    159.00   212.25   190.25     3.96    24.48    -2.53 12988.51
    157.00   212.16   189.73     3.67    24.33    -4.29 13067.04
    150.00   211.85   187.85     2.78    20.79    -3.67 13350.00
    145.00   210.86   186.86     2.67    18.98     1.66 13559.22
    141.00   210.05   186.05     2.57    21.51     3.77 13731.86
    137.00   210.48   186.12     2.46    23.87     6.40 13909.72
    133.00   210.92   186.19     2.35    27.69     2.42 14092.86
    120.00   212.45   186.45     2.02    25.01    -3.76 14728.54
    110.00   210.35   185.78     2.36    21.77    -7.92 15263.75
    100.00   208.05   185.05     2.82    24.62    -2.15 15850.00
     75.40 -9999.00 -9999.00 -9999.00    35.90    -3.14 -9999.00
