
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = ESQV          STNM =     2591    TIME = 200107/0000         
 SLAT =  57.65     SLON =    18.35   SELV =    47.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1010.00   278.95   278.05    93.94     5.60     2.61    47.00
   1008.00   278.85   277.96    94.06     4.46     2.57    63.09
    988.00   277.80   277.10    95.26    11.13     4.05   225.77
    923.00   274.23   274.18    99.63    10.65     1.88   778.18
    918.00   273.95   273.95   100.00     8.77     2.81   822.28
    915.00   274.55   274.25    97.87     7.62     3.15   848.63
    909.00   278.35   274.85    78.12     5.36     3.33   902.02
    907.00   278.48   275.18    79.26     4.64     3.25   920.03
    906.00   278.55   275.35    79.84     4.60     3.47   929.05
    902.00   278.42   275.28    80.20     4.37     4.37   965.19
    882.00   277.75   274.95    82.04     5.00     4.39  1148.33
    804.00   272.45   272.45   100.00     7.74     3.78  1896.19
    799.00   274.15   271.45    82.16     7.93     3.70  1946.24
    787.00   274.55   267.55    59.63     7.59     3.70  2068.05
    750.00   270.85   266.95    74.59     6.53     3.64  2453.25
    741.00   270.85   259.85    42.64     6.27     3.61  2549.12
    740.00   270.79   259.63    42.08     6.24     3.60  2559.82
    722.00   269.65   255.65    32.94     8.74     2.73  2754.84
    712.00   270.65   242.65     9.57    10.10     1.82  2865.20
    698.00   270.15   242.65     9.93    11.84    -0.00  3022.01
    658.00   268.65   242.65    11.11    13.51     0.77  3488.01
    638.00   266.62   242.60    12.90    14.36     1.26  3727.14
    581.00   260.45   242.45    20.66    13.32    -3.06  4452.18
    560.00   258.26   239.46    18.52    12.57    -4.58  4727.01
    489.00   250.19   228.45    11.85    10.73    -5.00  5739.11
    483.00   249.45   227.45    11.34    12.13    -3.42  5831.28
    477.00   250.05   219.05     4.10    13.30    -1.47  5922.68
    473.00   249.68   218.68     4.05    13.90    -0.00  5983.76
    453.00   247.76   216.76     3.81     9.19    -3.34  6297.12
    430.00   245.45   214.45     3.53     9.84    -3.41  6675.07
    337.00   230.92   211.10     9.68    12.92    -3.46  8370.63
    331.00   229.85   210.85    10.50    12.82    -4.63  8495.62
    313.00   226.47   213.64    21.78    11.80    -8.27  8865.33
    290.00   221.85   217.45    59.19    13.35    -7.73  9369.98
    278.00   219.65   212.65    42.05    14.20    -7.35  9643.10
    269.00   218.05   213.55    57.19    14.85    -7.00  9853.96
    268.00   217.88   213.30    56.54    14.93    -6.96  9877.22
    244.00   213.59   206.96    41.68    11.66    -5.44 10463.22
    219.00   208.65   199.65    28.01    17.91    -6.93 11138.40
    212.00   208.04   198.70    26.38    19.84    -7.22 11335.98
    199.00   206.85   196.85    23.40    20.51    -8.60 11720.86
    189.00   209.05   195.20    13.44    21.00    -9.79 12039.12
    180.00   211.13   193.64     7.97    21.88    -5.86 12340.29
    170.00   213.58   191.81     4.33    14.26    -8.23 12693.12
    165.00   214.85   190.85     3.15    13.28    -6.43 12877.39
    164.00   214.80   190.79     3.13    13.06    -6.09 12915.29
    146.00   213.92   189.68     2.91    17.41    -6.34 13640.09
    119.00   212.37   187.72     2.54    22.39   -10.44 14914.89
    107.00   211.56   186.70     2.36    18.28   -10.55 15577.56
    100.00   211.05   186.05     2.26    17.90    -6.52 15999.36
     70.00   210.45   184.45     1.84    22.31    -3.93 18200.00
