
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LGTS          STNM =    16622    TIME = 200107/0000         
 SLAT =  40.51     SLON =    22.96   SELV =     4.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1022.00   276.55   268.55    55.79     1.34    -7.60     4.00
   1013.00   275.74   267.33    53.88     1.79   -10.14    76.35
   1000.00   274.55   265.55    51.16     2.23   -12.67   182.00
    997.00   274.35   265.35    51.10     2.30   -13.05   206.13
    988.00   275.17   264.53    45.23     2.50   -14.19   279.06
    986.00   275.35   264.35    44.01     2.30   -14.15   295.35
    925.00   271.25   262.25    50.20    -3.06   -11.44   806.00
    920.00   270.85   261.85    50.09    -3.23   -10.75   849.22
    896.00   269.78   261.12    51.13    -3.48    -7.47  1058.57
    850.00   267.65   259.65    53.32    -2.11    -5.81  1476.00
    841.00   267.36   259.11    52.19    -1.46    -5.47  1558.98
    779.00   265.25   255.25    44.51    -1.72    -1.24  2155.98
    778.00   265.18   255.25    44.74    -1.69    -1.18  2165.85
    706.00   260.05   255.25    67.21    -3.54    -5.00  2912.04
    705.00   260.08   255.08    66.10    -3.54    -5.06  2922.83
    700.00   260.25   254.25    60.75    -4.30    -5.12  2977.00
    685.00   260.65   255.65    66.23    -5.79    -4.99  3142.29
    668.00   259.63   252.86    56.73    -7.58    -4.37  3332.01
    638.00   257.76   247.77    42.16    -5.12    -4.30  3678.91
    606.00   255.66   242.07    29.57    -8.92    -5.15  4067.40
    594.00   254.85   239.85    25.58    -6.94    -6.46  4218.39
    548.00   250.02   239.33    36.97     0.54    -6.16  4813.27
    542.00   249.36   239.26    38.93    -0.00    -6.69  4894.52
    541.00   249.25   239.25    39.27    -0.48    -6.77  4908.15
    534.00   248.85   244.35    66.27    -4.01    -6.26  5003.13
    531.00   248.63   243.06    59.88    -5.46    -5.46  5043.97
    507.00   246.80   232.44    24.59    -2.00    -7.46  5379.22
    500.00   246.25   229.25    18.42    -2.40    -8.95  5480.00
    499.00   246.25   228.25    16.52    -2.53    -8.89  5494.46
    493.00   246.05   233.05    28.06    -3.26    -8.45  5581.80
    483.00   244.62   233.00    31.87    -4.38    -7.58  5727.83
    451.00   239.85   232.85    49.40    -3.86    -9.74  6216.33
    445.00   239.21   230.25    39.97    -3.70   -10.16  6310.03
    437.00   238.35   226.74    29.68    -6.79    -9.70  6436.96
    427.00   237.25   222.25    19.91    -7.13    -7.80  6598.93
    417.00   235.94   222.76    24.07    -7.10    -5.96  6762.58
    400.00   233.65   223.65    33.72    -5.96    -7.10  7050.00
    394.00   232.74   222.47    32.37    -5.62    -6.70  7152.57
    378.00   230.25   219.25    28.81    -7.74   -10.01  7433.91
    333.00   224.85   204.85     8.08   -12.55   -21.16  8277.75
    329.00   224.49   204.08     7.55   -12.87   -22.29  8356.78
    305.00   222.25   199.25     4.83   -10.66   -22.87  8852.18
    300.00   223.65   201.65     5.86    -8.45   -23.22  8960.00
    293.00   223.86   201.51     5.61   -11.53   -24.72  9114.48
    280.00   224.25   201.25     5.16   -12.43   -22.83  9411.42
    262.00   222.05   199.05     4.80   -13.41   -20.04  9844.61
    258.00   222.64   198.33     4.02   -13.58   -19.40  9944.83
    250.00   223.85   196.85     2.79    -8.92   -19.13 10150.00
    246.00   224.25   195.25     2.08    -8.19   -19.15 10255.49
    230.00   222.25   194.25     2.24    -5.25   -18.92 10693.74
    229.00   222.42   194.25     2.19    -5.06   -18.89 10722.26
    207.00   226.25   194.25     1.42    -5.54   -16.34 11383.41
    200.00   225.05   193.05     1.34    -5.63   -15.48 11610.00
    191.00   224.63   192.63     1.31    -5.99   -16.44 11912.50
    181.00   224.15   192.15     1.28    -2.59   -14.70 12265.79
    174.00   223.79   191.79     1.26    -5.63   -15.48 12524.92
    162.00   223.15   191.15     1.22    -0.00   -14.93 12994.38
    154.00   222.69   190.69     1.19    -3.86   -14.42 13327.10
    150.00   222.45   190.45     1.18    -1.12   -12.82 13500.00
    142.00   221.61   190.15     1.24    -0.00   -17.50 13852.80
    134.00   220.73   189.84     1.30    -2.06   -11.66 14226.07
    127.00   219.90   189.55     1.37     3.06   -11.44 14571.44
    121.00   219.16   189.28     1.43    -2.80   -10.44 14882.97
    112.00   217.98   188.86     1.53    -2.13    -7.96 15380.50
    111.00   217.85   188.82     1.55    -0.63    -7.18 15438.23
    109.00   217.57   188.72     1.57     1.61    -9.13 15555.27
    106.00   217.14   188.57     1.61     1.08   -12.31 15734.92
    103.00   216.70   188.41     1.66     2.13    -7.96 15919.73
    100.00   216.25   188.25     1.71     4.64    -3.25 16110.00
     70.00   216.45   187.45     1.45     4.34    -3.64 18360.00
     50.00   216.65   187.65     1.47     1.52    -3.26 20480.00
     30.00   219.05   188.05     1.17     2.42    -0.88 23730.00
     20.00   221.25   188.25     0.93    -0.00    -5.15 26350.00
