
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LGAT          STNM =    16716    TIME = 200107/0000         
 SLAT =  37.90     SLON =    23.73   SELV =    15.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1011.00   278.55   275.55    80.99    -0.00    -6.18    15.00
   1007.00   278.41   275.26    80.13    -1.33    -4.97    57.40
   1000.00   278.15   274.75    78.65    -1.52    -8.62   132.00
    925.00   273.05   272.05    92.97     1.35   -15.38   761.00
    917.00   272.45   271.95    96.41     1.05   -17.29   830.50
    899.00   271.56   271.14    96.94    -0.00   -21.62   987.93
    850.00   269.05   268.85    98.51    -3.84   -21.80  1433.00
    717.00   260.99   260.61    97.02   -14.15   -24.52  2753.75
    700.00   259.85   259.45    96.80   -11.31   -24.26  2940.00
    696.00   259.65   259.05    95.22   -11.47   -23.81  2983.55
    647.00   256.71   254.33    81.84   -12.70   -18.14  3526.56
    593.00   253.20   248.70    67.36    -5.06   -18.89  4174.81
    535.00   249.05   242.05    52.40    -7.66   -13.26  4940.40
    517.00   247.53   241.90    59.20    -7.97   -11.39  5188.05
    500.00   246.05   241.75    66.82    -5.15    -8.92  5430.00
    494.00   245.65   241.15    65.45    -4.02    -8.85  5517.04
    484.00   244.55   240.57    68.60    -2.26    -8.45  5662.92
    463.00   242.15   239.33    76.14    -2.15   -12.17  5979.33
    452.00   240.85   238.65    80.70    -3.00   -12.82  6150.84
    429.00   237.53   233.83    68.73    -5.11   -14.03  6514.91
    410.00   234.65   229.65    59.17    -3.57   -14.84  6830.70
    400.00   233.05   228.15    59.32    -2.68   -15.21  7000.00
    375.00   229.00   224.38    59.91    -0.00   -15.96  7429.84
    340.00   222.85   218.65    60.96    -6.57   -19.24  8082.40
    338.00   222.78   219.61    68.93    -7.04   -19.35  8120.80
    334.00   222.65   221.55    88.00    -6.47   -19.99  8198.28
    325.00   221.85   215.85    48.61    -5.02   -21.41  8375.65
    310.00   219.32   214.06    52.39    -2.06   -23.59  8679.58
    305.00   218.45   213.45    53.80    -1.93   -22.06  8784.17
    300.00   219.85   199.85     7.01    -3.13   -17.75  8890.00
    298.00   221.65   197.65     4.07    -3.02   -17.14  8933.36
    295.00   223.06   199.81     4.78    -2.86   -16.22  8999.79
    290.00   225.45   203.45     6.19    -1.56   -17.68  9112.01
    285.00   225.95   203.95     6.29    -0.00   -19.05  9227.83
    278.00   226.67   204.67     6.42    -3.67   -20.79  9393.42
    271.00   227.40   205.40     6.56    -5.87   -12.60  9563.24
    265.00   228.05   206.05     6.69    -2.99    -8.22  9712.33
    250.00   225.05   203.05     6.12    -2.40    -8.95 10100.00
    247.00   224.65   202.65     6.05    -2.48    -9.25 10179.44
    240.00   226.25   203.49     5.70    -2.67    -9.95 10370.23
    229.00   228.85   204.85     5.19     3.30    -6.71 10681.57
    228.00   228.68   204.81     5.26     3.61    -6.24 10710.64
    211.00   225.62   204.17     6.73     8.86   -12.65 11225.30
    208.00   225.05   204.05     7.05     7.62   -16.33 11320.42
    201.00   226.97   203.35     5.16     2.41   -13.69 11546.99
    200.00   227.25   203.25     4.93     2.32   -13.18 11580.00
    196.00   228.25   206.25     6.73     2.65   -12.50 11714.90
    190.00   227.31   205.13     6.38     3.06   -11.44 11920.60
    180.00   225.68   203.18     5.81     5.79    -3.34 12278.30
    175.00   224.83   202.17     5.53     7.47    -3.48 12464.67
    165.00   223.05   200.05     4.96     4.35    -9.33 12853.96
    160.00   223.85   200.85     5.10     3.17    -8.71 13056.01
    154.00   224.85   201.85     5.27     6.16    -8.86 13306.97
    150.00   223.65   200.65     5.06     8.37    -8.37 13480.00
    148.00   223.28   200.35     5.05     9.47    -7.94 13566.82
    138.00   221.38   198.80     5.00     4.57    -9.80 14019.29
    124.00   218.47   196.43     4.92    11.44    -9.60 14711.15
    123.00   218.25   196.25     4.92     8.93   -10.65 14763.52
    120.00   219.73   197.24     4.79     3.46   -12.92 14922.36
    117.00   221.25   198.25     4.67     6.32    -4.43 15085.22
    115.00   220.61   197.61     4.57     7.00    -3.26 15195.87
    110.00   218.97   195.97     4.32    10.14    -1.79 15481.16
    105.00   217.25   194.25     4.06     8.31    -5.19 15779.72
    100.00   217.25   194.25     4.06     5.32    -7.59 16090.00
     70.00   214.65   191.65     3.68     2.57    -0.00 18340.00
     50.00   215.85   189.85     2.35     3.12     1.80 20460.00
     30.00   218.05   190.05     1.86     2.95     4.22 23710.00
     20.00   220.85   189.85     1.28     6.69    -3.86 26320.00
     10.00   228.25   192.25     0.83    -1.97   -11.16 30910.00
