
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = UKOO          STNM =    33837    TIME = 200107/0000         
 SLAT =  46.43     SLON =    30.76   SELV =    42.0
 STIM =     0

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1021.00   272.85   272.25    95.72     1.03    -2.82    42.00
   1000.00   272.25   270.55    88.24    -0.52    -5.98   211.00
    977.00   271.45   267.45    74.13    -2.62    -9.70   396.80
    955.00   270.05   265.35    69.98    -5.92   -12.69   577.87
    925.00   268.05   263.95    72.92    -4.10   -11.28   830.00
    859.00   262.85   261.55    90.17    -5.60    -8.58  1405.65
    850.00   264.45   262.25    84.09    -5.74    -8.19  1487.00
    827.00   267.25   260.25    57.71    -4.90    -6.99  1700.39
    786.00   264.25   254.25    44.19    -3.34    -4.77  2095.68
    774.00   263.53   253.40    43.47    -2.87    -4.10  2213.36
    700.00   258.85   247.85    38.81    -2.05    -5.64  2982.00
    643.00   255.25   241.25    28.31    -2.05    -5.64  3620.73
    632.00   255.45   241.45    28.38    -2.05    -5.64  3749.63
    601.00   254.45   237.45    20.89    -2.05    -5.64  4124.72
    582.00   254.25   236.25    18.84    -2.05    -5.64  4363.73
    572.00   253.85   234.85    16.92    -2.05    -5.64  4492.52
    500.00   248.05   230.05    17.04    -2.05    -5.64  5480.00
    488.00   247.25   229.25    16.81    -2.05    -5.64  5655.87
    400.00   235.85   220.85    19.46    -2.05    -5.64  7060.00
    321.00   222.25 -9999.00 -9999.00    -1.47    -4.04  8533.36
    309.00   220.56 -9999.00 -9999.00    -1.37    -3.76  8779.24
    300.00   219.25 -9999.00 -9999.00    -1.37    -3.76  8970.00
    298.00   219.05 -9999.00 -9999.00    -1.13    -3.93  9012.86
    278.00   217.25 -9999.00 -9999.00     2.11    -4.53  9455.97
    272.00   217.14 -9999.00 -9999.00     2.50    -4.33  9594.44
    257.00   216.85 -9999.00 -9999.00     1.93    -5.33  9954.43
    250.00   218.05 -9999.00 -9999.00     1.55    -5.80 10130.00
    243.00   219.25 -9999.00 -9999.00     1.03    -5.91 10310.98
    230.00   219.10 -9999.00 -9999.00    -0.00    -6.00 10662.17
    226.00   219.05 -9999.00 -9999.00    -0.07    -6.13 10774.23
    216.00   221.25 -9999.00 -9999.00    -0.25    -6.44 11064.61
    200.00   220.45 -9999.00 -9999.00    -0.61    -6.97 11560.00
    150.00   219.45 -9999.00 -9999.00     0.70    -7.97 13420.00
    129.00   221.05 -9999.00 -9999.00     1.56    -8.41 14393.63
    114.00   219.30 -9999.00 -9999.00     2.33    -8.69 15187.99
    100.00   217.45 -9999.00 -9999.00     4.00    -6.93 16030.00
     70.00   216.05 -9999.00 -9999.00     4.50    -5.36 18300.00
     50.00   218.45 -9999.00 -9999.00     3.80    -8.16 20430.00
