
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = LMN           STNM =    74646    TIME = 200107/0600         
 SLAT =  36.62     SLON =   -97.48   SELV =   317.0
 STIM =   600

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
    988.00   273.15   269.05    73.89     4.63    -0.00   317.00
   1000.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00   213.00
    978.00   280.95   263.95    28.87     6.00    -2.16   398.96
    961.00   281.95   262.95    24.94     5.53    -7.58   542.42
    953.07   281.43   262.65    25.22     3.70   -10.16   610.00
    925.00   279.55   261.55    26.28     5.00   -10.73   854.00
    918.17   279.06   261.41    26.88     5.22   -11.20   914.00
    884.25   276.57   260.70    30.22     5.65   -12.13  1219.00
    850.00   273.95   259.95    34.28     9.15   -13.07  1539.00
    819.63   271.33   258.92    38.15     9.75   -13.92  1829.00
    812.00   270.65   258.65    39.24     9.52   -14.22  1903.60
    788.51   268.67   255.48    34.95     8.75   -15.16  2134.00
    758.55   266.06   251.30    29.77     9.45   -13.49  2438.00
    754.00   265.65   250.65    29.01     9.90   -13.75  2485.25
    729.29   264.48   244.55    18.28    12.57   -14.98  2743.00
    701.09   263.10   237.33    10.16    12.25   -14.59  3048.00
    700.00   263.05   237.05     9.92    14.93   -14.93  3060.00
    673.78   262.45   230.06     5.04    18.14   -15.22  3353.00
    647.52   261.83   222.79     2.36    20.18   -24.05  3658.00
    640.00   261.65   220.65     1.87    19.76   -25.45  3747.66
    625.00   262.65   225.65     3.06    18.66   -28.30  3929.51
    597.49   259.94   226.60     4.23    15.67   -33.60  4267.00
    550.81   255.04   228.31     7.66    20.34   -35.22  4877.00
    507.00   250.05   230.05    14.25    24.64   -36.15  5498.43
    500.00   249.45   232.45    19.38    25.39   -36.26  5600.00
    498.00   249.25   233.25    21.44    25.44   -36.34  5629.38
    466.61   246.04   227.37    15.29    26.28   -37.53  6096.00
    447.17   243.94   223.52    12.06    26.57   -37.95  6401.00
    400.00   238.45   213.45     6.06    26.28   -37.53  7200.00
    376.43   235.55   212.97     7.62    34.58   -34.58  7620.00
    371.00   234.85   212.85     8.06    35.62   -34.41  7720.55
    302.00   225.94   208.78    12.25    50.38   -29.08  9105.29
    300.27   225.69   208.67    12.41    49.04   -28.31  9144.00
    300.00   225.65   208.65    12.43    49.94   -28.83  9150.00
    294.00   224.65   208.65    13.91    48.59   -28.05  9282.92
    250.00   225.85   198.85     3.02    46.74   -12.52 10350.00
    238.17   225.14   197.26     2.57    48.67    -8.58 10668.00
    217.03   223.79   194.22     1.86    55.90    -4.89 11278.00
    212.00   223.45   193.45     1.71    49.20    -6.49 11432.02
    207.15   222.34   193.13     1.85    42.58    -7.51 11582.00
    200.00   220.65   192.65     2.09    49.42    -0.00 11810.00
    187.00   217.65   191.65     2.54    53.84    -4.71 12242.79
    170.00   219.04   189.57     1.52    57.66    -0.00 12855.13
    163.49   219.61   188.72     1.23    57.66    -0.00 13106.00
    163.00   219.65   188.65     1.21    57.50    -0.00 13125.28
    150.00   218.25   188.25     1.34    53.02    -0.00 13660.00
    132.00   216.05   187.05     1.42    52.03    -7.67 14473.61
    128.79   216.34   186.93     1.34    51.71    -9.12 14630.00
    117.00   217.45   186.45     1.08    41.54    -3.63 15239.94
    117.00   217.45   186.45     1.08    41.54    -3.63 15240.00
    106.21   214.62   185.46     1.29    29.75    -2.60 15850.00
    100.00   212.85   184.85     1.44    31.94     5.63 16230.00
     96.36   212.50   184.70     1.47    31.94     5.63 16459.00
     87.28   211.55   184.32     1.55    29.51    10.74 17069.00
     79.08   210.61   183.93     1.64    32.82     2.87 17678.00
     75.26   210.14   183.73     1.68    19.59    -9.14 17983.00
     70.00   209.45   183.45     1.75     9.33    -4.35 18430.00
     68.19   209.81   183.42     1.66     8.37    -8.37 18593.00
     61.82   211.15   183.30     1.36    14.93    -0.00 19202.00
     58.86   211.82   183.24     1.23    19.05    -0.00 19507.00
     56.04   212.49   183.19     1.12     7.28    -7.28 19812.00
     53.35   213.16   183.13     1.02     4.73    -4.73 20117.00
     50.00   214.05   183.05     0.90     2.95    -4.22 20520.00
     48.40   214.16   183.10     0.89     3.25    -4.64 20726.00
     43.95   214.50   183.25     0.88     2.95     2.06 21336.00
     41.88   214.67   183.33     0.87     5.15    -0.00 21641.00
     39.90   214.84   183.40     0.86     1.33     4.97 21946.00
     38.03   215.01   183.48     0.86     4.84     1.76 22250.00
     36.24   215.18   183.55     0.85     0.88    -1.26 22555.00
     34.53   215.35   183.63     0.84     4.67    -2.18 22860.00
     32.91   215.52   183.71     0.84    -2.32   -13.18 23165.00
     30.00   215.85   183.85     0.83    -5.91    -4.96 23750.00
     29.89   215.89   183.86     0.82    -8.47    -4.89 23774.00
     27.17   216.98   184.24     0.77    -5.10    -5.10 24384.00
     25.90   217.52   184.43     0.75    -7.25    -2.64 24689.00
     23.54   218.60   184.81     0.70    -8.24     0.00 25298.00
     22.45   219.14   184.99     0.68    -6.78    -2.47 25603.00
     20.40   220.22   185.37     0.64   -10.25    -5.92 26213.00
     20.00   220.45   185.45     0.63    -8.92    -5.15 26340.00
