
 SNPARM = PRES;TMPK;DWPK;RELH;UWND;VWND;HGHT                                    

 STID = 1Y7           STNM =    74004    TIME = 200107/0900         
 SLAT =  32.85     SLON =  -114.40   SELV =    98.0
 STIM =   800

      PRES     TMPK     DWPK     RELH     UWND     VWND     HGHT
   1008.00   287.15   265.15    20.99     1.07    -3.98    98.00
   1003.00   288.55   265.55    19.78     1.98    -7.39   160.97
   1000.00   288.75   264.75    18.36     2.53    -9.45   199.00
    992.00   289.55   264.55    17.17     2.87   -10.73   267.14
    987.59   289.55   264.55    17.17     3.06   -11.44   305.00
    987.00   289.55   264.55    17.17     2.96   -11.39   310.07
    983.00   290.55   264.55    16.12     2.30   -11.07   344.63
    966.00   289.75   264.75    17.22    -0.07    -9.30   493.14
    963.00   290.95   261.95    12.80    -0.41    -8.93   519.64
    958.00   291.15   261.15    11.86    -0.91    -8.29   564.08
    952.86   291.09   260.77    11.54    -1.34    -7.60   610.00
    942.00   290.95   259.95    10.90    -2.73    -5.27   707.86
    925.00   289.95   259.95    11.61    -2.53    -1.77   863.00
    919.42   289.51   260.24    12.23    -2.68    -1.54   914.00
    886.76   286.89   261.99    16.66    -5.60    -2.61  1219.00
    873.00   285.75   262.75    19.06    -5.71    -1.68  1350.93
    855.10   284.90   256.80    12.42    -5.64    -0.49  1524.00
    852.00   284.75   255.75    11.49    -5.35    -0.18  1554.39
    850.00   284.95   254.95    10.60    -5.15     0.00  1574.00
    832.00   286.15   250.15     6.47    -5.70     1.43  1753.17
    824.48   285.57   250.36     6.84    -5.81     2.11  1829.00
    804.00   283.95   250.95     8.02    -5.07    -0.67  2039.20
    794.85   283.51   249.24     7.10    -4.35    -1.58  2134.00
    766.20   282.08   243.75     4.73    -4.37    -4.37  2438.00
    748.00   281.15   240.15     3.57    -2.51    -5.27  2637.07
    738.38   280.45   239.84     3.63    -1.46    -5.47  2743.00
    711.38   278.43   238.94     3.83     0.89    -5.07  3048.00
    700.00   277.55   238.55     3.92     1.46    -5.47  3180.00
    686.00   276.35   238.35     4.18     1.84    -4.60  3343.96
    659.65   273.56   244.18     8.93     2.06    -2.95  3658.00
    635.12   270.86   249.82    18.18     1.97    -1.65  3962.00
    635.00   270.85   249.85    18.25     1.97    -1.66  3963.46
    630.00   271.05   248.05    15.30     2.23    -2.01  4026.25
    611.13   269.34   242.06     9.97     2.98    -3.55  4267.00
    608.00   269.05   241.05     9.25     3.17    -3.37  4307.59
    605.00   269.25   237.25     6.28     3.36    -3.19  4346.61
    565.32   265.55   232.01     4.87     4.63    -0.00  4877.00
    554.00   264.45   230.45     4.49     5.13    -0.58  5035.22
    522.38   260.61   229.46     5.47     6.06    -2.83  5486.00
    510.00   259.05   229.05     5.95     5.79    -2.70  5669.92
    501.92   258.40   225.18     4.09     5.60    -2.61  5791.00
    500.00   258.25   224.25     3.73     5.13    -0.45  5820.00
    492.00   257.45   221.45     2.89     5.60    -0.06  5941.49
    481.90   256.19   220.19     2.76     6.16     0.54  6096.00
    453.00   252.45   216.45     2.42     8.71     3.17  6556.57
    443.81   251.15   216.67     2.78     9.33     4.35  6706.00
    412.00   246.45   217.45     4.67    11.66    -0.34  7247.88
    408.16   245.94   220.11     6.73    11.79    -1.03  7315.00
    400.00   244.85   225.85    14.43    16.99    -0.00  7460.00
    391.12   243.39   228.29    21.64    17.50    -0.00  7620.00
    382.00   241.85   230.85    33.00    17.77     0.85  7788.34
    376.00   241.85   220.85    10.79    17.92     1.44  7900.53
    374.70   241.66   221.14    11.37    17.95     1.57  7925.00
    355.00   238.65   225.65    25.53    19.29    -0.39  8305.12
    337.00   236.25   221.25    19.58    20.36    -2.54  8667.17
    328.61   234.69   221.64    24.02    20.79    -3.67  8839.00
    314.23   231.92   222.33    34.70    21.80    -3.84  9144.00
    300.00   229.05   223.05    51.20    24.62    -2.15  9460.00
    299.00   228.85   223.85    57.34    24.65    -2.20  9482.26
    275.00   224.65   216.65    38.91    25.48    -3.30 10034.66
    250.00   218.85   215.45    65.96    26.36    -4.65 10650.00
    249.30   218.71   215.24    65.34    26.67    -2.33 10668.00
    249.00   218.65   215.15    65.08    26.53    -2.54 10675.74
    243.00   218.25   211.25    41.50    23.38    -6.26 10832.14
    241.00   219.25   204.25    14.23    23.92    -5.88 10885.20
    226.67   217.53   203.49    15.72    27.69    -2.42 11278.00
    226.00   217.45   203.45    15.79    27.62    -2.30 11297.06
    200.00   219.05   196.05     4.33    24.11     2.11 12080.00
    196.54   219.34   195.09     3.59    22.56     1.97 12192.00
    184.00   220.45   191.45     1.76    29.14     6.16 12614.87
    178.70   220.01   190.15     1.49    31.83     8.53 12802.00
    162.47   218.56   185.94     0.86    27.69     2.42 13411.00
    158.00   218.14   184.70     0.73    34.48     6.08 13589.42
    155.00   217.85   183.85     0.65    34.48     6.08 13712.06
    154.90   217.83   183.85     0.65    34.48     6.08 13716.00
    150.00   216.65   183.65     0.72    33.97     5.99 13920.00
    121.28   208.88   183.32     1.84    27.38     4.83 15240.00
    116.00   207.25   183.25     2.27    27.38     4.83 15516.69
    109.75   205.81   183.01     2.65    27.38     4.83 15850.00
    101.00   203.65   182.65     3.36    21.04     3.71 16350.44
    100.00   204.85   182.85     2.94    20.28     3.58 16410.00
     99.19   204.78   182.78     2.93    20.51    -1.79 16459.00
     95.40   204.45   182.45     2.89    20.46     2.31 16692.29
     94.25   204.01   182.40     3.05    20.28     3.58 16764.00
     86.90   201.05   182.05     4.37    22.38     6.00 17246.50
     82.50   202.05   181.05     3.14    22.38     6.00 17553.25
     80.80   205.45   181.90     2.27    22.38     6.00 17678.00
     80.50   206.05   182.05     2.15    22.20     5.57 17699.92
     79.00   205.25   181.25     2.07    21.16     3.53 17813.22
     77.70   206.65   181.65     1.83    20.10     1.89 17913.32
     73.01   204.40   181.13     2.28    15.21    -2.68 18288.00
     72.30   204.05   181.05     2.36    14.63    -1.67 18346.58
